"Table 2: Life expectancy and healthy life expectancy in Scottish council areas, 2015-2017",,,,,,,,,,,,
,,,,,,,,,,,,
Area code,Council area,Sex,Age band,"Life Expectancy (LE, years)",LE Lower CI (years),LE Upper CI (years),Healthy Life Expectancy (HLE) (years),HLE Lower CI (years),HLE Upper CI (years),"Proportion of Life Spent in ""Good"" Health (%)",,
S12000023,Orkney Islands,male,70 to 74,15.60,14.68,16.51,8.78,6.26,11.29,56.27,,
S12000023,Orkney Islands,male,75 to 79,12.17,11.27,13.06,6.42,3.84,9.01,52.78,,
S12000023,Orkney Islands,male,80 to 84,9.58,8.68,10.48,4.27,1.76,6.78,44.56,,
S12000023,Orkney Islands,male,85 to 89,6.52,5.59,7.44,2.68,0.66,4.70,41.15,,
S12000023,Orkney Islands,male,90+,4.20,3.04,5.36,1.34,-0.37,3.05,31.92,,
S12000023,Orkney Islands,female,less than 1,81.69,80.30,83.08,75.01,71.11,78.92,91.83,,
S12000023,Orkney Islands,female,1 to 4,80.99,79.71,82.26,74.28,70.36,78.20,91.72,,
S12000023,Orkney Islands,female,5 to 9,76.99,75.71,78.26,70.28,66.36,74.20,91.30,,
S12000023,Orkney Islands,female,10 to 14,71.99,70.71,73.26,65.28,61.36,69.20,90.69,,
S12000023,Orkney Islands,female,15 to 19,66.99,65.71,68.26,60.30,56.38,64.21,90.02,,
S12000023,Orkney Islands,female,20 to 24,62.20,60.99,63.41,55.58,51.68,59.47,89.35,,
S12000023,Orkney Islands,female,25 to 29,57.39,56.23,58.54,50.91,47.21,54.62,88.72,,
S12000023,Orkney Islands,female,30 to 34,52.70,51.62,53.77,46.38,43.18,49.58,88.01,,
S12000023,Orkney Islands,female,35 to 39,47.70,46.62,48.77,41.64,38.55,44.74,87.30,,
S12000023,Orkney Islands,female,40 to 44,42.83,41.78,43.87,37.06,34.10,40.01,86.53,,
S12000023,Orkney Islands,female,45 to 49,38.12,37.12,39.12,32.68,29.78,35.58,85.73,,
S12000023,Orkney Islands,female,50 to 54,33.49,32.53,34.45,28.42,25.56,31.28,84.87,,
S12000023,Orkney Islands,female,55 to 59,29.08,28.17,29.98,24.41,21.61,27.22,83.95,,
S12000023,Orkney Islands,female,60 to 64,24.58,23.72,25.44,20.41,17.63,23.19,83.03,,
S12000023,Orkney Islands,female,65 to 69,20.12,19.30,20.94,16.47,13.82,19.12,81.87,,
S12000023,Orkney Islands,female,70 to 74,16.03,15.25,16.80,12.92,10.23,15.61,80.58,,
S12000023,Orkney Islands,female,75 to 79,12.42,11.70,13.14,9.84,6.97,12.70,79.18,,
S12000023,Orkney Islands,female,80 to 84,8.92,8.24,9.59,6.94,4.38,9.50,77.81,,
S12000023,Orkney Islands,female,85 to 89,6.08,5.45,6.71,4.63,2.47,6.79,76.07,,
S12000023,Orkney Islands,female,90+,3.79,3.06,4.53,2.87,1.04,4.71,75.77,,
S12000024,Perth and Kinross,male,less than 1,79.33,78.74,79.93,67.63,65.88,69.38,85.25,,
S12000024,Perth and Kinross,male,1 to 4,78.60,78.04,79.16,66.86,65.10,68.62,85.06,,
S12000024,Perth and Kinross,male,5 to 9,74.67,74.12,75.22,62.92,61.16,64.68,84.26,,
S12000024,Perth and Kinross,male,10 to 14,69.73,69.18,70.28,58.05,56.30,59.80,83.25,,
S12000024,Perth and Kinross,male,15 to 19,64.76,64.21,65.30,53.20,51.47,54.93,82.15,,
S12000024,Perth and Kinross,male,20 to 24,59.90,59.36,60.43,48.58,46.88,50.27,81.10,,
S12000024,Perth and Kinross,male,25 to 29,55.01,54.48,55.53,44.08,42.45,45.72,80.14,,
S12000024,Perth and Kinross,male,30 to 34,50.31,49.81,50.82,39.82,38.25,41.39,79.14,,
S12000024,Perth and Kinross,male,35 to 39,45.69,45.21,46.17,35.69,34.19,37.20,78.12,,
S12000024,Perth and Kinross,male,40 to 44,41.04,40.58,41.50,31.62,30.18,33.05,77.04,,
S12000024,Perth and Kinross,male,45 to 49,36.52,36.09,36.95,27.69,26.32,29.06,75.82,,
S12000024,Perth and Kinross,male,50 to 54,32.10,31.69,32.51,23.83,22.52,25.15,74.24,,
S12000024,Perth and Kinross,male,55 to 59,27.57,27.18,27.97,19.97,18.71,21.24,72.44,,
S12000024,Perth and Kinross,male,60 to 64,23.39,23.01,23.77,16.62,15.38,17.85,71.04,,
S12000024,Perth and Kinross,male,65 to 69,19.12,18.76,19.49,13.27,12.08,14.47,69.40,,
S12000024,Perth and Kinross,male,70 to 74,15.42,15.07,15.77,10.34,9.19,11.50,67.07,,
S12000024,Perth and Kinross,male,75 to 79,11.95,11.61,12.29,7.65,6.48,8.81,63.99,,
S12000024,Perth and Kinross,male,80 to 84,8.97,8.63,9.30,5.37,4.20,6.54,59.88,,
S12000024,Perth and Kinross,male,85 to 89,6.40,6.04,6.77,3.61,2.60,4.62,56.45,,
S12000024,Perth and Kinross,male,90+,4.59,4.08,5.10,2.66,1.66,3.66,57.96,,
S12000024,Perth and Kinross,female,less than 1,82.46,81.92,83.00,67.81,65.58,70.04,82.23,,
S12000024,Perth and Kinross,female,1 to 4,81.75,81.26,82.25,67.15,64.92,69.39,82.14,,
S12000024,Perth and Kinross,female,5 to 9,77.83,77.34,78.32,63.63,61.43,65.83,81.75,,
S12000024,Perth and Kinross,female,10 to 14,72.83,72.34,73.32,59.15,57.02,61.29,81.22,,
S12000024,Perth and Kinross,female,15 to 19,67.86,67.38,68.34,54.72,52.65,56.79,80.63,,
S12000024,Perth and Kinross,female,20 to 24,63.02,62.56,63.49,50.38,48.37,52.39,79.94,,
S12000024,Perth and Kinross,female,25 to 29,58.16,57.70,58.61,46.04,44.10,47.97,79.16,,
S12000024,Perth and Kinross,female,30 to 34,53.32,52.89,53.76,41.75,39.87,43.63,78.30,,
S12000024,Perth and Kinross,female,35 to 39,48.40,47.97,48.83,37.46,35.64,39.28,77.40,,
S12000024,Perth and Kinross,female,40 to 44,43.61,43.20,44.03,33.34,31.56,35.11,76.44,,
S12000024,Perth and Kinross,female,45 to 49,38.83,38.43,39.24,29.30,27.57,31.03,75.44,,
S12000024,Perth and Kinross,female,50 to 54,34.18,33.80,34.57,25.43,23.73,27.13,74.39,,
S12000024,Perth and Kinross,female,55 to 59,29.57,29.20,29.95,21.67,20.00,23.33,73.27,,
S12000024,Perth and Kinross,female,60 to 64,25.15,24.80,25.51,18.14,16.51,19.78,72.13,,
S12000024,Perth and Kinross,female,65 to 69,20.88,20.54,21.22,14.85,13.24,16.46,71.14,,
S12000024,Perth and Kinross,female,70 to 74,16.81,16.49,17.13,11.81,10.25,13.36,70.23,,
S12000024,Perth and Kinross,female,75 to 79,13.16,12.86,13.46,9.12,7.50,10.74,69.32,,
S12000024,Perth and Kinross,female,80 to 84,9.74,9.45,10.02,6.67,4.99,8.35,68.51,,
S12000024,Perth and Kinross,female,85 to 89,6.97,6.68,7.25,4.66,3.20,6.12,66.94,,
S12000024,Perth and Kinross,female,90+,4.71,4.37,5.06,3.03,1.62,4.44,64.31,,
S12000026,Scottish Borders,male,less than 1,78.95,78.31,79.59,64.48,62.70,66.26,81.66,,
S12000026,Scottish Borders,male,1 to 4,78.11,77.50,78.73,63.60,61.82,65.39,81.43,,
S12000026,Scottish Borders,male,5 to 9,74.15,73.54,74.76,59.67,57.89,61.45,80.46,,
S12000026,Scottish Borders,male,10 to 14,69.19,68.59,69.80,54.80,53.03,56.57,79.20,,
S12000026,Scottish Borders,male,15 to 19,64.19,63.59,64.80,49.90,48.14,51.67,77.74,,
S12000026,Scottish Borders,male,20 to 24,59.29,58.70,59.89,45.22,43.48,46.96,76.27,,
S12000026,Scottish Borders,male,25 to 29,54.40,53.81,54.98,40.62,38.92,42.32,74.67,,
S12000026,Scottish Borders,male,30 to 34,49.64,49.08,50.20,36.23,34.58,37.88,72.98,,
S12000026,Scottish Borders,male,35 to 39,45.16,44.65,45.66,32.25,30.67,33.83,71.42,,
S12000026,Scottish Borders,male,40 to 44,40.48,40.01,40.96,28.17,26.67,29.67,69.58,,
S12000026,Scottish Borders,male,45 to 49,35.99,35.55,36.43,24.17,22.73,25.60,67.15,,
S12000026,Scottish Borders,male,50 to 54,31.46,31.04,31.87,20.30,18.91,21.69,64.53,,
S12000026,Scottish Borders,male,55 to 59,26.97,26.57,27.37,16.62,15.26,17.98,61.63,,
S12000026,Scottish Borders,male,60 to 64,22.60,22.22,22.98,13.22,11.91,14.54,58.53,,
S12000026,Scottish Borders,male,65 to 69,18.57,18.22,18.93,10.32,9.03,11.60,55.55,,
S12000026,Scottish Borders,male,70 to 74,14.61,14.27,14.95,7.33,6.05,8.61,50.18,,
S12000026,Scottish Borders,male,75 to 79,11.12,10.80,11.44,5.00,3.66,6.33,44.94,,
S12000026,Scottish Borders,male,80 to 84,8.06,7.76,8.37,3.14,1.88,4.41,39.00,,
S12000026,Scottish Borders,male,85 to 89,5.47,5.17,5.78,1.74,0.76,2.71,31.76,,
S12000026,Scottish Borders,male,90+,3.39,2.99,3.80,1.05,0.26,1.85,30.98,,
S12000026,Scottish Borders,female,less than 1,82.36,81.77,82.94,65.35,63.44,67.26,79.35,,
S12000026,Scottish Borders,female,1 to 4,81.62,81.08,82.16,64.61,62.69,66.52,79.16,,
S12000026,Scottish Borders,female,5 to 9,77.62,77.08,78.16,60.78,58.87,62.68,78.30,,
S12000026,Scottish Borders,female,10 to 14,72.66,72.12,73.20,56.08,54.21,57.96,77.18,,
S12000026,Scottish Borders,female,15 to 19,67.70,67.17,68.23,51.42,49.58,53.26,75.96,,
S12000026,Scottish Borders,female,20 to 24,62.81,62.29,63.33,46.95,45.15,48.75,74.75,,
S12000026,Scottish Borders,female,25 to 29,58.03,57.54,58.52,42.67,40.93,44.42,73.54,,
S12000026,Scottish Borders,female,30 to 34,53.10,52.63,53.58,38.43,36.76,40.11,72.38,,
S12000026,Scottish Borders,female,35 to 39,48.22,47.76,48.69,34.30,32.71,35.90,71.14,,
S12000026,Scottish Borders,female,40 to 44,43.36,42.91,43.81,30.23,28.72,31.74,69.72,,
S12000026,Scottish Borders,female,45 to 49,38.47,38.03,38.91,26.18,24.73,27.62,68.04,,
S12000026,Scottish Borders,female,50 to 54,33.87,33.44,34.29,22.43,21.03,23.84,66.24,,
S12000026,Scottish Borders,female,55 to 59,29.34,28.93,29.75,18.85,17.49,20.22,64.25,,
S12000026,Scottish Borders,female,60 to 64,24.88,24.49,25.27,15.42,14.10,16.73,61.95,,
S12000026,Scottish Borders,female,65 to 69,20.56,20.19,20.93,12.12,10.84,13.39,58.94,,
S12000026,Scottish Borders,female,70 to 74,16.60,16.25,16.95,9.15,7.89,10.41,55.12,,
S12000026,Scottish Borders,female,75 to 79,12.83,12.50,13.16,6.44,5.18,7.70,50.19,,
S12000026,Scottish Borders,female,80 to 84,9.30,8.99,9.62,4.23,3.09,5.37,45.45,,
S12000026,Scottish Borders,female,85 to 89,6.56,6.25,6.88,2.71,1.76,3.66,41.31,,
S12000026,Scottish Borders,female,90+,4.48,4.09,4.87,1.80,0.91,2.70,40.26,,
S12000027,Shetland Islands,male,less than 1,78.29,76.98,79.60,68.12,64.23,72.00,87.01,,
S12000027,Shetland Islands,male,1 to 4,77.49,76.24,78.75,67.29,63.40,71.19,86.84,,
S12000027,Shetland Islands,male,5 to 9,73.49,72.24,74.75,63.30,59.40,67.19,86.12,,
S12000027,Shetland Islands,male,10 to 14,68.66,67.45,69.87,58.44,54.53,62.34,85.11,,
S12000027,Shetland Islands,male,15 to 19,63.66,62.45,64.87,53.44,49.53,57.34,83.94,,
S12000027,Shetland Islands,male,20 to 24,58.81,57.63,59.99,48.62,44.72,52.52,82.67,,
S12000027,Shetland Islands,male,25 to 29,54.08,52.96,55.20,43.98,40.11,47.86,81.33,,
S12000027,Shetland Islands,male,30 to 34,49.20,48.10,50.30,39.32,35.52,43.12,79.92,,
S12000027,Shetland Islands,male,35 to 39,44.32,43.24,45.40,34.76,31.23,38.29,78.43,,
S12000027,Shetland Islands,male,40 to 44,39.72,38.70,40.73,30.53,27.20,33.86,76.86,,
S12000027,Shetland Islands,male,45 to 49,35.03,34.05,36.01,26.35,23.10,29.60,75.22,,
S12000027,Shetland Islands,male,50 to 54,30.16,29.20,31.13,22.16,19.11,25.21,73.47,,
S12000027,Shetland Islands,male,55 to 59,25.92,25.01,26.83,18.56,15.59,21.54,71.62,,
S12000027,Shetland Islands,male,60 to 64,21.69,20.83,22.55,15.11,12.24,17.99,69.67,,
S12000027,Shetland Islands,male,65 to 69,17.42,16.60,18.24,11.77,9.05,14.49,67.57,,
S12000027,Shetland Islands,male,70 to 74,13.79,13.02,14.56,9.01,6.19,11.82,65.31,,
S12000027,Shetland Islands,male,75 to 79,10.31,9.59,11.04,6.49,3.45,9.52,62.88,,
S12000027,Shetland Islands,male,80 to 84,7.41,6.72,8.10,4.46,1.33,7.59,60.17,,
S12000027,Shetland Islands,male,85 to 89,4.84,4.16,5.52,2.76,0.31,5.21,57.00,,
S12000027,Shetland Islands,male,90+,3.25,2.29,4.21,1.71,-0.43,3.85,52.65,,
S12000027,Shetland Islands,female,less than 1,83.19,82.11,84.26,67.11,62.43,71.79,80.67,,
S12000027,Shetland Islands,female,1 to 4,82.19,81.11,83.26,66.11,61.43,70.79,80.44,,
S12000027,Shetland Islands,female,5 to 9,78.19,77.11,79.26,62.11,57.43,66.79,79.44,,
S12000027,Shetland Islands,female,10 to 14,73.19,72.11,74.26,57.16,52.49,61.82,78.10,,
S12000027,Shetland Islands,female,15 to 19,68.19,67.11,69.26,52.29,47.67,56.91,76.69,,
S12000027,Shetland Islands,female,20 to 24,63.19,62.11,64.26,47.56,43.02,52.09,75.26,,
S12000027,Shetland Islands,female,25 to 29,58.19,57.11,59.26,42.92,38.46,47.38,73.76,,
S12000027,Shetland Islands,female,30 to 34,53.19,52.11,54.26,38.43,34.22,42.64,72.25,,
S12000027,Shetland Islands,female,35 to 39,48.19,47.11,49.26,34.04,30.02,38.05,70.64,,
S12000027,Shetland Islands,female,40 to 44,43.41,42.38,44.44,29.92,26.04,33.80,68.92,,
S12000027,Shetland Islands,female,45 to 49,38.50,37.49,39.52,25.87,22.12,29.63,67.20,,
S12000027,Shetland Islands,female,50 to 54,33.65,32.64,34.65,21.99,18.39,25.58,65.35,,
S12000027,Shetland Islands,female,55 to 59,28.89,27.91,29.87,18.32,14.84,21.79,63.40,,
S12000027,Shetland Islands,female,60 to 64,24.81,23.91,25.72,15.16,11.67,18.65,61.09,,
S12000027,Shetland Islands,female,65 to 69,20.32,19.45,21.19,11.90,8.55,15.25,58.56,,
S12000027,Shetland Islands,female,70 to 74,15.95,15.11,16.79,8.87,5.59,12.15,55.62,,
