"Table 2: Life expectancy and healthy life expectancy in Scottish council areas, 2015-2017",,,,,,,,,,,,
,,,,,,,,,,,,
Area code,Council area,Sex,Age band,"Life Expectancy (LE, years)",LE Lower CI (years),LE Upper CI (years),Healthy Life Expectancy (HLE) (years),HLE Lower CI (years),HLE Upper CI (years),"Proportion of Life Spent in ""Good"" Health (%)",,
S12000028,South Ayrshire,male,60 to 64,22.11,21.72,22.51,12.11,10.96,13.27,54.78,,
S12000028,South Ayrshire,male,65 to 69,18.00,17.63,18.37,9.18,8.08,10.27,50.99,,
S12000028,South Ayrshire,male,70 to 74,14.40,14.05,14.75,6.72,5.65,7.78,46.64,,
S12000028,South Ayrshire,male,75 to 79,11.07,10.73,11.40,4.63,3.57,5.69,41.88,,
S12000028,South Ayrshire,male,80 to 84,8.12,7.79,8.44,2.96,2.01,3.92,36.49,,
S12000028,South Ayrshire,male,85 to 89,5.68,5.33,6.03,1.70,0.95,2.45,29.97,,
S12000028,South Ayrshire,male,90+,4.12,3.63,4.61,0.91,0.25,1.56,21.98,,
S12000028,South Ayrshire,female,less than 1,81.14,80.50,81.78,63.54,61.36,65.72,78.31,,
S12000028,South Ayrshire,female,1 to 4,80.47,79.88,81.05,62.92,60.73,65.10,78.19,,
S12000028,South Ayrshire,female,5 to 9,76.52,75.94,77.09,59.43,57.30,61.55,77.66,,
S12000028,South Ayrshire,female,10 to 14,71.56,70.99,72.13,55.05,53.04,57.06,76.93,,
S12000028,South Ayrshire,female,15 to 19,66.56,65.99,67.13,50.67,48.77,52.56,76.12,,
S12000028,South Ayrshire,female,20 to 24,61.67,61.12,62.23,46.38,44.62,48.15,75.21,,
S12000028,South Ayrshire,female,25 to 29,56.90,56.38,57.43,42.21,40.57,43.86,74.19,,
S12000028,South Ayrshire,female,30 to 34,52.06,51.55,52.58,38.04,36.46,39.62,73.07,,
S12000028,South Ayrshire,female,35 to 39,47.29,46.80,47.78,33.99,32.48,35.50,71.87,,
S12000028,South Ayrshire,female,40 to 44,42.54,42.07,43.01,30.03,28.58,31.48,70.59,,
S12000028,South Ayrshire,female,45 to 49,37.96,37.52,38.39,26.27,24.87,27.67,69.21,,
S12000028,South Ayrshire,female,50 to 54,33.25,32.83,33.67,22.51,21.18,23.85,67.71,,
S12000028,South Ayrshire,female,55 to 59,28.78,28.38,29.19,19.04,17.75,20.32,66.13,,
S12000028,South Ayrshire,female,60 to 64,24.40,24.02,24.79,15.74,14.52,16.95,64.48,,
S12000028,South Ayrshire,female,65 to 69,20.14,19.78,20.50,12.62,11.44,13.81,62.69,,
S12000028,South Ayrshire,female,70 to 74,16.03,15.69,16.37,9.75,8.62,10.89,60.86,,
S12000028,South Ayrshire,female,75 to 79,12.48,12.16,12.80,7.35,6.22,8.49,58.91,,
S12000028,South Ayrshire,female,80 to 84,9.17,8.87,9.48,5.19,4.14,6.24,56.56,,
S12000028,South Ayrshire,female,85 to 89,6.43,6.12,6.74,3.45,2.57,4.33,53.65,,
S12000028,South Ayrshire,female,90+,4.73,4.33,5.13,2.35,1.45,3.25,49.59,,
S12000029,South Lanarkshire,male,less than 1,76.80,76.41,77.18,60.76,58.91,62.61,79.12,,
S12000029,South Lanarkshire,male,1 to 4,75.96,75.59,76.33,59.97,58.11,61.82,78.95,,
S12000029,South Lanarkshire,male,5 to 9,72.01,71.64,72.38,56.31,54.48,58.15,78.20,,
S12000029,South Lanarkshire,male,10 to 14,67.03,66.66,67.40,51.72,49.92,53.52,77.16,,
S12000029,South Lanarkshire,male,15 to 19,62.05,61.69,62.42,47.15,45.39,48.91,75.99,,
S12000029,South Lanarkshire,male,20 to 24,57.16,56.80,57.52,42.69,40.97,44.41,74.68,,
S12000029,South Lanarkshire,male,25 to 29,52.33,51.97,52.68,38.32,36.64,40.00,73.23,,
S12000029,South Lanarkshire,male,30 to 34,47.62,47.28,47.96,34.12,32.49,35.75,71.65,,
S12000029,South Lanarkshire,male,35 to 39,43.02,42.70,43.35,30.08,28.49,31.68,69.93,,
S12000029,South Lanarkshire,male,40 to 44,38.39,38.08,38.70,26.12,24.57,27.68,68.06,,
S12000029,South Lanarkshire,male,45 to 49,33.95,33.65,34.24,22.44,20.90,23.98,66.10,,
S12000029,South Lanarkshire,male,50 to 54,29.49,29.21,29.78,18.89,17.38,20.39,64.04,,
S12000029,South Lanarkshire,male,55 to 59,25.16,24.89,25.43,15.54,14.07,17.01,61.77,,
S12000029,South Lanarkshire,male,60 to 64,21.04,20.78,21.30,12.46,11.00,13.92,59.24,,
S12000029,South Lanarkshire,male,65 to 69,17.20,16.95,17.45,9.67,8.20,11.14,56.21,,
S12000029,South Lanarkshire,male,70 to 74,13.65,13.41,13.89,7.24,5.74,8.74,53.02,,
S12000029,South Lanarkshire,male,75 to 79,10.41,10.18,10.64,5.14,3.54,6.74,49.41,,
S12000029,South Lanarkshire,male,80 to 84,7.76,7.53,7.99,3.51,1.84,5.19,45.27,,
S12000029,South Lanarkshire,male,85 to 89,5.63,5.37,5.89,2.25,0.86,3.65,40.02,,
S12000029,South Lanarkshire,male,90+,4.14,3.75,4.53,1.37,0.04,2.70,33.07,,
S12000029,South Lanarkshire,female,less than 1,80.70,80.36,81.04,62.98,61.11,64.86,78.05,,
S12000029,South Lanarkshire,female,1 to 4,79.87,79.55,80.19,62.15,60.28,64.03,77.82,,
S12000029,South Lanarkshire,female,5 to 9,75.90,75.58,76.22,58.36,56.50,60.22,76.89,,
S12000029,South Lanarkshire,female,10 to 14,70.93,70.61,71.24,53.66,51.83,55.48,75.65,,
S12000029,South Lanarkshire,female,15 to 19,65.94,65.63,66.26,49.00,47.22,50.78,74.31,,
S12000029,South Lanarkshire,female,20 to 24,60.97,60.65,61.28,44.40,42.67,46.13,72.83,,
S12000029,South Lanarkshire,female,25 to 29,56.04,55.73,56.35,39.91,38.22,41.60,71.22,,
S12000029,South Lanarkshire,female,30 to 34,51.14,50.84,51.44,35.54,33.89,37.19,69.50,,
S12000029,South Lanarkshire,female,35 to 39,46.34,46.04,46.63,31.38,29.76,32.99,67.71,,
S12000029,South Lanarkshire,female,40 to 44,41.65,41.37,41.93,27.44,25.85,29.02,65.87,,
S12000029,South Lanarkshire,female,45 to 49,36.89,36.62,37.17,23.58,22.04,25.12,63.91,,
S12000029,South Lanarkshire,female,50 to 54,32.31,32.04,32.57,20.00,18.49,21.50,61.90,,
S12000029,South Lanarkshire,female,55 to 59,27.72,27.47,27.98,16.57,15.10,18.03,59.76,,
S12000029,South Lanarkshire,female,60 to 64,23.31,23.07,23.56,13.34,11.92,14.77,57.24,,
S12000029,South Lanarkshire,female,65 to 69,19.12,18.89,19.35,10.48,9.09,11.88,54.83,,
S12000029,South Lanarkshire,female,70 to 74,15.18,14.96,15.39,7.92,6.55,9.28,52.16,,
S12000029,South Lanarkshire,female,75 to 79,11.64,11.44,11.84,5.72,4.32,7.11,49.11,,
S12000029,South Lanarkshire,female,80 to 84,8.70,8.51,8.88,3.92,2.64,5.20,45.07,,
S12000029,South Lanarkshire,female,85 to 89,6.04,5.85,6.23,2.42,1.38,3.45,40.04,,
S12000029,South Lanarkshire,female,90+,4.26,4.01,4.51,1.38,0.42,2.33,32.35,,
S12000030,Stirling,male,less than 1,78.83,78.13,79.53,64.77,62.73,66.81,82.17,,
S12000030,Stirling,male,1 to 4,77.89,77.20,78.58,63.92,61.89,65.96,82.07,,
S12000030,Stirling,male,5 to 9,73.89,73.20,74.58,60.29,58.30,62.27,81.59,,
S12000030,Stirling,male,10 to 14,68.89,68.20,69.58,55.75,53.86,57.64,80.93,,
S12000030,Stirling,male,15 to 19,64.01,63.34,64.69,51.27,49.47,53.08,80.09,,
S12000030,Stirling,male,20 to 24,59.15,58.48,59.81,46.76,45.04,48.49,79.07,,
S12000030,Stirling,male,25 to 29,54.37,53.71,55.02,42.37,40.67,44.06,77.93,,
S12000030,Stirling,male,30 to 34,49.57,48.93,50.21,37.99,36.35,39.64,76.65,,
S12000030,Stirling,male,35 to 39,44.74,44.12,45.37,33.66,32.06,35.26,75.23,,
S12000030,Stirling,male,40 to 44,40.28,39.70,40.86,29.67,28.09,31.24,73.65,,
S12000030,Stirling,male,45 to 49,35.66,35.10,36.21,25.52,23.99,27.05,71.57,,
S12000030,Stirling,male,50 to 54,31.10,30.56,31.63,21.59,20.13,23.06,69.43,,
S12000030,Stirling,male,55 to 59,26.54,26.02,27.06,17.78,16.37,19.20,67.00,,
S12000030,Stirling,male,60 to 64,22.27,21.77,22.78,14.26,12.89,15.64,64.03,,
S12000030,Stirling,male,65 to 69,18.13,17.65,18.61,11.04,9.76,12.31,60.89,,
S12000030,Stirling,male,70 to 74,14.63,14.17,15.09,8.37,7.09,9.65,57.22,,
S12000030,Stirling,male,75 to 79,11.32,10.88,11.76,6.06,4.84,7.28,53.50,,
S12000030,Stirling,male,80 to 84,8.35,7.92,8.79,4.04,2.93,5.16,48.40,,
S12000030,Stirling,male,85 to 89,5.83,5.36,6.31,2.60,1.68,3.52,44.56,,
S12000030,Stirling,male,90+,4.04,3.36,4.71,1.81,0.94,2.67,44.72,,
S12000030,Stirling,female,less than 1,82.57,81.93,83.20,64.41,62.32,66.50,78.01,,
S12000030,Stirling,female,1 to 4,81.70,81.10,82.31,63.63,61.53,65.72,77.88,,
S12000030,Stirling,female,5 to 9,77.70,77.10,78.31,60.07,58.02,62.12,77.31,,
S12000030,Stirling,female,10 to 14,72.70,72.10,73.31,55.61,53.63,57.59,76.50,,
S12000030,Stirling,female,15 to 19,67.75,67.15,68.35,51.19,49.28,53.10,75.56,,
S12000030,Stirling,female,20 to 24,62.82,62.22,63.41,46.81,44.97,48.64,74.51,,
S12000030,Stirling,female,25 to 29,57.89,57.30,58.48,42.46,40.67,44.25,73.34,,
S12000030,Stirling,female,30 to 34,52.95,52.37,53.53,38.16,36.43,39.89,72.06,,
S12000030,Stirling,female,35 to 39,48.08,47.51,48.65,33.97,32.30,35.65,70.65,,
S12000030,Stirling,female,40 to 44,43.20,42.64,43.76,29.84,28.23,31.46,69.08,,
S12000030,Stirling,female,45 to 49,38.36,37.81,38.91,25.84,24.29,27.40,67.38,,
S12000030,Stirling,female,50 to 54,33.77,33.24,34.30,22.12,20.62,23.63,65.50,,
S12000030,Stirling,female,55 to 59,29.18,28.67,29.70,18.52,17.06,19.98,63.46,,
S12000030,Stirling,female,60 to 64,24.72,24.22,25.21,15.14,13.73,16.54,61.24,,
S12000030,Stirling,female,65 to 69,20.72,20.26,21.18,12.18,10.81,13.55,58.77,,
S12000030,Stirling,female,70 to 74,16.55,16.11,17.00,9.28,7.96,10.60,56.03,,
S12000030,Stirling,female,75 to 79,12.76,12.34,13.18,6.76,5.46,8.05,52.95,,
S12000030,Stirling,female,80 to 84,9.51,9.10,9.92,4.72,3.57,5.86,49.61,,
S12000030,Stirling,female,85 to 89,6.69,6.27,7.12,3.07,2.11,4.02,45.80,,
S12000030,Stirling,female,90+,4.98,4.43,5.53,2.08,1.09,3.06,41.66,,
S12000033,Aberdeen City,male,less than 1,76.90,76.44,77.36,61.47,59.37,63.56,79.93,,
S12000033,Aberdeen City,male,1 to 4,76.06,75.61,76.50,60.61,58.50,62.71,79.68,,
S12000033,Aberdeen City,male,5 to 9,72.08,71.64,72.52,56.69,54.60,58.79,78.66,,
S12000033,Aberdeen City,male,10 to 14,67.16,66.73,67.60,51.89,49.81,53.97,77.26,,
S12000033,Aberdeen City,male,15 to 19,62.19,61.75,62.62,47.12,45.07,49.16,75.77,,
S12000033,Aberdeen City,male,20 to 24,57.29,56.87,57.72,42.49,40.48,44.50,74.17,,
S12000033,Aberdeen City,male,25 to 29,52.42,52.00,52.84,37.97,35.98,39.96,72.44,,
S12000033,Aberdeen City,male,30 to 34,47.57,47.15,47.99,33.56,31.61,35.51,70.55,,
S12000033,Aberdeen City,male,35 to 39,42.77,42.35,43.18,29.31,27.43,31.20,68.54,,
S12000033,Aberdeen City,male,40 to 44,38.20,37.80,38.61,25.38,23.52,27.24,66.44,,
S12000033,Aberdeen City,male,45 to 49,33.85,33.47,34.23,21.72,19.96,23.48,64.16,,
S12000033,Aberdeen City,male,50 to 54,29.52,29.15,29.88,18.18,16.48,19.87,61.59,,
S12000033,Aberdeen City,male,55 to 59,25.26,24.91,25.61,14.86,13.25,16.47,58.83,,
S12000033,Aberdeen City,male,60 to 64,21.13,20.79,21.47,11.81,10.25,13.37,55.91,,
S12000033,Aberdeen City,male,65 to 69,17.26,16.94,17.58,9.13,7.57,10.70,52.92,,
S12000033,Aberdeen City,male,70 to 74,13.84,13.53,14.15,6.85,5.24,8.46,49.52,,
S12000033,Aberdeen City,male,75 to 79,10.60,10.31,10.89,4.79,3.08,6.49,45.15,,
S12000033,Aberdeen City,male,80 to 84,7.79,7.52,8.06,3.19,1.76,4.61,40.92,,
S12000033,Aberdeen City,male,85 to 89,5.46,5.17,5.75,1.97,0.83,3.11,36.14,,
S12000033,Aberdeen City,male,90+,3.94,3.52,4.35,1.35,0.26,2.44,34.30,,
S12000033,Aberdeen City,female,less than 1,81.05,80.61,81.49,64.65,62.45,66.85,79.76,,
S12000033,Aberdeen City,female,1 to 4,80.27,79.86,80.69,63.83,61.62,66.03,79.51,,
S12000033,Aberdeen City,female,5 to 9,76.36,75.95,76.77,59.90,57.69,62.10,78.44,,
S12000033,Aberdeen City,female,10 to 14,71.36,70.95,71.77,54.97,52.77,57.17,77.03,,
S12000033,Aberdeen City,female,15 to 19,66.36,65.95,66.77,50.17,47.99,52.35,75.60,,
S12000033,Aberdeen City,female,20 to 24,61.42,61.01,61.82,45.52,43.37,47.67,74.12,,
S12000033,Aberdeen City,female,25 to 29,56.44,56.04,56.85,40.98,38.85,43.11,72.60,,
S12000033,Aberdeen City,female,30 to 34,51.47,51.06,51.87,36.57,34.50,38.64,71.05,,
S12000033,Aberdeen City,female,35 to 39,46.63,46.23,47.02,32.39,30.37,34.41,69.46,,
S12000033,Aberdeen City,female,40 to 44,41.96,41.57,42.34,28.46,26.51,30.41,67.83,,
S12000033,Aberdeen City,female,45 to 49,37.36,37.00,37.73,24.71,22.88,26.55,66.14,,
S12000033,Aberdeen City,female,50 to 54,32.78,32.42,33.13,21.11,19.40,22.83,64.42,,
S12000033,Aberdeen City,female,55 to 59,28.24,27.90,28.58,17.69,16.07,19.30,62.64,,
S12000033,Aberdeen City,female,60 to 64,23.97,23.65,24.30,14.58,13.04,16.11,60.80,,
S12000033,Aberdeen City,female,65 to 69,19.78,19.47,20.09,11.66,10.19,13.13,58.93,,
S12000033,Aberdeen City,female,70 to 74,15.96,15.68,16.24,9.11,7.66,10.55,57.05,,
S12000033,Aberdeen City,female,75 to 79,12.27,12.01,12.53,6.77,5.39,8.14,55.14,,
S12000033,Aberdeen City,female,80 to 84,8.89,8.65,9.12,4.70,3.56,5.84,52.92,,
S12000033,Aberdeen City,female,85 to 89,6.18,5.95,6.41,3.11,2.16,4.05,50.26,,
S12000033,Aberdeen City,female,90+,4.20,3.91,4.50,1.95,1.07,2.83,46.47,,
S12000034,Aberdeenshire,male,less than 1,79.14,78.74,79.54,68.12,66.45,69.78,86.07,,
S12000034,Aberdeenshire,male,1 to 4,78.29,77.90,78.67,67.26,65.59,68.92,85.91,,
S12000034,Aberdeenshire,male,5 to 9,74.37,73.99,74.75,63.39,61.72,65.05,85.23,,
S12000034,Aberdeenshire,male,10 to 14,69.40,69.02,69.78,58.48,56.82,60.14,84.27,,
S12000034,Aberdeenshire,male,15 to 19,64.43,64.05,64.80,53.59,51.94,55.23,83.17,,
S12000034,Aberdeenshire,male,20 to 24,59.54,59.17,59.91,48.78,47.15,50.42,81.94,,
S12000034,Aberdeenshire,male,25 to 29,54.69,54.33,55.06,44.07,42.45,45.69,80.57,,
S12000034,Aberdeenshire,male,30 to 34,49.91,49.56,50.25,39.46,37.88,41.04,79.07,,
S12000034,Aberdeenshire,male,35 to 39,45.16,44.83,45.50,34.98,33.44,36.52,77.45,,
S12000034,Aberdeenshire,male,40 to 44,40.40,40.08,40.73,30.60,29.09,32.10,75.73,,
S12000034,Aberdeenshire,male,45 to 49,35.72,35.41,36.04,26.40,24.95,27.86,73.90,,
S12000034,Aberdeenshire,male,50 to 54,31.11,30.81,31.42,22.39,20.98,23.80,71.97,,
S12000034,Aberdeenshire,male,55 to 59,26.64,26.35,26.94,18.63,17.29,19.97,69.94,,
S12000034,Aberdeenshire,male,60 to 64,22.30,22.02,22.58,15.10,13.81,16.40,67.72,,
S12000034,Aberdeenshire,male,65 to 69,18.20,17.94,18.47,11.88,10.63,13.13,65.26,,
S12000034,Aberdeenshire,male,70 to 74,14.33,14.07,14.58,8.98,7.75,10.21,62.69,,
S12000034,Aberdeenshire,male,75 to 79,10.90,10.65,11.14,6.52,5.28,7.77,59.86,,
S12000034,Aberdeenshire,male,80 to 84,7.90,7.66,8.13,4.44,3.40,5.47,56.18,,
S12000034,Aberdeenshire,male,85 to 89,5.50,5.26,5.74,2.85,1.99,3.71,51.84,,
S12000034,Aberdeenshire,male,90+,3.60,3.29,3.91,1.62,0.87,2.37,45.05,,
S12000034,Aberdeenshire,female,less than 1,82.57,82.20,82.94,67.01,64.89,69.12,81.15,,
S12000034,Aberdeenshire,female,1 to 4,81.71,81.35,82.06,66.14,64.02,68.26,80.94,,
S12000034,Aberdeenshire,female,5 to 9,77.73,77.37,78.08,62.21,60.10,64.32,80.04,,
S12000034,Aberdeenshire,female,10 to 14,72.74,72.39,73.09,57.32,55.22,59.42,78.80,,
S12000034,Aberdeenshire,female,15 to 19,67.76,67.41,68.11,52.54,50.47,54.61,77.54,,
S12000034,Aberdeenshire,female,20 to 24,62.84,62.50,63.18,47.94,45.92,49.96,76.28,,
S12000034,Aberdeenshire,female,25 to 29,57.89,57.55,58.23,43.44,41.47,45.40,75.04,,
S12000034,Aberdeenshire,female,30 to 34,52.98,52.65,53.32,38.97,37.07,40.88,73.56,,
S12000034,Aberdeenshire,female,35 to 39,48.11,47.78,48.43,34.58,32.71,36.44,71.88,,
S12000034,Aberdeenshire,female,40 to 44,43.27,42.95,43.59,30.28,28.45,32.11,69.98,,
S12000034,Aberdeenshire,female,45 to 49,38.50,38.19,38.81,26.12,24.33,27.91,67.85,,
S12000034,Aberdeenshire,female,50 to 54,33.80,33.50,34.11,22.04,20.31,23.78,65.21,,
S12000034,Aberdeenshire,female,55 to 59,29.19,28.89,29.48,18.14,16.43,19.84,62.15,,
S12000034,Aberdeenshire,female,60 to 64,24.75,24.47,25.03,14.48,12.80,16.16,58.51,,
S12000034,Aberdeenshire,female,65 to 69,20.38,20.11,20.65,11.04,9.37,12.70,54.15,,
S12000034,Aberdeenshire,female,70 to 74,16.24,15.98,16.49,7.95,6.28,9.62,48.97,,
S12000034,Aberdeenshire,female,75 to 79,12.40,12.16,12.65,5.30,3.62,6.98,42.73,,
S12000034,Aberdeenshire,female,80 to 84,9.11,8.89,9.33,3.33,1.75,4.91,36.55,,
S12000034,Aberdeenshire,female,85 to 89,6.24,6.02,6.45,1.93,0.70,3.16,31.01,,
S12000034,Aberdeenshire,female,90+,4.11,3.85,4.37,1.41,0.26,2.55,34.23,,
S12000035,Argyll and Bute,male,less than 1,77.36,76.65,78.08,64.29,62.76,65.82,83.11,,
S12000035,Argyll and Bute,male,1 to 4,76.36,75.65,77.08,63.29,61.76,64.82,82.88,,
S12000035,Argyll and Bute,male,5 to 9,72.49,71.80,73.18,59.40,57.87,60.93,81.94,,
S12000035,Argyll and Bute,male,10 to 14,67.49,66.80,68.18,54.43,52.90,55.96,80.64,,
S12000035,Argyll and Bute,male,15 to 19,62.59,61.91,63.27,49.58,48.05,51.10,79.21,,
S12000035,Argyll and Bute,male,20 to 24,57.71,57.04,58.38,44.79,43.29,46.30,77.62,,
S12000035,Argyll and Bute,male,25 to 29,52.90,52.25,53.55,40.15,38.68,41.63,75.91,,
S12000035,Argyll and Bute,male,30 to 34,48.28,47.67,48.90,35.77,34.36,37.18,74.08,,
S12000035,Argyll and Bute,male,35 to 39,43.56,42.97,44.14,31.40,30.05,32.75,72.09,,
S12000035,Argyll and Bute,male,40 to 44,38.88,38.33,39.44,27.17,25.92,28.42,69.88,,
S12000035,Argyll and Bute,male,45 to 49,34.39,33.87,34.90,23.18,21.99,24.36,67.40,,
S12000035,Argyll and Bute,male,50 to 54,29.96,29.48,30.45,19.37,18.24,20.50,64.65,,
S12000035,Argyll and Bute,male,55 to 59,25.64,25.18,26.10,15.86,14.79,16.93,61.85,,
S12000035,Argyll and Bute,male,60 to 64,21.42,20.99,21.85,12.62,11.62,13.62,58.92,,
S12000035,Argyll and Bute,male,65 to 69,17.55,17.14,17.95,9.82,8.87,10.78,55.98,,
S12000035,Argyll and Bute,male,70 to 74,13.98,13.59,14.36,7.32,6.37,8.27,52.38,,
S12000035,Argyll and Bute,male,75 to 79,10.61,10.25,10.98,5.14,4.17,6.10,48.39,,
S12000035,Argyll and Bute,male,80 to 84,7.88,7.52,8.24,3.42,2.59,4.25,43.41,,
S12000035,Argyll and Bute,male,85 to 89,5.44,5.06,5.82,2.12,1.45,2.78,38.87,,
S12000035,Argyll and Bute,male,90+,3.84,3.28,4.40,1.26,0.66,1.86,32.84,,
S12000035,Argyll and Bute,female,less than 1,82.24,81.60,82.88,62.38,60.42,64.34,75.85,,
S12000035,Argyll and Bute,female,1 to 4,81.32,80.70,81.94,61.56,59.60,63.52,75.70,,
S12000035,Argyll and Bute,female,5 to 9,77.39,76.78,78.00,58.07,56.15,60.00,75.04,,
S12000035,Argyll and Bute,female,10 to 14,72.45,71.85,73.05,53.67,51.80,55.55,74.08,,
S12000035,Argyll and Bute,female,15 to 19,67.51,66.92,68.09,49.27,47.46,51.09,72.99,,
S12000035,Argyll and Bute,female,20 to 24,62.65,62.09,63.22,44.98,43.22,46.74,71.78,,
S12000035,Argyll and Bute,female,25 to 29,57.65,57.09,58.22,40.62,38.95,42.29,70.45,,
S12000035,Argyll and Bute,female,30 to 34,52.70,52.15,53.26,36.35,34.81,37.90,68.97,,
S12000035,Argyll and Bute,female,35 to 39,47.79,47.24,48.33,32.19,30.75,33.64,67.36,,
S12000035,Argyll and Bute,female,40 to 44,43.01,42.49,43.53,28.20,26.84,29.56,65.57,,
S12000035,Argyll and Bute,female,45 to 49,38.20,37.70,38.70,24.29,23.03,25.55,63.58,,
S12000035,Argyll and Bute,female,50 to 54,33.52,33.04,34.00,20.59,19.39,21.79,61.43,,
S12000035,Argyll and Bute,female,55 to 59,29.00,28.53,29.46,17.13,15.97,18.28,59.07,,
S12000035,Argyll and Bute,female,60 to 64,24.72,24.29,25.16,13.96,12.87,15.06,56.48,,
S12000035,Argyll and Bute,female,65 to 69,20.66,20.26,21.06,11.05,10.00,12.10,53.47,,
S12000035,Argyll and Bute,female,70 to 74,16.47,16.09,16.85,8.26,7.24,9.28,50.16,,
S12000035,Argyll and Bute,female,75 to 79,12.53,12.17,12.89,5.81,4.82,6.80,46.38,,
S12000035,Argyll and Bute,female,80 to 84,9.24,8.90,9.58,3.91,3.00,4.82,42.29,,
S12000035,Argyll and Bute,female,85 to 89,6.47,6.13,6.81,2.47,1.72,3.22,38.11,,
S12000035,Argyll and Bute,female,90+,4.37,3.96,4.79,1.47,0.79,2.15,33.55,,
S12000036,City of Edinburgh,male,less than 1,77.97,77.64,78.30,65.03,63.20,66.86,83.41,,
S12000036,City of Edinburgh,male,1 to 4,77.39,77.09,77.70,64.42,62.58,66.26,83.23,,
S12000036,City of Edinburgh,male,5 to 9,73.45,73.15,73.75,60.57,58.74,62.41,82.47,,
S12000036,City of Edinburgh,male,10 to 14,68.48,68.19,68.78,55.72,53.89,57.54,81.36,,
S12000036,City of Edinburgh,male,15 to 19,63.55,63.25,63.84,50.89,49.08,52.71,80.09,,
S12000036,City of Edinburgh,male,20 to 24,58.64,58.35,58.93,46.14,44.33,47.95,78.68,,
S12000036,City of Edinburgh,male,25 to 29,53.75,53.47,54.04,41.41,39.63,43.18,77.03,,
S12000036,City of Edinburgh,male,30 to 34,48.90,48.61,49.19,36.74,34.97,38.50,75.13,,
S12000036,City of Edinburgh,male,35 to 39,44.17,43.89,44.45,32.28,30.54,34.02,73.08,,
S12000036,City of Edinburgh,male,40 to 44,39.46,39.18,39.73,28.04,26.33,29.75,71.06,,
S12000036,City of Edinburgh,male,45 to 49,34.86,34.59,35.12,24.10,22.45,25.75,69.14,,
S12000036,City of Edinburgh,male,50 to 54,30.44,30.18,30.70,20.41,18.79,22.02,67.04,,
S12000036,City of Edinburgh,male,55 to 59,26.17,25.92,26.42,16.80,15.20,18.40,64.22,,
S12000036,City of Edinburgh,male,60 to 64,21.97,21.73,22.21,13.53,11.99,15.07,61.58,,
S12000036,City of Edinburgh,male,65 to 69,18.02,17.79,18.25,10.56,9.06,12.07,58.60,,
S12000036,City of Edinburgh,male,70 to 74,14.34,14.12,14.56,7.88,6.39,9.36,54.92,,
S12000036,City of Edinburgh,male,75 to 79,11.13,10.92,11.34,5.53,4.03,7.03,49.73,,
S12000036,City of Edinburgh,male,80 to 84,8.31,8.11,8.50,3.60,2.15,5.05,43.35,,
S12000036,City of Edinburgh,male,85 to 89,5.83,5.63,6.04,2.24,1.06,3.42,38.42,,
S12000036,City of Edinburgh,male,90+,4.09,3.82,4.37,1.62,0.49,2.74,39.44,,
S12000036,City of Edinburgh,female,less than 1,82.33,82.04,82.62,65.15,62.75,67.54,79.13,,
S12000036,City of Edinburgh,female,1 to 4,81.49,81.21,81.77,64.42,62.02,66.81,79.05,,
S12000036,City of Edinburgh,female,5 to 9,77.53,77.25,77.81,61.00,58.68,63.32,78.68,,
S12000036,City of Edinburgh,female,10 to 14,72.53,72.25,72.81,56.58,54.36,58.79,78.01,,
S12000036,City of Edinburgh,female,15 to 19,67.59,67.32,67.86,52.15,50.04,54.27,77.16,,
S12000036,City of Edinburgh,female,20 to 24,62.63,62.36,62.90,47.83,45.84,49.82,76.36,,
S12000036,City of Edinburgh,female,25 to 29,57.67,57.39,57.94,43.43,41.50,45.37,75.32,,
S12000036,City of Edinburgh,female,30 to 34,52.72,52.45,52.99,39.04,37.15,40.94,74.06,,
S12000036,City of Edinburgh,female,35 to 39,47.84,47.57,48.10,34.67,32.81,36.54,72.48,,
S12000036,City of Edinburgh,female,40 to 44,42.99,42.73,43.26,30.46,28.63,32.30,70.86,,
S12000036,City of Edinburgh,female,45 to 49,38.27,38.02,38.53,26.52,24.73,28.30,69.28,,
S12000036,City of Edinburgh,female,50 to 54,33.67,33.42,33.92,22.64,20.90,24.39,67.24,,
S12000036,City of Edinburgh,female,55 to 59,29.14,28.90,29.38,18.92,17.22,20.62,64.93,,
S12000036,City of Edinburgh,female,60 to 64,24.72,24.49,24.95,15.38,13.71,17.05,62.21,,
S12000036,City of Edinburgh,female,65 to 69,20.50,20.28,20.71,11.82,10.20,13.45,57.69,,
S12000036,City of Edinburgh,female,70 to 74,16.49,16.29,16.70,8.44,6.82,10.05,51.16,,
S12000036,City of Edinburgh,female,75 to 79,12.82,12.63,13.02,5.48,3.85,7.10,42.70,,
S12000036,City of Edinburgh,female,80 to 84,9.61,9.43,9.78,3.16,1.58,4.74,32.92,,
S12000036,City of Edinburgh,female,85 to 89,6.77,6.60,6.95,1.71,0.47,2.94,25.21,,
S12000036,City of Edinburgh,female,90+,4.57,4.36,4.78,0.94,-0.13,2.02,20.62,,
S12000038,Renfrewshire,male,less than 1,76.17,75.67,76.68,60.95,59.11,62.79,80.01,,
S12000038,Renfrewshire,male,1 to 4,75.29,74.79,75.78,60.04,58.20,61.88,79.75,,
S12000038,Renfrewshire,male,5 to 9,71.34,70.85,71.82,56.10,54.26,57.94,78.64,,
S12000038,Renfrewshire,male,10 to 14,66.38,65.90,66.87,51.26,49.43,53.08,77.21,,
