"Table 2: Healthy Life Expectancy (HLE1) estimates by council area in Scotland, 2018-2020",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Council Area,Area Code,Sex,Age group,"Life Expectancy (LE, years)",LE Lower CI (years),LE Upper CI (years),Healthy Life Expectancy (HLE) (years),HLE Lower CI (years),HLE Upper CI (years),Proportion of Life Spent in Good Health (%),,,,,,,,,,,,,,,,
Aberdeen City,S12000033,Male,<1,76.93,76.48,77.39,58.29,55.18,61.40,75.77,,,,,,,,,,,,,,,,
Aberdeen City,S12000033,Male,1 to 4,76.13,75.70,76.57,57.52,54.41,60.64,75.56,,,,,,,,,,,,,,,,
Aberdeen City,S12000033,Male,5 to 9,72.22,71.79,72.64,53.94,50.87,57.00,74.69,,,,,,,,,,,,,,,,
Aberdeen City,S12000033,Male,10 to 14,67.23,66.81,67.66,49.47,46.49,52.45,73.58,,,,,,,,,,,,,,,,
Aberdeen City,S12000033,Male,15 to 19,62.26,61.83,62.68,45.09,42.22,47.97,72.43,,,,,,,,,,,,,,,,
Aberdeen City,S12000033,Male,20 to 24,57.39,56.98,57.81,40.89,38.13,43.65,71.25,,,,,,,,,,,,,,,,
Aberdeen City,S12000033,Male,25 to 29,52.48,52.07,52.89,36.75,34.18,39.32,70.03,,,,,,,,,,,,,,,,
Aberdeen City,S12000033,Male,30 to 34,47.63,47.22,48.03,32.75,30.23,35.27,68.77,,,,,,,,,,,,,,,,
Aberdeen City,S12000033,Male,35 to 39,42.81,42.41,43.21,28.88,26.40,31.37,67.47,,,,,,,,,,,,,,,,
Aberdeen City,S12000033,Male,40 to 44,38.10,37.70,38.49,25.19,22.78,27.59,66.11,,,,,,,,,,,,,,,,
Aberdeen City,S12000033,Male,45 to 49,33.67,33.30,34.05,21.79,19.69,23.89,64.71,,,,,,,,,,,,,,,,
Aberdeen City,S12000033,Male,50 to 54,29.37,29.01,29.73,18.58,16.54,20.63,63.27,,,,,,,,,,,,,,,,
Aberdeen City,S12000033,Male,55 to 59,25.06,24.72,25.40,15.48,13.51,17.44,61.77,,,,,,,,,,,,,,,,
Aberdeen City,S12000033,Male,60 to 64,21.05,20.73,21.38,12.67,10.76,14.58,60.19,,,,,,,,,,,,,,,,
Aberdeen City,S12000033,Male,65 to 69,17.31,17.00,17.62,10.13,8.19,12.07,58.53,,,,,,,,,,,,,,,,
Aberdeen City,S12000033,Male,70 to 74,13.73,13.44,14.02,7.79,5.82,9.77,56.78,,,,,,,,,,,,,,,,
Aberdeen City,S12000033,Male,75 to 79,10.42,10.14,10.69,5.72,3.66,7.79,54.96,,,,,,,,,,,,,,,,
Aberdeen City,S12000033,Male,80 to 84,7.61,7.35,7.87,4.02,1.74,6.31,52.91,,,,,,,,,,,,,,,,
Aberdeen City,S12000033,Male,85 to 89,5.37,5.09,5.65,2.72,0.83,4.60,50.58,,,,,,,,,,,,,,,,
Aberdeen City,S12000033,Male,90+,4.02,3.61,4.44,1.91,0.02,3.80,47.45,,,,,,,,,,,,,,,,
Aberdeenshire,S12000034,Female,<1,82.44,82.05,82.83,65.86,63.57,68.16,79.90,,,,,,,,,,,,,,,,
Aberdeenshire,S12000034,Female,1 to 4,81.63,81.26,82.00,65.09,62.79,67.39,79.74,,,,,,,,,,,,,,,,
Aberdeenshire,S12000034,Female,5 to 9,77.67,77.30,78.03,61.39,59.12,63.67,79.05,,,,,,,,,,,,,,,,
Aberdeenshire,S12000034,Female,10 to 14,72.72,72.35,73.08,56.77,54.54,59.00,78.07,,,,,,,,,,,,,,,,
Aberdeenshire,S12000034,Female,15 to 19,67.72,67.35,68.08,52.17,50.00,54.35,77.05,,,,,,,,,,,,,,,,
Aberdeenshire,S12000034,Female,20 to 24,62.72,62.35,63.08,47.66,45.56,49.77,76.00,,,,,,,,,,,,,,,,
Aberdeenshire,S12000034,Female,25 to 29,57.86,57.52,58.21,43.35,41.36,45.35,74.92,,,,,,,,,,,,,,,,
Aberdeenshire,S12000034,Female,30 to 34,53.01,52.67,53.35,39.04,37.10,40.97,73.64,,,,,,,,,,,,,,,,
Aberdeenshire,S12000034,Female,35 to 39,48.15,47.82,48.48,34.75,32.86,36.63,72.16,,,,,,,,,,,,,,,,
Aberdeenshire,S12000034,Female,40 to 44,43.32,43.00,43.64,30.54,28.70,32.37,70.49,,,,,,,,,,,,,,,,
Aberdeenshire,S12000034,Female,45 to 49,38.62,38.31,38.93,26.49,24.72,28.27,68.60,,,,,,,,,,,,,,,,
Aberdeenshire,S12000034,Female,50 to 54,33.98,33.68,34.28,22.52,20.80,24.25,66.28,,,,,,,,,,,,,,,,
Aberdeenshire,S12000034,Female,55 to 59,29.37,29.08,29.65,18.68,17.00,20.35,63.60,,,,,,,,,,,,,,,,
Aberdeenshire,S12000034,Female,60 to 64,24.93,24.65,25.21,15.07,13.44,16.69,60.43,,,,,,,,,,,,,,,,
Aberdeenshire,S12000034,Female,65 to 69,20.65,20.39,20.92,11.70,10.13,13.28,56.67,,,,,,,,,,,,,,,,
Aberdeenshire,S12000034,Female,70 to 74,16.52,16.27,16.77,8.63,7.07,10.19,52.25,,,,,,,,,,,,,,,,
Aberdeenshire,S12000034,Female,75 to 79,12.61,12.37,12.85,5.92,4.33,7.51,46.96,,,,,,,,,,,,,,,,
Aberdeenshire,S12000034,Female,80 to 84,9.19,8.97,9.42,3.83,2.36,5.30,41.64,,,,,,,,,,,,,,,,
Aberdeenshire,S12000034,Female,85 to 89,6.32,6.09,6.54,2.32,1.14,3.50,36.72,,,,,,,,,,,,,,,,
Aberdeenshire,S12000034,Female,90+,4.34,4.06,4.62,1.66,0.54,2.79,38.35,,,,,,,,,,,,,,,,
Aberdeenshire,S12000034,Male,<1,78.94,78.52,79.35,67.01,65.11,68.92,84.89,,,,,,,,,,,,,,,,
Aberdeenshire,S12000034,Male,1 to 4,78.16,77.77,78.56,66.20,64.29,68.11,84.70,,,,,,,,,,,,,,,,
Aberdeenshire,S12000034,Male,5 to 9,74.16,73.77,74.56,62.22,60.32,64.13,83.90,,,,,,,,,,,,,,,,
Aberdeenshire,S12000034,Male,10 to 14,69.19,68.80,69.58,57.31,55.41,59.21,82.83,,,,,,,,,,,,,,,,
Aberdeenshire,S12000034,Male,15 to 19,64.24,63.86,64.63,52.45,50.56,54.34,81.64,,,,,,,,,,,,,,,,
Aberdeenshire,S12000034,Male,20 to 24,59.39,59.01,59.77,47.73,45.86,49.60,80.37,,,,,,,,,,,,,,,,
Aberdeenshire,S12000034,Male,25 to 29,54.49,54.11,54.86,43.05,41.22,44.87,79.00,,,,,,,,,,,,,,,,
Aberdeenshire,S12000034,Male,30 to 34,49.77,49.41,50.13,38.58,36.78,40.38,77.52,,,,,,,,,,,,,,,,
Aberdeenshire,S12000034,Male,35 to 39,45.19,44.86,45.52,34.27,32.51,36.03,75.84,,,,,,,,,,,,,,,,
Aberdeenshire,S12000034,Male,40 to 44,40.47,40.15,40.80,29.91,28.23,31.58,73.89,,,,,,,,,,,,,,,,
Aberdeenshire,S12000034,Male,45 to 49,35.79,35.48,36.10,25.64,24.00,27.27,71.63,,,,,,,,,,,,,,,,
Aberdeenshire,S12000034,Male,50 to 54,31.20,30.90,31.50,21.53,19.95,23.12,69.02,,,,,,,,,,,,,,,,
Aberdeenshire,S12000034,Male,55 to 59,26.75,26.46,27.03,17.66,16.13,19.18,66.01,,,,,,,,,,,,,,,,
Aberdeenshire,S12000034,Male,60 to 64,22.40,22.13,22.68,14.06,12.57,15.56,62.77,,,,,,,,,,,,,,,,
Aberdeenshire,S12000034,Male,65 to 69,18.32,18.06,18.59,10.88,9.49,12.28,59.40,,,,,,,,,,,,,,,,
Aberdeenshire,S12000034,Male,70 to 74,14.56,14.31,14.80,8.04,6.65,9.44,55.25,,,,,,,,,,,,,,,,
Aberdeenshire,S12000034,Male,75 to 79,10.99,10.75,11.23,5.56,4.12,6.99,50.59,,,,,,,,,,,,,,,,
Aberdeenshire,S12000034,Male,80 to 84,7.98,7.74,8.21,3.75,2.62,4.89,47.04,,,,,,,,,,,,,,,,
Aberdeenshire,S12000034,Male,85 to 89,5.58,5.34,5.82,2.41,1.48,3.34,43.17,,,,,,,,,,,,,,,,
Aberdeenshire,S12000034,Male,90+,3.76,3.43,4.09,1.59,0.75,2.42,42.19,,,,,,,,,,,,,,,,
Angus,S12000041,Female,<1,82.27,81.68,82.86,62.56,60.17,64.95,76.04,,,,,,,,,,,,,,,,
Angus,S12000041,Female,1 to 4,81.45,80.90,82.01,61.76,59.36,64.15,75.82,,,,,,,,,,,,,,,,
Angus,S12000041,Female,5 to 9,77.50,76.96,78.05,58.08,55.70,60.45,74.94,,,,,,,,,,,,,,,,
Angus,S12000041,Female,10 to 14,72.54,72.00,73.08,53.51,51.17,55.84,73.76,,,,,,,,,,,,,,,,
Angus,S12000041,Female,15 to 19,67.54,67.00,68.08,48.99,46.70,51.28,72.52,,,,,,,,,,,,,,,,
Angus,S12000041,Female,20 to 24,62.58,62.05,63.12,44.66,42.43,46.89,71.36,,,,,,,,,,,,,,,,
Angus,S12000041,Female,25 to 29,57.65,57.13,58.18,40.55,38.42,42.68,70.33,,,,,,,,,,,,,,,,
Angus,S12000041,Female,30 to 34,52.91,52.41,53.41,36.58,34.51,38.66,69.14,,,,,,,,,,,,,,,,
Angus,S12000041,Female,35 to 39,48.09,47.61,48.57,32.70,30.69,34.71,68.00,,,,,,,,,,,,,,,,
Angus,S12000041,Female,40 to 44,43.32,42.85,43.78,28.93,26.98,30.87,66.78,,,,,,,,,,,,,,,,
Angus,S12000041,Female,45 to 49,38.65,38.21,39.08,25.29,23.45,27.13,65.45,,,,,,,,,,,,,,,,
Angus,S12000041,Female,50 to 54,33.95,33.53,34.37,21.73,19.98,23.48,64.01,,,,,,,,,,,,,,,,
Angus,S12000041,Female,55 to 59,29.43,29.03,29.83,18.33,16.62,20.05,62.30,,,,,,,,,,,,,,,,
Angus,S12000041,Female,60 to 64,24.96,24.58,25.34,15.02,13.36,16.68,60.17,,,,,,,,,,,,,,,,
Angus,S12000041,Female,65 to 69,20.72,20.36,21.08,11.85,10.22,13.48,57.19,,,,,,,,,,,,,,,,
Angus,S12000041,Female,70 to 74,16.63,16.30,16.97,8.92,7.29,10.54,53.61,,,,,,,,,,,,,,,,
Angus,S12000041,Female,75 to 79,12.78,12.46,13.10,6.25,4.62,7.88,48.90,,,,,,,,,,,,,,,,
Angus,S12000041,Female,80 to 84,9.30,9.00,9.60,4.14,2.48,5.80,44.53,,,,,,,,,,,,,,,,
Angus,S12000041,Female,85 to 89,6.62,6.32,6.91,2.69,1.30,4.08,40.60,,,,,,,,,,,,,,,,
Angus,S12000041,Female,90+,4.52,4.16,4.89,1.71,0.41,3.01,37.84,,,,,,,,,,,,,,,,
Angus,S12000041,Male,<1,78.45,77.80,79.11,62.21,60.03,64.39,79.29,,,,,,,,,,,,,,,,
Angus,S12000041,Male,1 to 4,77.76,77.15,78.36,61.57,59.38,63.75,79.18,,,,,,,,,,,,,,,,
Angus,S12000041,Male,5 to 9,73.80,73.20,74.40,58.07,55.92,60.21,78.68,,,,,,,,,,,,,,,,
Angus,S12000041,Male,10 to 14,68.88,68.28,69.47,53.72,51.65,55.80,78.00,,,,,,,,,,,,,,,,
Angus,S12000041,Male,15 to 19,63.88,63.28,64.47,49.31,47.31,51.31,77.20,,,,,,,,,,,,,,,,
Angus,S12000041,Male,20 to 24,59.00,58.42,59.58,45.01,43.08,46.94,76.29,,,,,,,,,,,,,,,,
Angus,S12000041,Male,25 to 29,54.12,53.55,54.69,40.74,38.88,42.60,75.27,,,,,,,,,,,,,,,,
Angus,S12000041,Male,30 to 34,49.32,48.77,49.87,36.57,34.79,38.36,74.16,,,,,,,,,,,,,,,,
Angus,S12000041,Male,35 to 39,44.64,44.11,45.17,32.56,30.86,34.26,72.95,,,,,,,,,,,,,,,,
Angus,S12000041,Male,40 to 44,39.99,39.49,40.50,28.59,26.95,30.23,71.48,,,,,,,,,,,,,,,,
Angus,S12000041,Male,45 to 49,35.61,35.16,36.07,24.89,23.32,26.46,69.89,,,,,,,,,,,,,,,,
Angus,S12000041,Male,50 to 54,31.11,30.67,31.54,21.17,19.66,22.67,68.04,,,,,,,,,,,,,,,,
Angus,S12000041,Male,55 to 59,26.81,26.40,27.22,17.69,16.23,19.15,65.98,,,,,,,,,,,,,,,,
Angus,S12000041,Male,60 to 64,22.36,21.96,22.75,14.31,12.94,15.69,64.03,,,,,,,,,,,,,,,,
Angus,S12000041,Male,65 to 69,18.40,18.03,18.76,11.35,10.00,12.69,61.68,,,,,,,,,,,,,,,,
Angus,S12000041,Male,70 to 74,14.63,14.29,14.97,8.54,7.26,9.82,58.36,,,,,,,,,,,,,,,,
Angus,S12000041,Male,75 to 79,11.18,10.85,11.51,6.10,4.81,7.40,54.60,,,,,,,,,,,,,,,,
Angus,S12000041,Male,80 to 84,8.23,7.91,8.55,4.19,2.90,5.49,50.95,,,,,,,,,,,,,,,,
Angus,S12000041,Male,85 to 89,5.69,5.36,6.02,2.74,1.69,3.80,48.18,,,,,,,,,,,,,,,,
Angus,S12000041,Male,90+,3.99,3.51,4.46,1.95,0.95,2.95,48.92,,,,,,,,,,,,,,,,
Argyll and Bute,S12000035,Female,<1,81.57,80.88,82.26,64.63,62.33,66.93,79.24,,,,,,,,,,,,,,,,
Argyll and Bute,S12000035,Female,1 to 4,80.75,80.11,81.39,63.83,61.53,66.13,79.04,,,,,,,,,,,,,,,,
Argyll and Bute,S12000035,Female,5 to 9,76.83,76.20,77.45,60.11,57.84,62.38,78.24,,,,,,,,,,,,,,,,
Argyll and Bute,S12000035,Female,10 to 14,71.89,71.27,72.50,55.48,53.27,57.70,77.18,,,,,,,,,,,,,,,,
Argyll and Bute,S12000035,Female,15 to 19,66.94,66.34,67.54,50.92,48.78,53.07,76.07,,,,,,,,,,,,,,,,
Argyll and Bute,S12000035,Female,20 to 24,62.10,61.52,62.68,46.55,44.49,48.61,74.96,,,,,,,,,,,,,,,,
Argyll and Bute,S12000035,Female,25 to 29,57.15,56.58,57.72,42.21,40.24,44.17,73.85,,,,,,,,,,,,,,,,
Argyll and Bute,S12000035,Female,30 to 34,52.15,51.58,52.72,37.91,36.05,39.76,72.68,,,,,,,,,,,,,,,,
Argyll and Bute,S12000035,Female,35 to 39,47.24,46.68,47.80,33.78,32.01,35.54,71.50,,,,,,,,,,,,,,,,
Argyll and Bute,S12000035,Female,40 to 44,42.45,41.92,42.99,29.79,28.14,31.44,70.17,,,,,,,,,,,,,,,,
Argyll and Bute,S12000035,Female,45 to 49,37.85,37.35,38.34,25.99,24.49,27.50,68.68,,,,,,,,,,,,,,,,
Argyll and Bute,S12000035,Female,50 to 54,33.34,32.88,33.80,22.39,20.94,23.84,67.16,,,,,,,,,,,,,,,,
Argyll and Bute,S12000035,Female,55 to 59,28.83,28.40,29.27,18.89,17.58,20.19,65.50,,,,,,,,,,,,,,,,
Argyll and Bute,S12000035,Female,60 to 64,24.50,24.09,24.91,15.60,14.34,16.85,63.65,,,,,,,,,,,,,,,,
Argyll and Bute,S12000035,Female,65 to 69,20.25,19.87,20.63,12.36,11.15,13.58,61.06,,,,,,,,,,,,,,,,
Argyll and Bute,S12000035,Female,70 to 74,16.07,15.71,16.43,9.35,8.17,10.52,58.17,,,,,,,,,,,,,,,,
Argyll and Bute,S12000035,Female,75 to 79,12.27,11.93,12.61,6.72,5.55,7.88,54.73,,,,,,,,,,,,,,,,
Argyll and Bute,S12000035,Female,80 to 84,9.02,8.71,9.33,4.64,3.59,5.68,51.40,,,,,,,,,,,,,,,,
Argyll and Bute,S12000035,Female,85 to 89,6.14,5.84,6.45,3.02,2.17,3.87,49.15,,,,,,,,,,,,,,,,
Argyll and Bute,S12000035,Female,90+,3.88,3.52,4.25,1.86,1.13,2.60,48.02,,,,,,,,,,,,,,,,
Argyll and Bute,S12000035,Male,<1,78.01,77.27,78.75,63.39,61.20,65.57,81.26,,,,,,,,,,,,,,,,
Argyll and Bute,S12000035,Male,1 to 4,77.09,76.36,77.82,62.49,60.30,64.68,81.06,,,,,,,,,,,,,,,,
Argyll and Bute,S12000035,Male,5 to 9,73.09,72.36,73.82,58.62,56.45,60.79,80.20,,,,,,,,,,,,,,,,
Argyll and Bute,S12000035,Male,10 to 14,68.09,67.36,68.82,53.81,51.67,55.96,79.04,,,,,,,,,,,,,,,,
Argyll and Bute,S12000035,Male,15 to 19,63.14,62.42,63.86,49.10,47.00,51.21,77.77,,,,,,,,,,,,,,,,
Argyll and Bute,S12000035,Male,20 to 24,58.23,57.51,58.94,44.49,42.43,46.55,76.41,,,,,,,,,,,,,,,,
Argyll and Bute,S12000035,Male,25 to 29,53.35,52.65,54.06,39.97,38.00,41.94,74.92,,,,,,,,,,,,,,,,
Argyll and Bute,S12000035,Male,30 to 34,48.71,48.04,49.38,35.70,33.86,37.54,73.29,,,,,,,,,,,,,,,,
Argyll and Bute,S12000035,Male,35 to 39,44.11,43.48,44.74,31.57,29.85,33.29,71.57,,,,,,,,,,,,,,,,
Argyll and Bute,S12000035,Male,40 to 44,39.59,39.01,40.18,27.63,25.98,29.27,69.78,,,,,,,,,,,,,,,,
Argyll and Bute,S12000035,Male,45 to 49,35.17,34.63,35.71,23.90,22.42,25.38,67.95,,,,,,,,,,,,,,,,
Argyll and Bute,S12000035,Male,50 to 54,30.81,30.31,31.31,20.35,18.97,21.74,66.07,,,,,,,,,,,,,,,,
Argyll and Bute,S12000035,Male,55 to 59,26.54,26.07,27.01,16.97,15.66,18.27,63.92,,,,,,,,,,,,,,,,
Argyll and Bute,S12000035,Male,60 to 64,22.37,21.92,22.82,13.76,12.56,14.97,61.53,,,,,,,,,,,,,,,,
Argyll and Bute,S12000035,Male,65 to 69,18.37,17.95,18.79,10.79,9.63,11.96,58.75,,,,,,,,,,,,,,,,
Argyll and Bute,S12000035,Male,70 to 74,14.67,14.27,15.07,8.22,7.07,9.38,56.07,,,,,,,,,,,,,,,,
Argyll and Bute,S12000035,Male,75 to 79,11.37,10.98,11.76,6.04,4.87,7.22,53.16,,,,,,,,,,,,,,,,
Argyll and Bute,S12000035,Male,80 to 84,8.34,7.95,8.72,4.20,3.06,5.34,50.36,,,,,,,,,,,,,,,,
Argyll and Bute,S12000035,Male,85 to 89,5.92,5.50,6.35,2.73,1.78,3.68,46.14,,,,,,,,,,,,,,,,
Argyll and Bute,S12000035,Male,90+,4.24,3.61,4.86,1.75,0.83,2.67,41.24,,,,,,,,,,,,,,,,
City of Edinburgh,S12000036,Female,<1,82.36,82.06,82.65,66.48,64.42,68.54,80.72,,,,,,,,,,,,,,,,
City of Edinburgh,S12000036,Female,1 to 4,81.62,81.35,81.89,65.71,63.64,67.77,80.50,,,,,,,,,,,,,,,,
City of Edinburgh,S12000036,Female,5 to 9,77.65,77.38,77.92,61.81,59.75,63.87,79.59,,,,,,,,,,,,,,,,
City of Edinburgh,S12000036,Female,10 to 14,72.67,72.40,72.94,56.90,54.85,58.96,78.30,,,,,,,,,,,,,,,,
City of Edinburgh,S12000036,Female,15 to 19,67.72,67.46,67.99,52.09,50.05,54.13,76.92,,,,,,,,,,,,,,,,
City of Edinburgh,S12000036,Female,20 to 24,62.75,62.49,63.01,47.54,45.53,49.54,75.75,,,,,,,,,,,,,,,,
City of Edinburgh,S12000036,Female,25 to 29,57.81,57.55,58.07,43.01,41.07,44.95,74.40,,,,,,,,,,,,,,,,
City of Edinburgh,S12000036,Female,30 to 34,52.87,52.61,53.13,38.55,36.64,40.45,72.90,,,,,,,,,,,,,,,,
City of Edinburgh,S12000036,Female,35 to 39,47.98,47.72,48.24,34.11,32.23,35.99,71.10,,,,,,,,,,,,,,,,
City of Edinburgh,S12000036,Female,40 to 44,43.15,42.89,43.40,29.95,28.11,31.79,69.41,,,,,,,,,,,,,,,,
City of Edinburgh,S12000036,Female,45 to 49,38.38,38.13,38.63,26.08,24.29,27.88,67.96,,,,,,,,,,,,,,,,
City of Edinburgh,S12000036,Female,50 to 54,33.77,33.53,34.01,22.30,20.57,24.03,66.04,,,,,,,,,,,,,,,,
City of Edinburgh,S12000036,Female,55 to 59,29.24,29.01,29.47,18.69,17.00,20.37,63.91,,,,,,,,,,,,,,,,
City of Edinburgh,S12000036,Female,60 to 64,24.83,24.60,25.05,15.24,13.61,16.87,61.39,,,,,,,,,,,,,,,,
City of Edinburgh,S12000036,Female,65 to 69,20.61,20.40,20.82,11.64,10.01,13.27,56.48,,,,,,,,,,,,,,,,
City of Edinburgh,S12000036,Female,70 to 74,16.49,16.29,16.69,8.06,6.46,9.67,48.89,,,,,,,,,,,,,,,,
City of Edinburgh,S12000036,Female,75 to 79,12.76,12.57,12.94,4.94,3.31,6.58,38.74,,,,,,,,,,,,,,,,
City of Edinburgh,S12000036,Female,80 to 84,9.51,9.34,9.68,2.56,0.99,4.14,26.95,,,,,,,,,,,,,,,,
City of Edinburgh,S12000036,Female,85 to 89,6.64,6.47,6.80,1.24,0.08,2.39,18.65,,,,,,,,,,,,,,,,
City of Edinburgh,S12000036,Female,90+,4.41,4.21,4.61,0.69,-0.29,1.68,15.70,,,,,,,,,,,,,,,,
City of Edinburgh,S12000036,Male,<1,78.15,77.84,78.47,64.20,62.26,66.15,82.15,,,,,,,,,,,,,,,,
City of Edinburgh,S12000036,Male,1 to 4,77.43,77.13,77.73,63.55,61.59,65.50,82.07,,,,,,,,,,,,,,,,
City of Edinburgh,S12000036,Male,5 to 9,73.51,73.22,73.80,60.02,58.11,61.94,81.66,,,,,,,,,,,,,,,,
City of Edinburgh,S12000036,Male,10 to 14,68.54,68.25,68.84,55.48,53.61,57.35,80.94,,,,,,,,,,,,,,,,
City of Edinburgh,S12000036,Male,15 to 19,63.58,63.29,63.87,50.87,49.04,52.70,80.01,,,,,,,,,,,,,,,,
City of Edinburgh,S12000036,Male,20 to 24,58.71,58.43,59.00,46.31,44.52,48.11,78.88,,,,,,,,,,,,,,,,
City of Edinburgh,S12000036,Male,25 to 29,53.85,53.57,54.13,41.71,39.95,43.47,77.45,,,,,,,,,,,,,,,,
City of Edinburgh,S12000036,Male,30 to 34,48.97,48.69,49.25,37.08,35.34,38.82,75.72,,,,,,,,,,,,,,,,
City of Edinburgh,S12000036,Male,35 to 39,44.11,43.83,44.38,32.54,30.82,34.27,73.78,,,,,,,,,,,,,,,,
City of Edinburgh,S12000036,Male,40 to 44,39.39,39.13,39.66,28.29,26.60,29.99,71.82,,,,,,,,,,,,,,,,
City of Edinburgh,S12000036,Male,45 to 49,34.77,34.51,35.03,24.31,22.65,25.97,69.92,,,,,,,,,,,,,,,,
City of Edinburgh,S12000036,Male,50 to 54,30.37,30.11,30.62,20.58,18.97,22.19,67.76,,,,,,,,,,,,,,,,
City of Edinburgh,S12000036,Male,55 to 59,26.06,25.82,26.30,16.88,15.28,18.49,64.79,,,,,,,,,,,,,,,,
City of Edinburgh,S12000036,Male,60 to 64,21.92,21.69,22.15,13.58,12.00,15.16,61.96,,,,,,,,,,,,,,,,
City of Edinburgh,S12000036,Male,65 to 69,18.03,17.80,18.25,10.59,9.07,12.10,58.73,,,,,,,,,,,,,,,,
City of Edinburgh,S12000036,Male,70 to 74,14.31,14.10,14.52,7.82,6.37,9.28,54.69,,,,,,,,,,,,,,,,
City of Edinburgh,S12000036,Male,75 to 79,11.01,10.81,11.21,5.39,3.85,6.93,48.95,,,,,,,,,,,,,,,,
City of Edinburgh,S12000036,Male,80 to 84,8.23,8.04,8.42,3.45,1.90,4.99,41.85,,,,,,,,,,,,,,,,
City of Edinburgh,S12000036,Male,85 to 89,5.92,5.72,6.12,2.14,0.87,3.42,36.20,,,,,,,,,,,,,,,,
City of Edinburgh,S12000036,Male,90+,4.10,3.83,4.36,1.50,0.30,2.70,36.59,,,,,,,,,,,,,,,,
Clackmannanshire,S12000005,Female,<1,80.62,79.78,81.46,62.66,59.41,65.91,77.72,,,,,,,,,,,,,,,,
Clackmannanshire,S12000005,Female,1 to 4,79.74,78.93,80.54,61.84,58.59,65.09,77.56,,,,,,,,,,,,,,,,
Clackmannanshire,S12000005,Female,5 to 9,75.84,75.06,76.62,58.29,55.06,61.51,76.85,,,,,,,,,,,,,,,,
Clackmannanshire,S12000005,Female,10 to 14,70.84,70.06,71.62,53.76,50.59,56.93,75.89,,,,,,,,,,,,,,,,
Clackmannanshire,S12000005,Female,15 to 19,65.84,65.06,66.62,49.27,46.17,52.38,74.84,,,,,,,,,,,,,,,,
