"Table 2: Healthy Life Expectancy (HLE1) estimates by council area in Scotland, 2018-2020",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Council Area,Area Code,Sex,Age group,"Life Expectancy (LE, years)",LE Lower CI (years),LE Upper CI (years),Healthy Life Expectancy (HLE) (years),HLE Lower CI (years),HLE Upper CI (years),Proportion of Life Spent in Good Health (%),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Aberdeen City,S12000033,Female,<1,81.26,80.82,81.70,61.25,58.34,64.16,75.37,,,,,,,,,,,,,,,,
Aberdeen City,S12000033,Female,1 to 4,80.49,80.07,80.90,60.51,57.59,63.42,75.18,,,,,,,,,,,,,,,,
Aberdeen City,S12000033,Female,5 to 9,76.55,76.14,76.97,56.91,54.05,59.77,74.34,,,,,,,,,,,,,,,,
Aberdeen City,S12000033,Female,10 to 14,71.58,71.17,71.99,52.44,49.69,55.19,73.26,,,,,,,,,,,,,,,,
Aberdeen City,S12000033,Female,15 to 19,66.62,66.22,67.03,48.02,45.39,50.66,72.08,,,,,,,,,,,,,,,,
Aberdeen City,S12000033,Female,20 to 24,61.64,61.24,62.05,43.74,41.25,46.22,70.95,,,,,,,,,,,,,,,,
Aberdeen City,S12000033,Female,25 to 29,56.71,56.31,57.11,39.53,37.21,41.86,69.71,,,,,,,,,,,,,,,,
Aberdeen City,S12000033,Female,30 to 34,51.78,51.38,52.18,35.34,33.05,37.63,68.25,,,,,,,,,,,,,,,,
Aberdeen City,S12000033,Female,35 to 39,46.97,46.57,47.36,31.34,29.10,33.58,66.73,,,,,,,,,,,,,,,,
Aberdeen City,S12000033,Female,40 to 44,42.14,41.75,42.53,27.40,25.24,29.57,65.03,,,,,,,,,,,,,,,,
Aberdeen City,S12000033,Female,45 to 49,37.44,37.07,37.81,23.71,21.62,25.79,63.32,,,,,,,,,,,,,,,,
Aberdeen City,S12000033,Female,50 to 54,32.84,32.48,33.20,20.14,18.12,22.16,61.34,,,,,,,,,,,,,,,,
Aberdeen City,S12000033,Female,55 to 59,28.41,28.07,28.76,16.83,14.88,18.77,59.21,,,,,,,,,,,,,,,,
Aberdeen City,S12000033,Female,60 to 64,24.02,23.69,24.35,13.63,11.81,15.45,56.75,,,,,,,,,,,,,,,,
Aberdeen City,S12000033,Female,65 to 69,19.96,19.64,20.27,10.67,8.88,12.46,53.48,,,,,,,,,,,,,,,,
Aberdeen City,S12000033,Female,70 to 74,16.13,15.84,16.42,7.85,6.05,9.64,48.66,,,,,,,,,,,,,,,,
Aberdeen City,S12000033,Female,75 to 79,12.47,12.20,12.74,5.29,3.47,7.10,42.39,,,,,,,,,,,,,,,,
Aberdeen City,S12000033,Female,80 to 84,9.24,8.99,9.49,3.49,1.98,5.01,37.80,,,,,,,,,,,,,,,,
Aberdeen City,S12000033,Female,85 to 89,6.54,6.29,6.78,2.29,1.05,3.54,35.07,,,,,,,,,,,,,,,,
Aberdeen City,S12000033,Female,90+,4.39,4.08,4.69,1.79,0.59,3.00,40.83,,,,,,,,,,,,,,,,
