Table 8. Life expectancy in Scotland's council areas split by deprivation quintile 2014-2018,,,,,,,,,
,,,,,,,,,
Council area,SIMD quintile (SIMD 2016),Sex,Age band,"Life Expectancy (LE, years)",LE Lower CI (years),LE Upper CI (years),,,
East Ayrshire,3,male,85 to 89,6.2327,5.37691,7.08849,,,
East Ayrshire,3,male,90+,5.05357,3.72996,6.37718,,,
East Ayrshire,4,female,less than 1,83.12395,82.26664,83.98126,,,
East Ayrshire,4,female,1 to 4,82.12395,81.26664,82.98126,,,
East Ayrshire,4,female,5 to 9,78.12395,77.26664,78.98126,,,
East Ayrshire,4,female,10 to 14,73.12395,72.26664,73.98126,,,
East Ayrshire,4,female,15 to 19,68.12395,67.26664,68.98126,,,
East Ayrshire,4,female,20 to 24,63.22971,62.39645,64.06296,,,
East Ayrshire,4,female,25 to 29,58.22971,57.39645,59.06296,,,
East Ayrshire,4,female,30 to 34,53.22971,52.39645,54.06296,,,
East Ayrshire,4,female,35 to 39,48.30517,47.4839,49.12643,,,
East Ayrshire,4,female,40 to 44,43.37137,42.55923,44.1835,,,
East Ayrshire,4,female,45 to 49,38.57471,37.78336,39.36606,,,
East Ayrshire,4,female,50 to 54,33.67991,32.89526,34.46457,,,
East Ayrshire,4,female,55 to 59,29.16858,28.40679,29.93037,,,
East Ayrshire,4,female,60 to 64,24.54732,23.80099,25.29365,,,
East Ayrshire,4,female,65 to 69,20.17575,19.45174,20.89976,,,
East Ayrshire,4,female,70 to 74,16.14984,15.44031,16.85937,,,
East Ayrshire,4,female,75 to 79,12.58866,11.88191,13.2954,,,
East Ayrshire,4,female,80 to 84,9.45655,8.7306,10.1825,,,
East Ayrshire,4,female,85 to 89,7.23743,6.39619,8.07868,,,
East Ayrshire,4,female,90+,5.76531,4.62383,6.90678,,,
East Ayrshire,4,male,less than 1,78.27678,77.23547,79.31809,,,
East Ayrshire,4,male,1 to 4,77.27678,76.23547,78.31809,,,
East Ayrshire,4,male,5 to 9,73.39973,72.38499,74.41447,,,
East Ayrshire,4,male,10 to 14,68.50856,67.51492,69.50219,,,
East Ayrshire,4,male,15 to 19,63.50856,62.51492,64.50219,,,
East Ayrshire,4,male,20 to 24,58.59866,57.61938,59.57794,,,
East Ayrshire,4,male,25 to 29,53.9721,53.04262,54.90158,,,
East Ayrshire,4,male,30 to 34,49.32762,48.44551,50.20974,,,
East Ayrshire,4,male,35 to 39,44.54076,43.68825,45.39328,,,
East Ayrshire,4,male,40 to 44,39.90142,39.09191,40.71094,,,
East Ayrshire,4,male,45 to 49,35.33548,34.56785,36.10311,,,
East Ayrshire,4,male,50 to 54,31.12389,30.40864,31.83914,,,
East Ayrshire,4,male,55 to 59,26.41616,25.71477,27.11755,,,
East Ayrshire,4,male,60 to 64,22.15415,21.48651,22.82179,,,
East Ayrshire,4,male,65 to 69,17.79886,17.15513,18.44259,,,
East Ayrshire,4,male,70 to 74,14.16078,13.54136,14.78019,,,
East Ayrshire,4,male,75 to 79,10.72562,10.11659,11.33466,,,
East Ayrshire,4,male,80 to 84,7.86568,7.24321,8.48816,,,
East Ayrshire,4,male,85 to 89,5.63388,4.91378,6.35398,,,
East Ayrshire,4,male,90+,4.14286,3.05778,5.22794,,,
East Ayrshire,5,female,less than 1,83.61036,82.71956,84.50117,,,
East Ayrshire,5,female,1 to 4,82.75193,81.90393,83.59993,,,
East Ayrshire,5,female,5 to 9,78.75193,77.90393,79.59993,,,
East Ayrshire,5,female,10 to 14,73.86262,73.0416,74.68363,,,
East Ayrshire,5,female,15 to 19,68.86262,68.0416,69.68363,,,
East Ayrshire,5,female,20 to 24,63.86262,63.0416,64.68363,,,
East Ayrshire,5,female,25 to 29,59.0644,58.28978,59.83902,,,
East Ayrshire,5,female,30 to 34,54.24968,53.51631,54.98304,,,
East Ayrshire,5,female,35 to 39,49.24968,48.51631,49.98304,,,
East Ayrshire,5,female,40 to 44,44.36614,43.64893,45.08335,,,
East Ayrshire,5,female,45 to 49,39.50235,38.79957,40.20514,,,
East Ayrshire,5,female,50 to 54,34.67837,33.98938,35.36735,,,
East Ayrshire,5,female,55 to 59,29.95511,29.28434,30.62587,,,
East Ayrshire,5,female,60 to 64,25.32786,24.67932,25.97641,,,
East Ayrshire,5,female,65 to 69,20.84328,20.22067,21.46589,,,
East Ayrshire,5,female,70 to 74,16.42424,15.82171,17.02677,,,
East Ayrshire,5,female,75 to 79,12.39765,11.82756,12.96774,,,
East Ayrshire,5,female,80 to 84,8.83721,8.32104,9.35339,,,
East Ayrshire,5,female,85 to 89,5.72144,5.24768,6.19521,,,
East Ayrshire,5,female,90+,3.41781,2.8634,3.97221,,,
East Ayrshire,5,male,less than 1,80.16189,79.1088,81.21498,,,
East Ayrshire,5,male,1 to 4,79.30091,78.28185,80.31997,,,
East Ayrshire,5,male,5 to 9,75.41812,74.42375,76.41249,,,
East Ayrshire,5,male,10 to 14,70.41812,69.42375,71.41249,,,
East Ayrshire,5,male,15 to 19,65.41812,64.42375,66.41249,,,
East Ayrshire,5,male,20 to 24,60.50579,59.52499,61.48659,,,
East Ayrshire,5,male,25 to 29,55.7779,54.84209,56.71372,,,
East Ayrshire,5,male,30 to 34,51.33971,50.50899,52.17043,,,
East Ayrshire,5,male,35 to 39,46.57261,45.78084,47.36438,,,
East Ayrshire,5,male,40 to 44,41.7516,40.98295,42.52024,,,
East Ayrshire,5,male,45 to 49,36.88912,36.13369,37.64454,,,
East Ayrshire,5,male,50 to 54,32.06409,31.32056,32.80762,,,
East Ayrshire,5,male,55 to 59,27.40869,26.68492,28.13247,,,
East Ayrshire,5,male,60 to 64,22.81258,22.10652,23.51864,,,
East Ayrshire,5,male,65 to 69,18.56516,17.88446,19.24587,,,
East Ayrshire,5,male,70 to 74,14.67422,14.01263,15.3358,,,
East Ayrshire,5,male,75 to 79,10.84029,10.18826,11.49232,,,
East Ayrshire,5,male,80 to 84,7.89835,7.26018,8.53652,,,
East Ayrshire,5,male,85 to 89,5.52275,4.83233,6.21317,,,
East Ayrshire,5,male,90+,3.88136,2.89095,4.87176,,,
East Ayrshire,all,female,less than 1,79.90955,79.4833,80.3358,,,
East Ayrshire,all,female,1 to 4,79.06694,78.65889,79.475,,,
East Ayrshire,all,female,5 to 9,75.06694,74.65889,75.475,,,
East Ayrshire,all,female,10 to 14,70.08882,69.68289,70.49474,,,
East Ayrshire,all,female,15 to 19,65.10996,64.70604,65.51389,,,
East Ayrshire,all,female,20 to 24,60.12891,59.72658,60.53125,,,
East Ayrshire,all,female,25 to 29,55.24418,54.8502,55.63815,,,
East Ayrshire,all,female,30 to 34,50.4308,50.04871,50.81289,,,
East Ayrshire,all,female,35 to 39,45.60126,45.22923,45.9733,,,
East Ayrshire,all,female,40 to 44,40.86776,40.51047,41.22504,,,
East Ayrshire,all,female,45 to 49,36.27376,35.93445,36.61307,,,
East Ayrshire,all,female,50 to 54,31.63756,31.30904,31.96609,,,
East Ayrshire,all,female,55 to 59,27.18972,26.87451,27.50494,,,
East Ayrshire,all,female,60 to 64,22.8131,22.51202,23.11419,,,
East Ayrshire,all,female,65 to 69,18.68299,18.39938,18.96659,,,
East Ayrshire,all,female,70 to 74,14.81908,14.55044,15.08773,,,
East Ayrshire,all,female,75 to 79,11.37867,11.12531,11.63202,,,
East Ayrshire,all,female,80 to 84,8.39479,8.15376,8.63583,,,
East Ayrshire,all,female,85 to 89,6.14668,5.89556,6.39781,,,
East Ayrshire,all,female,90+,4.38627,4.06109,4.71144,,,
East Ayrshire,all,male,less than 1,76.22631,75.73329,76.71933,,,
East Ayrshire,all,male,1 to 4,75.43692,74.96213,75.91172,,,
East Ayrshire,all,male,5 to 9,71.54321,71.07696,72.00946,,,
East Ayrshire,all,male,10 to 14,66.58267,66.11937,67.04597,,,
East Ayrshire,all,male,15 to 19,61.58267,61.11937,62.04597,,,
East Ayrshire,all,male,20 to 24,56.66838,56.21054,57.12622,,,
East Ayrshire,all,male,25 to 29,51.97776,51.53684,52.41867,,,
East Ayrshire,all,male,30 to 34,47.3408,46.91931,47.76229,,,
East Ayrshire,all,male,35 to 39,42.66215,42.25772,43.06657,,,
East Ayrshire,all,male,40 to 44,38.12795,37.74692,38.50899,,,
East Ayrshire,all,male,45 to 49,33.77911,33.42444,34.13377,,,
East Ayrshire,all,male,50 to 54,29.47288,29.138,29.80776,,,
East Ayrshire,all,male,55 to 59,25.16311,24.84387,25.48235,,,
East Ayrshire,all,male,60 to 64,20.91032,20.60587,21.21477,,,
East Ayrshire,all,male,65 to 69,16.84947,16.5606,17.13834,,,
East Ayrshire,all,male,70 to 74,13.30621,13.03061,13.5818,,,
East Ayrshire,all,male,75 to 79,10.2059,9.94142,10.47038,,,
East Ayrshire,all,male,80 to 84,7.44043,7.17793,7.70293,,,
East Ayrshire,all,male,85 to 89,5.47368,5.17642,5.77095,,,
East Ayrshire,all,male,90+,4,3.55327,4.44673,,,
East Dunbartonshire,1,female,less than 1,78.73058,77.65916,79.802,,,
East Dunbartonshire,1,female,1 to 4,77.87595,76.84112,78.91078,,,
East Dunbartonshire,1,female,5 to 9,73.87595,72.84112,74.91078,,,
East Dunbartonshire,1,female,10 to 14,68.87595,67.84112,69.91078,,,
East Dunbartonshire,1,female,15 to 19,63.99093,62.97914,65.00271,,,
East Dunbartonshire,1,female,20 to 24,59.09664,58.10455,60.08872,,,
East Dunbartonshire,1,female,25 to 29,54.27433,53.31019,55.23848,,,
East Dunbartonshire,1,female,30 to 34,49.49039,48.55373,50.42704,,,
East Dunbartonshire,1,female,35 to 39,44.84643,43.95619,45.73667,,,
East Dunbartonshire,1,female,40 to 44,39.90964,39.02674,40.79255,,,
East Dunbartonshire,1,female,45 to 49,35.43271,34.5991,36.26632,,,
East Dunbartonshire,1,female,50 to 54,30.84274,30.03473,31.65074,,,
East Dunbartonshire,1,female,55 to 59,26.50517,25.72955,27.2808,,,
East Dunbartonshire,1,female,60 to 64,22.27102,21.52639,23.01566,,,
East Dunbartonshire,1,female,65 to 69,18.43727,17.7472,19.12735,,,
East Dunbartonshire,1,female,70 to 74,14.83058,14.19249,15.46867,,,
East Dunbartonshire,1,female,75 to 79,11.52888,10.9377,12.12005,,,
East Dunbartonshire,1,female,80 to 84,8.93444,8.3937,9.47517,,,
East Dunbartonshire,1,female,85 to 89,6.30108,5.75748,6.84468,,,
East Dunbartonshire,1,female,90+,4.44586,3.75042,5.1413,,,
East Dunbartonshire,1,male,less than 1,75.43896,74.23571,76.64221,,,
East Dunbartonshire,1,male,1 to 4,74.56249,73.38187,75.7431,,,
East Dunbartonshire,1,male,5 to 9,70.56249,69.38187,71.7431,,,
East Dunbartonshire,1,male,10 to 14,65.56249,64.38187,66.7431,,,
East Dunbartonshire,1,male,15 to 19,60.56249,59.38187,61.7431,,,
East Dunbartonshire,1,male,20 to 24,55.73366,54.57365,56.89368,,,
East Dunbartonshire,1,male,25 to 29,51.02737,49.89722,52.15751,,,
East Dunbartonshire,1,male,30 to 34,46.30192,45.19788,47.40596,,,
East Dunbartonshire,1,male,35 to 39,41.59658,40.52354,42.66962,,,
East Dunbartonshire,1,male,40 to 44,37.31133,36.31431,38.30835,,,
East Dunbartonshire,1,male,45 to 49,33.35951,32.45769,34.26133,,,
East Dunbartonshire,1,male,50 to 54,28.84647,27.97754,29.71539,,,
East Dunbartonshire,1,male,55 to 59,24.47812,23.63362,25.32263,,,
East Dunbartonshire,1,male,60 to 64,20.67592,19.8689,21.48295,,,
East Dunbartonshire,1,male,65 to 69,16.80759,16.03965,17.57554,,,
East Dunbartonshire,1,male,70 to 74,13.09245,12.35297,13.83193,,,
East Dunbartonshire,1,male,75 to 79,10.28838,9.5793,10.99745,,,
East Dunbartonshire,1,male,80 to 84,8.24239,7.5269,8.95788,,,
East Dunbartonshire,1,male,85 to 89,6.19598,5.39613,6.99582,,,
East Dunbartonshire,1,male,90+,4.77273,3.62126,5.92419,,,
East Dunbartonshire,2,female,less than 1,83.129,82.12444,84.13355,,,
East Dunbartonshire,2,female,1 to 4,82.129,81.12444,83.13355,,,
East Dunbartonshire,2,female,5 to 9,78.129,77.12444,79.13355,,,
East Dunbartonshire,2,female,10 to 14,73.129,72.12444,74.13355,,,
East Dunbartonshire,2,female,15 to 19,68.129,67.12444,69.13355,,,
East Dunbartonshire,2,female,20 to 24,63.25908,62.28543,64.23274,,,
East Dunbartonshire,2,female,25 to 29,58.25908,57.28543,59.23274,,,
East Dunbartonshire,2,female,30 to 34,53.36004,52.40494,54.31514,,,
East Dunbartonshire,2,female,35 to 39,48.36004,47.40494,49.31514,,,
East Dunbartonshire,2,female,40 to 44,43.60647,42.68785,44.52509,,,
East Dunbartonshire,2,female,45 to 49,39.00427,38.13366,39.87489,,,
East Dunbartonshire,2,female,50 to 54,34.46275,33.62887,35.29664,,,
East Dunbartonshire,2,female,55 to 59,29.9993,29.20018,30.79841,,,
East Dunbartonshire,2,female,60 to 64,25.47989,24.7047,26.25508,,,
East Dunbartonshire,2,female,65 to 69,21.21096,20.46833,21.95358,,,
East Dunbartonshire,2,female,70 to 74,17.12693,16.41676,17.83711,,,
East Dunbartonshire,2,female,75 to 79,13.22588,12.54891,13.90284,,,
East Dunbartonshire,2,female,80 to 84,10.03245,9.38717,10.67773,,,
East Dunbartonshire,2,female,85 to 89,6.96649,6.32084,7.61214,,,
East Dunbartonshire,2,female,90+,4.63971,3.85992,5.41949,,,
East Dunbartonshire,2,male,less than 1,78.81056,77.68915,79.93197,,,
East Dunbartonshire,2,male,1 to 4,77.81056,76.68915,78.93197,,,
East Dunbartonshire,2,male,5 to 9,73.81056,72.68915,74.93197,,,
East Dunbartonshire,2,male,10 to 14,68.94019,67.84591,70.03448,,,
East Dunbartonshire,2,male,15 to 19,63.94019,62.84591,65.03448,,,
East Dunbartonshire,2,male,20 to 24,59.15039,58.09185,60.20893,,,
East Dunbartonshire,2,male,25 to 29,54.42209,53.40411,55.44008,,,
East Dunbartonshire,2,male,30 to 34,49.51231,48.50804,50.51659,,,
East Dunbartonshire,2,male,35 to 39,44.69806,43.72337,45.67276,,,
East Dunbartonshire,2,male,40 to 44,39.97709,39.0485,40.90568,,,
East Dunbartonshire,2,male,45 to 49,35.46698,34.60007,36.3339,,,
East Dunbartonshire,2,male,50 to 54,31.15461,30.34792,31.96131,,,
East Dunbartonshire,2,male,55 to 59,26.61828,25.84236,27.3942,,,
East Dunbartonshire,2,male,60 to 64,22.14937,21.40128,22.89747,,,
East Dunbartonshire,2,male,65 to 69,17.98429,17.26878,18.6998,,,
East Dunbartonshire,2,male,70 to 74,14.02709,13.3346,14.71957,,,
East Dunbartonshire,2,male,75 to 79,10.62879,9.9647,11.29288,,,
East Dunbartonshire,2,male,80 to 84,7.99957,7.35521,8.64394,,,
East Dunbartonshire,2,male,85 to 89,5.58925,4.88866,6.28984,,,
East Dunbartonshire,2,male,90+,4.14754,3.10671,5.18838,,,
East Dunbartonshire,3,female,less than 1,83.71237,82.78283,84.64191,,,
East Dunbartonshire,3,female,1 to 4,82.86414,81.9818,83.74649,,,
East Dunbartonshire,3,female,5 to 9,78.99841,78.15476,79.84207,,,
East Dunbartonshire,3,female,10 to 14,74.12323,73.31445,74.93201,,,
East Dunbartonshire,3,female,15 to 19,69.12323,68.31445,69.93201,,,
East Dunbartonshire,3,female,20 to 24,64.24021,63.46319,65.01723,,,
East Dunbartonshire,3,female,25 to 29,59.35208,58.60523,60.09893,,,
East Dunbartonshire,3,female,30 to 34,54.35208,53.60523,55.09893,,,
East Dunbartonshire,3,female,35 to 39,49.54819,48.84972,50.24666,,,
East Dunbartonshire,3,female,40 to 44,44.62054,43.93554,45.30554,,,
East Dunbartonshire,3,female,45 to 49,39.73528,39.06713,40.40343,,,
East Dunbartonshire,3,female,50 to 54,34.77875,34.11528,35.44223,,,
East Dunbartonshire,3,female,55 to 59,30.05859,29.41832,30.69885,,,
East Dunbartonshire,3,female,60 to 64,25.42152,24.80663,26.0364,,,
East Dunbartonshire,3,female,65 to 69,20.86136,20.27635,21.44637,,,
East Dunbartonshire,3,female,70 to 74,16.56386,16.01978,17.10794,,,
East Dunbartonshire,3,female,75 to 79,12.54474,12.05015,13.03932,,,
East Dunbartonshire,3,female,80 to 84,8.95069,8.5061,9.39527,,,
East Dunbartonshire,3,female,85 to 89,6.12759,5.70982,6.54536,,,
East Dunbartonshire,3,female,90+,4.36071,3.84993,4.8715,,,
East Dunbartonshire,3,male,less than 1,82.14425,81.20099,83.08751,,,
East Dunbartonshire,3,male,1 to 4,81.14425,80.20099,82.08751,,,
East Dunbartonshire,3,male,5 to 9,77.27599,76.3672,78.18479,,,
East Dunbartonshire,3,male,10 to 14,72.27599,71.3672,73.18479,,,
East Dunbartonshire,3,male,15 to 19,67.27599,66.3672,68.18479,,,
East Dunbartonshire,3,male,20 to 24,62.27599,61.3672,63.18479,,,
East Dunbartonshire,3,male,25 to 29,57.27599,56.3672,58.18479,,,
East Dunbartonshire,3,male,30 to 34,52.50021,51.64246,53.35796,,,
East Dunbartonshire,3,male,35 to 39,47.71989,46.91423,48.52556,,,
East Dunbartonshire,3,male,40 to 44,42.71989,41.91423,43.52556,,,
East Dunbartonshire,3,male,45 to 49,37.97143,37.19935,38.7435,,,
East Dunbartonshire,3,male,50 to 54,33.2036,32.45377,33.95343,,,
East Dunbartonshire,3,male,55 to 59,28.42312,27.68879,29.15745,,,
East Dunbartonshire,3,male,60 to 64,23.98968,23.28749,24.69186,,,
East Dunbartonshire,3,male,65 to 69,19.65343,18.98942,20.31744,,,
East Dunbartonshire,3,male,70 to 74,15.50166,14.87554,16.12778,,,
East Dunbartonshire,3,male,75 to 79,11.68738,11.10543,12.26933,,,
East Dunbartonshire,3,male,80 to 84,8.69172,8.15886,9.22459,,,
East Dunbartonshire,3,male,85 to 89,5.87355,5.34515,6.40195,,,
East Dunbartonshire,3,male,90+,3.775,3.09957,4.45043,,,
East Dunbartonshire,4,female,less than 1,87.75943,86.51694,89.00192,,,
East Dunbartonshire,4,female,1 to 4,86.75943,85.51694,88.00192,,,
East Dunbartonshire,4,female,5 to 9,82.75943,81.51694,84.00192,,,
East Dunbartonshire,4,female,10 to 14,77.75943,76.51694,79.00192,,,
East Dunbartonshire,4,female,15 to 19,72.75943,71.51694,74.00192,,,
East Dunbartonshire,4,female,20 to 24,67.75943,66.51694,69.00192,,,
East Dunbartonshire,4,female,25 to 29,63.00024,61.79883,64.20165,,,
East Dunbartonshire,4,female,30 to 34,58.00024,56.79883,59.20165,,,
East Dunbartonshire,4,female,35 to 39,53.00024,51.79883,54.20165,,,
East Dunbartonshire,4,female,40 to 44,48.09161,46.90145,49.28177,,,
East Dunbartonshire,4,female,45 to 49,43.09161,41.90145,44.28177,,,
East Dunbartonshire,4,female,50 to 54,38.18851,37.00311,39.37391,,,
East Dunbartonshire,4,female,55 to 59,33.38073,32.20098,34.56049,,,
East Dunbartonshire,4,female,60 to 64,28.72062,27.54897,29.89228,,,
East Dunbartonshire,4,female,65 to 69,24.2874,23.1238,25.451,,,
East Dunbartonshire,4,female,70 to 74,20.25466,19.08866,21.42065,,,
East Dunbartonshire,4,female,75 to 79,16.09073,14.91167,17.26979,,,
East Dunbartonshire,4,female,80 to 84,12.18844,10.96178,13.41511,,,
East Dunbartonshire,4,female,85 to 89,9.06143,7.68337,10.43949,,,
East Dunbartonshire,4,female,90+,7.3,5.45285,9.14715,,,
East Dunbartonshire,4,male,less than 1,82.50837,81.39703,83.61971,,,
East Dunbartonshire,4,male,1 to 4,81.67159,80.60509,82.73809,,,
East Dunbartonshire,4,male,5 to 9,77.81885,76.79018,78.84752,,,
East Dunbartonshire,4,male,10 to 14,72.81885,71.79018,73.84752,,,
East Dunbartonshire,4,male,15 to 19,67.81885,66.79018,68.84752,,,
East Dunbartonshire,4,male,20 to 24,62.81885,61.79018,63.84752,,,
East Dunbartonshire,4,male,25 to 29,57.99972,56.99897,59.00047,,,
East Dunbartonshire,4,male,30 to 34,53.20497,52.2418,54.16814,,,
East Dunbartonshire,4,male,35 to 39,48.20497,47.2418,49.16814,,,
East Dunbartonshire,4,male,40 to 44,43.40508,42.47848,44.33168,,,
East Dunbartonshire,4,male,45 to 49,38.54775,37.63927,39.45624,,,
East Dunbartonshire,4,male,50 to 54,33.69628,32.79973,34.59283,,,
East Dunbartonshire,4,male,55 to 59,28.85141,27.96339,29.73944,,,
East Dunbartonshire,4,male,60 to 64,24.60745,23.75199,25.46291,,,
East Dunbartonshire,4,male,65 to 69,20.39374,19.56525,21.22224,,,
East Dunbartonshire,4,male,70 to 74,16.44567,15.63879,17.25254,,,
East Dunbartonshire,4,male,75 to 79,12.63056,11.83108,13.43004,,,
East Dunbartonshire,4,male,80 to 84,9.49734,8.67689,10.31778,,,
East Dunbartonshire,4,male,85 to 89,6.82891,5.8889,7.76892,,,
East Dunbartonshire,4,male,90+,4.61702,3.29704,5.93701,,,
East Dunbartonshire,5,female,less than 1,86.83887,85.78252,87.89522,,,
East Dunbartonshire,5,female,1 to 4,85.83887,84.78252,86.89522,,,
East Dunbartonshire,5,female,5 to 9,81.9866,80.96885,83.00435,,,
East Dunbartonshire,5,female,10 to 14,77.1138,76.12543,78.10217,,,
East Dunbartonshire,5,female,15 to 19,72.35535,71.42219,73.2885,,,
East Dunbartonshire,5,female,20 to 24,67.46932,66.56178,68.37687,,,
East Dunbartonshire,5,female,25 to 29,62.46932,61.56178,63.37687,,,
East Dunbartonshire,5,female,30 to 34,57.46932,56.56178,58.37687,,,
East Dunbartonshire,5,female,35 to 39,52.46932,51.56178,53.37687,,,
East Dunbartonshire,5,female,40 to 44,47.55467,46.66112,48.44821,,,
East Dunbartonshire,5,female,45 to 49,42.55467,41.66112,43.44821,,,
East Dunbartonshire,5,female,50 to 54,37.74079,36.86191,38.61968,,,
East Dunbartonshire,5,female,55 to 59,33.0475,32.18705,33.90795,,,
East Dunbartonshire,5,female,60 to 64,28.34611,27.5025,29.18972,,,
East Dunbartonshire,5,female,65 to 69,23.62812,22.79824,24.45799,,,
East Dunbartonshire,5,female,70 to 74,19.29462,18.48254,20.10671,,,
East Dunbartonshire,5,female,75 to 79,15.28031,14.48166,16.07896,,,
East Dunbartonshire,5,female,80 to 84,11.54934,10.74489,12.3538,,,
East Dunbartonshire,5,female,85 to 89,8.09664,7.24564,8.94763,,,
East Dunbartonshire,5,female,90+,5.46602,4.4104,6.52164,,,
East Dunbartonshire,5,male,less than 1,82.75145,81.68102,83.82188,,,
East Dunbartonshire,5,male,1 to 4,81.75145,80.68102,82.82188,,,
East Dunbartonshire,5,male,5 to 9,77.75145,76.68102,78.82188,,,
East Dunbartonshire,5,male,10 to 14,72.75145,71.68102,73.82188,,,
East Dunbartonshire,5,male,15 to 19,67.75145,66.68102,68.82188,,,
East Dunbartonshire,5,male,20 to 24,62.84788,61.79268,63.90307,,,
East Dunbartonshire,5,male,25 to 29,58.02387,56.99417,59.05356,,,
East Dunbartonshire,5,male,30 to 34,53.12321,52.11025,54.13617,,,
East Dunbartonshire,5,male,35 to 39,48.23639,47.24575,49.22703,,,
East Dunbartonshire,5,male,40 to 44,43.39275,42.42272,44.36279,,,
East Dunbartonshire,5,male,45 to 49,39.03988,38.13301,39.94675,,,
East Dunbartonshire,5,male,50 to 54,34.47949,33.60359,35.35538,,,
East Dunbartonshire,5,male,55 to 59,30.0327,29.18758,30.87782,,,
East Dunbartonshire,5,male,60 to 64,25.44808,24.62354,26.27262,,,
East Dunbartonshire,5,male,65 to 69,21.01421,20.21445,21.81397,,,
East Dunbartonshire,5,male,70 to 74,16.91868,16.14166,17.69569,,,
East Dunbartonshire,5,male,75 to 79,13.05321,12.28903,13.81739,,,
East Dunbartonshire,5,male,80 to 84,9.84682,9.06968,10.62396,,,
East Dunbartonshire,5,male,85 to 89,6.99474,6.12157,7.86791,,,
East Dunbartonshire,5,male,90+,5.01493,3.81409,6.21576,,,
East Dunbartonshire,all,female,less than 1,83.58278,83.12729,84.03826,,,
East Dunbartonshire,all,female,1 to 4,82.65088,82.20491,83.09684,,,
East Dunbartonshire,all,female,5 to 9,78.70938,78.27052,79.14824,,,
East Dunbartonshire,all,female,10 to 14,73.76133,73.32811,74.19454,,,
East Dunbartonshire,all,female,15 to 19,68.83543,68.40996,69.2609,,,
East Dunbartonshire,all,female,20 to 24,63.9261,63.50944,64.34277,,,
East Dunbartonshire,all,female,25 to 29,59.03615,58.63005,59.44225,,,
East Dunbartonshire,all,female,30 to 34,54.12772,53.73101,54.52444,,,
East Dunbartonshire,all,female,35 to 39,49.27279,48.88979,49.65578,,,
East Dunbartonshire,all,female,40 to 44,44.38132,44.00596,44.75667,,,
East Dunbartonshire,all,female,45 to 49,39.59985,39.23637,39.96334,,,
East Dunbartonshire,all,female,50 to 54,34.84515,34.49081,35.1995,,,
East Dunbartonshire,all,female,55 to 59,30.24742,29.90469,30.59015,,,
East Dunbartonshire,all,female,60 to 64,25.71076,25.37968,26.04183,,,
East Dunbartonshire,all,female,65 to 69,21.35238,21.03668,21.66807,,,
East Dunbartonshire,all,female,70 to 74,17.26876,16.96968,17.56785,,,
East Dunbartonshire,all,female,75 to 79,13.38561,13.10265,13.66856,,,
East Dunbartonshire,all,female,80 to 84,9.94718,9.67599,10.21837,,,
East Dunbartonshire,all,female,85 to 89,6.91529,6.63843,7.19216,,,
East Dunbartonshire,all,female,90+,4.82473,4.47616,5.1733,,,
East Dunbartonshire,all,male,less than 1,80.27157,79.77627,80.76687,,,
East Dunbartonshire,all,male,1 to 4,79.3336,78.84544,79.82177,,,
East Dunbartonshire,all,male,5 to 9,75.38801,74.90536,75.87066,,,
East Dunbartonshire,all,male,10 to 14,70.41141,69.93079,70.89203,,,
East Dunbartonshire,all,male,15 to 19,65.41141,64.93079,65.89203,,,
East Dunbartonshire,all,male,20 to 24,60.50727,60.03332,60.98122,,,
East Dunbartonshire,all,male,25 to 29,55.70029,55.2387,56.16189,,,
East Dunbartonshire,all,male,30 to 34,50.88561,50.43692,51.3343,,,
East Dunbartonshire,all,male,35 to 39,46.06834,45.63413,46.50255,,,
East Dunbartonshire,all,male,40 to 44,41.35483,40.93968,41.76999,,,
East Dunbartonshire,all,male,45 to 49,36.89139,36.50351,37.27927,,,
East Dunbartonshire,all,male,50 to 54,32.292,31.91854,32.66546,,,
East Dunbartonshire,all,male,55 to 59,27.70755,27.3448,28.0703,,,
East Dunbartonshire,all,male,60 to 64,23.4185,23.07094,23.76607,,,
East Dunbartonshire,all,male,65 to 69,19.22195,18.89008,19.55382,,,
East Dunbartonshire,all,male,70 to 74,15.25069,14.93227,15.56912,,,
East Dunbartonshire,all,male,75 to 79,11.69338,11.38797,11.99878,,,
East Dunbartonshire,all,male,80 to 84,8.8639,8.56474,9.16307,,,
East Dunbartonshire,all,male,85 to 89,6.25346,5.92859,6.57834,,,
East Dunbartonshire,all,male,90+,4.36011,3.91033,4.80989,,,
East Lothian,1,female,less than 1,80.60149,79.48465,81.71833,,,
East Lothian,1,female,1 to 4,80.00964,78.98709,81.0322,,,
East Lothian,1,female,5 to 9,76.00964,74.98709,77.0322,,,
East Lothian,1,female,10 to 14,71.00964,69.98709,72.0322,,,
East Lothian,1,female,15 to 19,66.00964,64.98709,67.0322,,,
East Lothian,1,female,20 to 24,61.00964,59.98709,62.0322,,,
East Lothian,1,female,25 to 29,56.10334,55.09577,57.1109,,,
East Lothian,1,female,30 to 34,51.26387,50.27816,52.24958,,,
East Lothian,1,female,35 to 39,46.33975,45.36378,47.31571,,,
East Lothian,1,female,40 to 44,41.69821,40.76621,42.6302,,,
East Lothian,1,female,45 to 49,37.16621,36.28994,38.04247,,,
East Lothian,1,female,50 to 54,32.35543,31.49423,33.21663,,,
East Lothian,1,female,55 to 59,27.75693,26.92087,28.59299,,,
