Table 8. Life expectancy in Scotland's council areas split by deprivation quintile 2014-2018,,,,,,,,,
,,,,,,,,,
Council area,SIMD quintile (SIMD 2016),Sex,Age band,"Life Expectancy (LE, years)",LE Lower CI (years),LE Upper CI (years),,,
Aberdeen City,3,female,60 to 64,23.90,23.33,24.48,,,
Aberdeen City,3,female,65 to 69,19.80,19.26,20.34,,,
Aberdeen City,3,female,70 to 74,16.16,15.66,16.66,,,
Aberdeen City,3,female,75 to 79,12.71,12.26,13.16,,,
Aberdeen City,3,female,80 to 84,9.12,8.71,9.53,,,
Aberdeen City,3,female,85 to 89,6.27,5.88,6.66,,,
Aberdeen City,3,female,90+,3.92,3.44,4.40,,,
Aberdeen City,3,male,less than 1,75.81,74.99,76.63,,,
Aberdeen City,3,male,1 to 4,75.29,74.54,76.05,,,
Aberdeen City,3,male,5 to 9,71.36,70.62,72.10,,,
Aberdeen City,3,male,10 to 14,66.50,65.78,67.22,,,
Aberdeen City,3,male,15 to 19,61.50,60.78,62.22,,,
Aberdeen City,3,male,20 to 24,56.55,55.84,57.26,,,
Aberdeen City,3,male,25 to 29,51.63,50.92,52.34,,,
Aberdeen City,3,male,30 to 34,46.76,46.06,47.47,,,
Aberdeen City,3,male,35 to 39,41.86,41.16,42.56,,,
Aberdeen City,3,male,40 to 44,37.31,36.63,37.99,,,
Aberdeen City,3,male,45 to 49,33.15,32.51,33.78,,,
Aberdeen City,3,male,50 to 54,28.73,28.12,29.34,,,
Aberdeen City,3,male,55 to 59,24.53,23.95,25.10,,,
Aberdeen City,3,male,60 to 64,20.57,20.03,21.11,,,
Aberdeen City,3,male,65 to 69,16.90,16.40,17.40,,,
Aberdeen City,3,male,70 to 74,13.48,13.02,13.94,,,
Aberdeen City,3,male,75 to 79,9.95,9.52,10.37,,,
Aberdeen City,3,male,80 to 84,6.84,6.44,7.23,,,
Aberdeen City,3,male,85 to 89,4.76,4.36,5.16,,,
Aberdeen City,3,male,90+,3.26,2.68,3.84,,,
Aberdeen City,4,female,less than 1,83.11,82.38,83.85,,,
Aberdeen City,4,female,1 to 4,82.37,81.69,83.05,,,
Aberdeen City,4,female,5 to 9,78.45,77.79,79.11,,,
Aberdeen City,4,female,10 to 14,73.45,72.79,74.11,,,
Aberdeen City,4,female,15 to 19,68.45,67.79,69.11,,,
Aberdeen City,4,female,20 to 24,63.45,62.79,64.11,,,
Aberdeen City,4,female,25 to 29,58.47,57.82,59.13,,,
Aberdeen City,4,female,30 to 34,53.50,52.84,54.15,,,
Aberdeen City,4,female,35 to 39,48.58,47.93,49.23,,,
Aberdeen City,4,female,40 to 44,43.82,43.19,44.45,,,
Aberdeen City,4,female,45 to 49,38.94,38.31,39.56,,,
Aberdeen City,4,female,50 to 54,34.21,33.61,34.82,,,
Aberdeen City,4,female,55 to 59,29.45,28.86,30.05,,,
Aberdeen City,4,female,60 to 64,24.94,24.36,25.51,,,
Aberdeen City,4,female,65 to 69,20.56,20.01,21.10,,,
Aberdeen City,4,female,70 to 74,16.50,15.98,17.01,,,
Aberdeen City,4,female,75 to 79,12.73,12.25,13.20,,,
Aberdeen City,4,female,80 to 84,9.13,8.68,9.58,,,
Aberdeen City,4,female,85 to 89,6.54,6.09,6.99,,,
Aberdeen City,4,female,90+,4.88,4.29,5.47,,,
Aberdeen City,4,male,less than 1,80.96,80.19,81.74,,,
Aberdeen City,4,male,1 to 4,80.19,79.46,80.92,,,
Aberdeen City,4,male,5 to 9,76.26,75.54,76.98,,,
Aberdeen City,4,male,10 to 14,71.26,70.54,71.98,,,
Aberdeen City,4,male,15 to 19,66.26,65.54,66.98,,,
Aberdeen City,4,male,20 to 24,61.26,60.54,61.98,,,
Aberdeen City,4,male,25 to 29,56.40,55.69,57.11,,,
Aberdeen City,4,male,30 to 34,51.48,50.78,52.19,,,
Aberdeen City,4,male,35 to 39,46.60,45.90,47.30,,,
Aberdeen City,4,male,40 to 44,41.78,41.09,42.47,,,
