"Table 2. Life expectancy and healthy life expectancy in Scottish council areas, 2016-2018",,,,,,,,,,
,,,,,,,,,,
Area code,Council area,Sex,Age band,"Life Expectancy (LE, years)",LE lower confidence interval,LE upper confidence interval,Healthy Life Expectancy (HLE) (years),HLE lower confidence interval,HLE upper confidence interval,"Proportion of Life Spent in ""Good"" Health (%)"
S12000047,Fife,Male,70 to 74,14.12,13.91,14.33,7.97,6.84,9.10,56.44
S12000047,Fife,Male,75 to 79,10.76,10.56,10.96,5.79,4.65,6.92,53.79
S12000047,Fife,Male,80 to 84,7.89,7.69,8.08,4.01,2.92,5.10,50.80
S12000047,Fife,Male,85 to 89,5.73,5.52,5.95,2.76,1.83,3.69,48.14
S12000047,Fife,Male,90+,4.01,3.72,4.31,1.83,0.95,2.70,45.51
S12000048,Perth and Kinross,Female,less than 1,82.81,82.28,83.34,65.99,63.77,68.21,79.69
S12000048,Perth and Kinross,Female,1 to 4,82.07,81.58,82.56,65.32,63.09,67.54,79.59
S12000048,Perth and Kinross,Female,5 to 9,78.11,77.63,78.59,61.80,59.60,63.99,79.12
S12000048,Perth and Kinross,Female,10 to 14,73.11,72.63,73.59,57.34,55.20,59.49,78.44
S12000048,Perth and Kinross,Female,15 to 19,68.14,67.66,68.62,52.93,50.84,55.02,77.67
S12000048,Perth and Kinross,Female,20 to 24,63.31,62.85,63.77,48.73,46.70,50.76,76.97
S12000048,Perth and Kinross,Female,25 to 29,58.47,58.03,58.91,44.58,42.65,46.52,76.25
S12000048,Perth and Kinross,Female,30 to 34,53.52,53.08,53.96,40.42,38.56,42.29,75.53
S12000048,Perth and Kinross,Female,35 to 39,48.60,48.17,49.03,36.28,34.52,38.03,74.64
S12000048,Perth and Kinross,Female,40 to 44,43.78,43.37,44.20,32.24,30.56,33.93,73.65
S12000048,Perth and Kinross,Female,45 to 49,39.08,38.68,39.48,28.32,26.68,29.96,72.46
S12000048,Perth and Kinross,Female,50 to 54,34.46,34.08,34.84,24.51,22.91,26.10,71.11
S12000048,Perth and Kinross,Female,55 to 59,29.81,29.44,30.18,20.76,19.20,22.31,69.62
S12000048,Perth and Kinross,Female,60 to 64,25.35,24.99,25.70,17.20,15.69,18.70,67.84
S12000048,Perth and Kinross,Female,65 to 69,21.05,20.71,21.38,13.71,12.24,15.19,65.16
S12000048,Perth and Kinross,Female,70 to 74,16.91,16.59,17.23,10.45,9.00,11.90,61.78
S12000048,Perth and Kinross,Female,75 to 79,13.29,13.00,13.59,7.69,6.19,9.18,57.82
S12000048,Perth and Kinross,Female,80 to 84,9.77,9.49,10.05,5.16,3.68,6.65,52.85
S12000048,Perth and Kinross,Female,85 to 89,6.96,6.69,7.24,3.42,2.15,4.69,49.10
S12000048,Perth and Kinross,Female,90+,4.67,4.33,5.00,2.19,1.00,3.38,46.97
S12000048,Perth and Kinross,Male,less than 1,79.13,78.52,79.73,66.64,64.78,68.49,84.22
S12000048,Perth and Kinross,Male,1 to 4,78.37,77.79,78.95,65.84,63.98,67.70,84.01
S12000048,Perth and Kinross,Male,5 to 9,74.44,73.87,75.01,61.93,60.07,63.79,83.20
S12000048,Perth and Kinross,Male,10 to 14,69.47,68.90,70.03,57.09,55.26,58.93,82.19
S12000048,Perth and Kinross,Male,15 to 19,64.49,63.93,65.06,52.36,50.55,54.17,81.18
S12000048,Perth and Kinross,Male,20 to 24,59.66,59.11,60.21,47.85,46.09,49.61,80.20
S12000048,Perth and Kinross,Male,25 to 29,54.90,54.37,55.44,43.52,41.80,45.24,79.27
S12000048,Perth and Kinross,Male,30 to 34,50.24,49.73,50.75,39.36,37.72,40.99,78.34
S12000048,Perth and Kinross,Male,35 to 39,45.68,45.20,46.17,35.37,33.79,36.94,77.42
S12000048,Perth and Kinross,Male,40 to 44,41.07,40.61,41.53,31.42,29.91,32.94,76.51
S12000048,Perth and Kinross,Male,45 to 49,36.66,36.23,37.09,27.71,26.30,29.11,75.58
S12000048,Perth and Kinross,Male,50 to 54,32.19,31.79,32.60,24.01,22.68,25.33,74.57
S12000048,Perth and Kinross,Male,55 to 59,27.73,27.33,28.12,20.39,19.12,21.65,73.52
S12000048,Perth and Kinross,Male,60 to 64,23.52,23.14,23.89,17.07,15.84,18.30,72.59
S12000048,Perth and Kinross,Male,65 to 69,19.29,18.93,19.65,13.81,12.63,14.99,71.60
S12000048,Perth and Kinross,Male,70 to 74,15.50,15.16,15.85,10.92,9.78,12.06,70.44
S12000048,Perth and Kinross,Male,75 to 79,12.06,11.73,12.39,8.33,7.17,9.49,69.10
S12000048,Perth and Kinross,Male,80 to 84,9.02,8.70,9.35,6.09,4.91,7.27,67.49
S12000048,Perth and Kinross,Male,85 to 89,6.49,6.14,6.84,4.28,3.26,5.31,66.05
S12000048,Perth and Kinross,Male,90+,4.44,3.97,4.90,2.92,1.95,3.89,65.85
S12000049,Glasgow City,Female,less than 1,78.66,78.38,78.94,58.16,56.19,60.12,73.93
S12000049,Glasgow City,Female,1 to 4,78.06,77.81,78.32,57.48,55.50,59.45,73.63
S12000049,Glasgow City,Female,5 to 9,74.10,73.85,74.36,53.63,51.66,55.59,72.37
S12000049,Glasgow City,Female,10 to 14,69.13,68.88,69.39,48.89,46.96,50.82,70.72
S12000049,Glasgow City,Female,15 to 19,64.17,63.91,64.42,44.27,42.38,46.16,68.99
S12000049,Glasgow City,Female,20 to 24,59.20,58.95,59.45,39.77,37.94,41.60,67.18
S12000049,Glasgow City,Female,25 to 29,54.24,54.00,54.49,35.41,33.61,37.21,65.28
S12000049,Glasgow City,Female,30 to 34,49.33,49.08,49.58,31.21,29.44,32.98,63.27
S12000049,Glasgow City,Female,35 to 39,44.45,44.20,44.69,27.19,25.45,28.92,61.17
S12000049,Glasgow City,Female,40 to 44,39.76,39.52,40.00,23.44,21.76,25.13,58.97
S12000049,Glasgow City,Female,45 to 49,35.17,34.94,35.40,19.93,18.30,21.56,56.67
S12000049,Glasgow City,Female,50 to 54,30.70,30.48,30.92,16.66,15.08,18.23,54.26
S12000049,Glasgow City,Female,55 to 59,26.38,26.16,26.59,13.64,12.12,15.17,51.73
S12000049,Glasgow City,Female,60 to 64,22.12,21.91,22.33,10.85,9.37,12.32,49.05
S12000049,Glasgow City,Female,65 to 69,18.20,18.01,18.40,8.41,6.96,9.86,46.18
S12000049,Glasgow City,Female,70 to 74,14.63,14.45,14.81,6.31,4.92,7.71,43.14
S12000049,Glasgow City,Female,75 to 79,11.43,11.26,11.60,4.56,3.17,5.94,39.86
S12000049,Glasgow City,Female,80 to 84,8.71,8.55,8.87,3.17,1.99,4.34,36.34
S12000049,Glasgow City,Female,85 to 89,6.42,6.25,6.58,2.08,1.09,3.08,32.47
S12000049,Glasgow City,Female,90+,4.61,4.39,4.82,1.29,0.35,2.24,28.10
S12000049,Glasgow City,Male,less than 1,73.36,73.07,73.65,56.08,54.45,57.72,76.45
S12000049,Glasgow City,Male,1 to 4,72.69,72.42,72.97,55.35,53.71,56.99,76.14
S12000049,Glasgow City,Male,5 to 9,68.73,68.45,69.00,51.47,49.84,53.11,74.89
S12000049,Glasgow City,Male,10 to 14,63.75,63.47,64.02,46.66,45.03,48.28,73.19
S12000049,Glasgow City,Male,15 to 19,58.78,58.50,59.05,41.90,40.29,43.51,71.29
S12000049,Glasgow City,Male,20 to 24,53.94,53.67,54.20,37.29,35.69,38.89,69.13
S12000049,Glasgow City,Male,25 to 29,49.09,48.83,49.35,32.74,31.16,34.32,66.70
S12000049,Glasgow City,Male,30 to 34,44.28,44.02,44.54,28.31,26.76,29.87,63.94
S12000049,Glasgow City,Male,35 to 39,39.55,39.29,39.80,24.10,22.57,25.63,60.93
S12000049,Glasgow City,Male,40 to 44,35.00,34.75,35.25,20.27,18.77,21.76,57.90
S12000049,Glasgow City,Male,45 to 49,30.80,30.56,31.04,16.89,15.46,18.32,54.84
S12000049,Glasgow City,Male,50 to 54,26.84,26.61,27.06,13.84,12.46,15.22,51.58
S12000049,Glasgow City,Male,55 to 59,22.84,22.62,23.05,11.01,9.67,12.36,48.23
S12000049,Glasgow City,Male,60 to 64,19.00,18.79,19.21,8.51,7.20,9.82,44.78
S12000049,Glasgow City,Male,65 to 69,15.43,15.23,15.63,6.49,5.21,7.76,42.04
S12000049,Glasgow City,Male,70 to 74,12.33,12.14,12.52,4.84,3.56,6.12,39.26
S12000049,Glasgow City,Male,75 to 79,9.48,9.29,9.66,3.49,2.11,4.87,36.82
S12000049,Glasgow City,Male,80 to 84,7.23,7.05,7.42,2.52,0.96,4.09,34.90
S12000049,Glasgow City,Male,85 to 89,5.57,5.36,5.79,1.89,0.51,3.27,33.94
S12000049,Glasgow City,Male,90+,4.33,4.00,4.65,1.44,0.00,2.88,33.25
S12000050,North Lanarkshire,Female,less than 1,79.61,79.28,79.95,58.94,56.97,60.91,74.04
S12000050,North Lanarkshire,Female,1 to 4,78.71,78.38,79.03,58.06,56.09,60.03,73.77
S12000050,North Lanarkshire,Female,5 to 9,74.73,74.41,75.06,54.32,52.38,56.26,72.69
S12000050,North Lanarkshire,Female,10 to 14,69.81,69.48,70.13,49.69,47.80,51.58,71.19
S12000050,North Lanarkshire,Female,15 to 19,64.86,64.55,65.18,45.09,43.26,46.92,69.51
S12000050,North Lanarkshire,Female,20 to 24,59.93,59.61,60.24,40.57,38.81,42.33,67.70
S12000050,North Lanarkshire,Female,25 to 29,55.00,54.69,55.31,36.18,34.45,37.90,65.77
S12000050,North Lanarkshire,Female,30 to 34,50.09,49.78,50.39,31.88,30.21,33.55,63.65
S12000050,North Lanarkshire,Female,35 to 39,45.29,44.99,45.59,27.77,26.16,29.38,61.31
S12000050,North Lanarkshire,Female,40 to 44,40.57,40.28,40.85,23.85,22.30,25.40,58.80
S12000050,North Lanarkshire,Female,45 to 49,35.97,35.70,36.25,20.15,18.64,21.66,56.01
S12000050,North Lanarkshire,Female,50 to 54,31.41,31.14,31.67,16.65,15.18,18.12,53.02
S12000050,North Lanarkshire,Female,55 to 59,26.92,26.67,27.18,13.44,12.03,14.85,49.92
S12000050,North Lanarkshire,Female,60 to 64,22.66,22.42,22.91,10.61,9.27,11.95,46.80
S12000050,North Lanarkshire,Female,65 to 69,18.55,18.31,18.78,8.03,6.75,9.31,43.29
S12000050,North Lanarkshire,Female,70 to 74,14.76,14.55,14.98,5.83,4.58,7.07,39.47
S12000050,North Lanarkshire,Female,75 to 79,11.30,11.09,11.50,4.03,2.80,5.27,35.70
S12000050,North Lanarkshire,Female,80 to 84,8.45,8.26,8.65,2.72,1.59,3.86,32.21
S12000050,North Lanarkshire,Female,85 to 89,5.97,5.76,6.17,1.73,0.82,2.65,29.05
S12000050,North Lanarkshire,Female,90+,4.10,3.83,4.37,1.09,0.25,1.92,26.48
S12000050,North Lanarkshire,Male,less than 1,75.23,74.85,75.62,57.96,56.11,59.81,77.04
S12000050,North Lanarkshire,Male,1 to 4,74.49,74.12,74.86,57.21,55.35,59.07,76.80
S12000050,North Lanarkshire,Male,5 to 9,70.56,70.20,70.93,53.48,51.64,55.33,75.80
S12000050,North Lanarkshire,Male,10 to 14,65.58,65.21,65.94,48.81,46.99,50.62,74.43
S12000050,North Lanarkshire,Male,15 to 19,60.61,60.24,60.97,44.19,42.40,45.98,72.91
S12000050,North Lanarkshire,Male,20 to 24,55.84,55.49,56.19,39.78,38.02,41.54,71.25
S12000050,North Lanarkshire,Male,25 to 29,51.00,50.66,51.35,35.41,33.70,37.13,69.44
S12000050,North Lanarkshire,Male,30 to 34,46.32,45.98,46.65,31.25,29.59,32.90,67.46
S12000050,North Lanarkshire,Male,35 to 39,41.69,41.37,42.01,27.23,25.65,28.82,65.33
S12000050,North Lanarkshire,Male,40 to 44,37.16,36.85,37.47,23.41,21.87,24.96,63.01
S12000050,North Lanarkshire,Male,45 to 49,32.75,32.46,33.04,19.81,18.32,21.30,60.48
S12000050,North Lanarkshire,Male,50 to 54,28.52,28.25,28.80,16.46,15.01,17.91,57.71
S12000050,North Lanarkshire,Male,55 to 59,24.27,24.00,24.53,13.29,11.90,14.68,54.76
S12000050,North Lanarkshire,Male,60 to 64,20.20,19.94,20.45,10.44,9.09,11.80,51.71
S12000050,North Lanarkshire,Male,65 to 69,16.46,16.22,16.70,8.01,6.71,9.31,48.69
S12000050,North Lanarkshire,Male,70 to 74,13.03,12.80,13.26,5.92,4.61,7.23,45.44
S12000050,North Lanarkshire,Male,75 to 79,9.88,9.66,10.10,4.14,2.82,5.45,41.86
S12000050,North Lanarkshire,Male,80 to 84,7.30,7.08,7.52,2.78,1.55,4.02,38.11
S12000050,North Lanarkshire,Male,85 to 89,5.35,5.10,5.60,1.81,0.79,2.84,33.88
S12000050,North Lanarkshire,Male,90+,3.84,3.47,4.21,1.14,0.20,2.08,29.76
,,,,,,,,,,
© Crown copyright 2019,,,,,,,,,,
