"Table 2. Life expectancy and healthy life expectancy in Scottish council areas, 2016-2018",,,,,,,,,,
,,,,,,,,,,
Area code,Council area,Sex,Age band,"Life Expectancy (LE, years)",LE lower confidence interval,LE upper confidence interval,Healthy Life Expectancy (HLE) (years),HLE lower confidence interval,HLE upper confidence interval,"Proportion of Life Spent in ""Good"" Health (%)"
S12000005,Clackmannanshire,Male,30 to 34,48.46,47.58,49.33,35.04,32.67,37.40,72.30
S12000005,Clackmannanshire,Male,35 to 39,44.00,43.19,44.82,31.10,28.77,33.42,70.67
S12000005,Clackmannanshire,Male,40 to 44,39.39,38.61,40.17,27.18,24.94,29.43,69.01
S12000005,Clackmannanshire,Male,45 to 49,34.87,34.13,35.61,23.43,21.28,25.59,67.20
S12000005,Clackmannanshire,Male,50 to 54,30.51,29.80,31.21,19.92,17.83,22.02,65.30
S12000005,Clackmannanshire,Male,55 to 59,26.11,25.43,26.79,16.53,14.47,18.59,63.30
S12000005,Clackmannanshire,Male,60 to 64,21.68,21.02,22.35,13.29,11.33,15.24,61.27
S12000005,Clackmannanshire,Male,65 to 69,17.96,17.34,18.59,10.63,8.69,12.56,59.17
S12000005,Clackmannanshire,Male,70 to 74,14.01,13.40,14.62,7.97,6.02,9.91,56.86
S12000005,Clackmannanshire,Male,75 to 79,10.78,10.17,11.39,5.89,3.80,7.97,54.62
S12000005,Clackmannanshire,Male,80 to 84,8.19,7.57,8.82,4.30,2.10,6.49,52.42
S12000005,Clackmannanshire,Male,85 to 89,5.98,5.27,6.69,2.99,1.11,4.87,50.00
S12000005,Clackmannanshire,Male,90+,4.53,3.47,5.59,2.14,0.19,4.09,47.22
S12000006,Dumfries and Galloway,Female,less than 1,81.76,81.24,82.28,64.25,62.11,66.40,78.58
S12000006,Dumfries and Galloway,Female,1 to 4,80.94,80.44,81.43,63.45,61.30,65.60,78.39
S12000006,Dumfries and Galloway,Female,5 to 9,76.98,76.49,77.46,59.75,57.64,61.85,77.62
S12000006,Dumfries and Galloway,Female,10 to 14,71.98,71.49,72.46,55.13,53.11,57.14,76.59
S12000006,Dumfries and Galloway,Female,15 to 19,67.01,66.53,67.49,50.59,48.67,52.51,75.50
S12000006,Dumfries and Galloway,Female,20 to 24,62.16,61.69,62.62,46.21,44.41,48.01,74.34
S12000006,Dumfries and Galloway,Female,25 to 29,57.29,56.84,57.74,41.88,40.15,43.62,73.11
S12000006,Dumfries and Galloway,Female,30 to 34,52.51,52.08,52.94,37.71,36.04,39.38,71.82
S12000006,Dumfries and Galloway,Female,35 to 39,47.66,47.25,48.08,33.58,31.99,35.17,70.46
S12000006,Dumfries and Galloway,Female,40 to 44,43.00,42.62,43.39,29.69,28.17,31.20,69.03
S12000006,Dumfries and Galloway,Female,45 to 49,38.22,37.86,38.59,25.82,24.38,27.26,67.54
S12000006,Dumfries and Galloway,Female,50 to 54,33.59,33.24,33.94,22.15,20.77,23.53,65.96
S12000006,Dumfries and Galloway,Female,55 to 59,28.96,28.62,29.29,18.62,17.29,19.95,64.30
S12000006,Dumfries and Galloway,Female,60 to 64,24.44,24.12,24.77,15.29,14.00,16.57,62.54
S12000006,Dumfries and Galloway,Female,65 to 69,20.19,19.89,20.50,12.26,10.99,13.52,60.70
S12000006,Dumfries and Galloway,Female,70 to 74,16.16,15.87,16.44,9.50,8.24,10.75,58.77
S12000006,Dumfries and Galloway,Female,75 to 79,12.45,12.19,12.72,7.06,5.79,8.33,56.70
S12000006,Dumfries and Galloway,Female,80 to 84,9.06,8.82,9.31,4.93,3.68,6.17,54.36
S12000006,Dumfries and Galloway,Female,85 to 89,6.22,5.98,6.46,3.21,2.18,4.23,51.54
S12000006,Dumfries and Galloway,Female,90+,4.08,3.78,4.37,1.95,1.03,2.87,47.78
S12000006,Dumfries and Galloway,Male,less than 1,77.92,77.32,78.52,64.17,62.53,65.81,82.35
S12000006,Dumfries and Galloway,Male,1 to 4,77.25,76.69,77.81,63.43,61.79,65.08,82.12
S12000006,Dumfries and Galloway,Male,5 to 9,73.28,72.73,73.84,59.46,57.82,61.11,81.14
S12000006,Dumfries and Galloway,Male,10 to 14,68.35,67.80,68.89,54.54,52.90,56.19,79.80
S12000006,Dumfries and Galloway,Male,15 to 19,63.37,62.83,63.92,49.67,48.04,51.30,78.37
S12000006,Dumfries and Galloway,Male,20 to 24,58.53,58.00,59.06,44.97,43.37,46.58,76.84
S12000006,Dumfries and Galloway,Male,25 to 29,53.72,53.20,54.23,40.40,38.85,41.96,75.21
S12000006,Dumfries and Galloway,Male,30 to 34,48.97,48.48,49.47,35.98,34.47,37.49,73.47
S12000006,Dumfries and Galloway,Male,35 to 39,44.30,43.83,44.77,31.71,30.29,33.14,71.59
S12000006,Dumfries and Galloway,Male,40 to 44,39.89,39.46,40.31,27.77,26.43,29.11,69.63
S12000006,Dumfries and Galloway,Male,45 to 49,35.41,35.02,35.79,23.93,22.66,25.20,67.59
S12000006,Dumfries and Galloway,Male,50 to 54,30.90,30.54,31.27,20.26,19.05,21.47,65.57
S12000006,Dumfries and Galloway,Male,55 to 59,26.48,26.13,26.82,16.78,15.62,17.94,63.36
S12000006,Dumfries and Galloway,Male,60 to 64,22.31,21.98,22.63,13.58,12.47,14.70,60.89
S12000006,Dumfries and Galloway,Male,65 to 69,18.22,17.92,18.53,10.57,9.49,11.65,58.00
S12000006,Dumfries and Galloway,Male,70 to 74,14.42,14.14,14.71,7.95,6.88,9.01,55.10
S12000006,Dumfries and Galloway,Male,75 to 79,11.03,10.76,11.30,5.75,4.65,6.85,52.12
S12000006,Dumfries and Galloway,Male,80 to 84,8.00,7.75,8.26,3.89,2.87,4.91,48.58
S12000006,Dumfries and Galloway,Male,85 to 89,5.55,5.28,5.82,2.45,1.61,3.28,44.09
S12000006,Dumfries and Galloway,Male,90+,3.75,3.38,4.13,1.41,0.68,2.15,37.64
S12000008,East Ayrshire,Female,less than 1,79.96,79.40,80.52,58.75,56.61,60.88,73.47
S12000008,East Ayrshire,Female,1 to 4,79.14,78.61,79.68,57.96,55.82,60.10,73.23
S12000008,East Ayrshire,Female,5 to 9,75.14,74.61,75.68,54.28,52.17,56.39,72.24
S12000008,East Ayrshire,Female,10 to 14,70.18,69.65,70.71,49.73,47.66,51.79,70.86
S12000008,East Ayrshire,Female,15 to 19,65.18,64.65,65.71,45.18,43.17,47.20,69.32
S12000008,East Ayrshire,Female,20 to 24,60.21,59.68,60.74,40.73,38.78,42.68,67.65
S12000008,East Ayrshire,Female,25 to 29,55.32,54.81,55.84,36.45,34.54,38.35,65.88
S12000008,East Ayrshire,Female,30 to 34,50.59,50.09,51.08,32.34,30.48,34.20,63.94
S12000008,East Ayrshire,Female,35 to 39,45.74,45.26,46.22,28.25,26.44,30.06,61.77
S12000008,East Ayrshire,Female,40 to 44,41.08,40.62,41.54,24.43,22.70,26.16,59.47
S12000008,East Ayrshire,Female,45 to 49,36.46,36.02,36.89,20.76,19.09,22.43,56.95
S12000008,East Ayrshire,Female,50 to 54,31.81,31.39,32.23,17.25,15.65,18.85,54.23
S12000008,East Ayrshire,Female,55 to 59,27.38,26.98,27.78,14.04,12.48,15.60,51.27
S12000008,East Ayrshire,Female,60 to 64,22.90,22.52,23.29,11.03,9.52,12.54,48.15
S12000008,East Ayrshire,Female,65 to 69,18.81,18.45,19.18,8.42,6.93,9.91,44.75
S12000008,East Ayrshire,Female,70 to 74,14.90,14.56,15.25,6.08,4.59,7.57,40.82
S12000008,East Ayrshire,Female,75 to 79,11.45,11.13,11.78,4.18,2.63,5.74,36.54
S12000008,East Ayrshire,Female,80 to 84,8.44,8.13,8.75,2.70,1.13,4.28,32.04
S12000008,East Ayrshire,Female,85 to 89,6.04,5.72,6.36,1.67,0.40,2.94,27.65
S12000008,East Ayrshire,Female,90+,4.44,4.01,4.86,1.02,-0.18,2.21,22.95
S12000008,East Ayrshire,Male,less than 1,76.01,75.38,76.64,57.79,55.69,59.88,76.03
S12000008,East Ayrshire,Male,1 to 4,75.20,74.59,75.81,57.04,54.94,59.14,75.85
S12000008,East Ayrshire,Male,5 to 9,71.31,70.71,71.91,53.54,51.49,55.59,75.08
S12000008,East Ayrshire,Male,10 to 14,66.31,65.71,66.91,49.03,47.06,51.00,73.94
S12000008,East Ayrshire,Male,15 to 19,61.31,60.71,61.91,44.50,42.60,46.39,72.57
S12000008,East Ayrshire,Male,20 to 24,56.40,55.81,56.99,40.03,38.22,41.84,70.98
S12000008,East Ayrshire,Male,25 to 29,51.67,51.10,52.24,35.75,33.98,37.51,69.18
S12000008,East Ayrshire,Male,30 to 34,47.09,46.54,47.63,31.65,29.95,33.34,67.21
S12000008,East Ayrshire,Male,35 to 39,42.37,41.85,42.89,27.54,25.90,29.18,64.99
S12000008,East Ayrshire,Male,40 to 44,37.93,37.44,38.42,23.72,22.14,25.31,62.54
S12000008,East Ayrshire,Male,45 to 49,33.53,33.07,33.98,20.01,18.49,21.54,59.69
S12000008,East Ayrshire,Male,50 to 54,29.31,28.89,29.73,16.55,15.07,18.03,56.47
S12000008,East Ayrshire,Male,55 to 59,25.04,24.64,25.44,13.26,11.85,14.67,52.95
S12000008,East Ayrshire,Male,60 to 64,20.77,20.38,21.15,10.22,8.85,11.58,49.20
S12000008,East Ayrshire,Male,65 to 69,16.65,16.29,17.02,7.57,6.25,8.88,45.45
S12000008,East Ayrshire,Male,70 to 74,13.14,12.80,13.49,5.38,4.05,6.70,40.92
S12000008,East Ayrshire,Male,75 to 79,10.00,9.67,10.34,3.61,2.18,5.03,36.07
S12000008,East Ayrshire,Male,80 to 84,7.37,7.04,7.70,2.30,0.77,3.82,31.15
S12000008,East Ayrshire,Male,85 to 89,5.38,5.00,5.75,1.42,0.19,2.65,26.44
S12000008,East Ayrshire,Male,90+,4.03,3.45,4.60,0.82,-0.29,1.94,20.48
S12000010,East Lothian,Female,less than 1,82.37,81.79,82.95,64.03,61.88,66.17,77.74
S12000010,East Lothian,Female,1 to 4,81.53,80.98,82.08,63.29,61.14,65.44,77.63
S12000010,East Lothian,Female,5 to 9,77.53,76.98,78.08,59.81,57.70,61.92,77.15
S12000010,East Lothian,Female,10 to 14,72.53,71.98,73.08,55.42,53.37,57.47,76.41
S12000010,East Lothian,Female,15 to 19,67.57,67.03,68.12,51.03,49.03,53.03,75.52
S12000010,East Lothian,Female,20 to 24,62.57,62.03,63.12,46.61,44.67,48.55,74.49
S12000010,East Lothian,Female,25 to 29,57.71,57.18,58.24,42.31,40.46,44.16,73.31
S12000010,East Lothian,Female,30 to 34,52.83,52.32,53.35,38.03,36.26,39.79,71.98
S12000010,East Lothian,Female,35 to 39,47.92,47.41,48.43,33.76,32.06,35.46,70.46
S12000010,East Lothian,Female,40 to 44,43.22,42.73,43.71,29.72,28.07,31.38,68.77
S12000010,East Lothian,Female,45 to 49,38.40,37.93,38.88,25.69,24.09,27.29,66.89
S12000010,East Lothian,Female,50 to 54,33.67,33.21,34.13,21.82,20.27,23.38,64.82
S12000010,East Lothian,Female,55 to 59,29.10,28.65,29.54,18.19,16.68,19.71,62.53
S12000010,East Lothian,Female,60 to 64,24.56,24.13,25.00,14.74,13.28,16.21,60.02
S12000010,East Lothian,Female,65 to 69,20.30,19.89,20.71,11.61,10.20,13.03,57.22
S12000010,East Lothian,Female,70 to 74,16.40,16.02,16.78,8.86,7.48,10.24,54.04
S12000010,East Lothian,Female,75 to 79,12.70,12.35,13.06,6.41,5.13,7.69,50.48
S12000010,East Lothian,Female,80 to 84,9.29,8.96,9.62,4.32,3.26,5.39,46.52
S12000010,East Lothian,Female,85 to 89,6.45,6.12,6.77,2.72,1.84,3.59,42.12
S12000010,East Lothian,Female,90+,4.06,3.67,4.45,1.51,0.76,2.25,37.06
S12000010,East Lothian,Male,less than 1,78.64,77.94,79.34,65.45,63.60,67.30,83.23
S12000010,East Lothian,Male,1 to 4,78.07,77.42,78.72,64.81,62.94,66.67,83.01
S12000010,East Lothian,Male,5 to 9,74.07,73.42,74.72,60.81,58.94,62.67,82.09
S12000010,East Lothian,Male,10 to 14,69.14,68.50,69.78,55.89,54.02,57.75,80.83
S12000010,East Lothian,Male,15 to 19,64.18,63.54,64.81,50.98,49.13,52.84,79.44
S12000010,East Lothian,Male,20 to 24,59.25,58.62,59.88,46.18,44.34,48.02,77.93
S12000010,East Lothian,Male,25 to 29,54.41,53.80,55.03,41.53,39.72,43.33,76.32
S12000010,East Lothian,Male,30 to 34,49.71,49.12,50.30,37.07,35.33,38.81,74.57
S12000010,East Lothian,Male,35 to 39,45.08,44.52,45.63,32.77,31.07,34.48,72.71
S12000010,East Lothian,Male,40 to 44,40.46,39.94,40.99,28.61,26.93,30.28,70.70
S12000010,East Lothian,Male,45 to 49,35.87,35.37,36.37,24.58,22.94,26.21,68.52
S12000010,East Lothian,Male,50 to 54,31.23,30.75,31.72,20.65,19.06,22.24,66.11
S12000010,East Lothian,Male,55 to 59,26.79,26.32,27.25,17.02,15.48,18.57,63.56
S12000010,East Lothian,Male,60 to 64,22.39,21.94,22.84,13.61,12.13,15.10,60.81
S12000010,East Lothian,Male,65 to 69,18.29,17.86,18.71,10.59,9.15,12.03,57.90
S12000010,East Lothian,Male,70 to 74,14.55,14.14,14.95,7.96,6.56,9.37,54.74
S12000010,East Lothian,Male,75 to 79,11.07,10.68,11.46,5.66,4.22,7.11,51.18
S12000010,East Lothian,Male,80 to 84,8.22,7.84,8.60,3.87,2.56,5.18,47.05
S12000010,East Lothian,Male,85 to 89,5.78,5.38,6.18,2.46,1.38,3.53,42.52
S12000010,East Lothian,Male,90+,4.00,3.44,4.55,1.52,0.53,2.51,38.05
S12000011,East Renfrewshire,Female,less than 1,83.57,82.93,84.20,66.14,63.95,68.32,79.14
S12000011,East Renfrewshire,Female,1 to 4,82.75,82.16,83.35,65.39,63.21,67.58,79.02
S12000011,East Renfrewshire,Female,5 to 9,78.80,78.22,79.39,61.89,59.75,64.03,78.54
S12000011,East Renfrewshire,Female,10 to 14,73.80,73.22,74.39,57.45,55.38,59.52,77.85
S12000011,East Renfrewshire,Female,15 to 19,68.80,68.22,69.39,53.00,51.01,55.00,77.03
S12000011,East Renfrewshire,Female,20 to 24,63.92,63.35,64.50,48.64,46.71,50.57,76.09
S12000011,East Renfrewshire,Female,25 to 29,59.09,58.54,59.64,44.38,42.53,46.23,75.10
S12000011,East Renfrewshire,Female,30 to 34,54.09,53.54,54.64,40.01,38.26,41.76,73.97
S12000011,East Renfrewshire,Female,35 to 39,49.21,48.67,49.74,35.80,34.15,37.46,72.76
S12000011,East Renfrewshire,Female,40 to 44,44.29,43.76,44.82,31.61,30.02,33.21,71.39
S12000011,East Renfrewshire,Female,45 to 49,39.48,38.97,40.00,27.51,25.96,29.06,69.68
S12000011,East Renfrewshire,Female,50 to 54,34.73,34.23,35.24,23.51,22.02,25.01,67.69
S12000011,East Renfrewshire,Female,55 to 59,30.00,29.50,30.49,19.64,18.20,21.08,65.48
S12000011,East Renfrewshire,Female,60 to 64,25.64,25.16,26.11,16.14,14.74,17.54,62.97
S12000011,East Renfrewshire,Female,65 to 69,21.28,20.83,21.73,12.57,11.20,13.93,59.05
S12000011,East Renfrewshire,Female,70 to 74,17.10,16.67,17.52,9.25,7.93,10.56,54.07
S12000011,East Renfrewshire,Female,75 to 79,13.28,12.87,13.68,6.52,5.27,7.78,49.11
S12000011,East Renfrewshire,Female,80 to 84,10.00,9.62,10.38,4.26,3.18,5.33,42.59
S12000011,East Renfrewshire,Female,85 to 89,7.01,6.63,7.40,2.64,1.76,3.53,37.66
S12000011,East Renfrewshire,Female,90+,5.04,4.54,5.53,1.84,0.95,2.72,36.48
S12000011,East Renfrewshire,Male,less than 1,80.68,80.00,81.36,68.77,66.88,70.65,85.23
S12000011,East Renfrewshire,Male,1 to 4,79.74,79.07,80.41,67.85,65.96,69.73,85.09
S12000011,East Renfrewshire,Male,5 to 9,75.74,75.07,76.41,63.86,61.98,65.75,84.32
S12000011,East Renfrewshire,Male,10 to 14,70.78,70.11,71.44,58.89,57.01,60.78,83.21
S12000011,East Renfrewshire,Male,15 to 19,65.85,65.19,66.51,54.09,52.22,55.97,82.15
S12000011,East Renfrewshire,Male,20 to 24,60.85,60.19,61.51,49.17,47.31,51.04,80.81
S12000011,East Renfrewshire,Male,25 to 29,56.02,55.38,56.67,44.70,42.87,46.52,79.79
S12000011,East Renfrewshire,Male,30 to 34,51.26,50.64,51.88,40.46,38.72,42.20,78.93
S12000011,East Renfrewshire,Male,35 to 39,46.51,45.92,47.10,36.26,34.61,37.91,77.96
S12000011,East Renfrewshire,Male,40 to 44,41.60,41.02,42.18,31.68,30.07,33.29,76.14
S12000011,East Renfrewshire,Male,45 to 49,36.86,36.29,37.42,27.42,25.84,28.99,74.39
S12000011,East Renfrewshire,Male,50 to 54,32.21,31.67,32.76,23.32,21.79,24.86,72.40
S12000011,East Renfrewshire,Male,55 to 59,27.75,27.22,28.28,19.43,17.93,20.93,70.01
S12000011,East Renfrewshire,Male,60 to 64,23.37,22.86,23.89,15.60,14.13,17.07,66.75
S12000011,East Renfrewshire,Male,65 to 69,19.25,18.76,19.74,12.22,10.78,13.66,63.47
S12000011,East Renfrewshire,Male,70 to 74,15.30,14.82,15.77,8.98,7.54,10.42,58.68
S12000011,East Renfrewshire,Male,75 to 79,11.79,11.34,12.25,6.26,4.80,7.72,53.04
S12000011,East Renfrewshire,Male,80 to 84,8.72,8.27,9.16,4.02,2.70,5.33,46.10
S12000011,East Renfrewshire,Male,85 to 89,6.31,5.83,6.80,2.57,1.46,3.67,40.64
S12000011,East Renfrewshire,Male,90+,4.68,4.00,5.37,2.04,0.89,3.20,43.67
S12000013,Na h-Eileanan Siar,Female,less than 1,82.75,81.64,83.86,66.91,63.85,69.98,80.86
S12000013,Na h-Eileanan Siar,Female,1 to 4,81.75,80.64,82.86,66.06,63.00,69.12,80.81
S12000013,Na h-Eileanan Siar,Female,5 to 9,77.75,76.64,78.86,62.61,59.64,65.59,80.53
S12000013,Na h-Eileanan Siar,Female,10 to 14,72.75,71.64,73.86,58.23,55.38,61.08,80.04
S12000013,Na h-Eileanan Siar,Female,15 to 19,67.75,66.64,68.86,53.76,51.03,56.49,79.35
S12000013,Na h-Eileanan Siar,Female,20 to 24,62.92,61.86,63.99,49.39,46.77,52.02,78.50
S12000013,Na h-Eileanan Siar,Female,25 to 29,57.92,56.86,58.99,44.87,42.42,47.33,77.48
S12000013,Na h-Eileanan Siar,Female,30 to 34,53.08,52.06,54.10,40.47,38.26,42.67,76.24
S12000013,Na h-Eileanan Siar,Female,35 to 39,48.21,47.22,49.20,36.07,34.14,37.99,74.81
S12000013,Na h-Eileanan Siar,Female,40 to 44,43.41,42.45,44.37,31.77,29.99,33.54,73.18
S12000013,Na h-Eileanan Siar,Female,45 to 49,38.58,37.65,39.51,27.50,25.85,29.16,71.29
S12000013,Na h-Eileanan Siar,Female,50 to 54,33.89,32.99,34.79,23.42,21.85,25.00,69.12
S12000013,Na h-Eileanan Siar,Female,55 to 59,29.49,28.64,30.34,19.68,18.19,21.18,66.74
S12000013,Na h-Eileanan Siar,Female,60 to 64,25.21,24.42,26.01,16.14,14.71,17.58,64.03
S12000013,Na h-Eileanan Siar,Female,65 to 69,21.02,20.28,21.76,12.81,11.45,14.17,60.94
S12000013,Na h-Eileanan Siar,Female,70 to 74,17.15,16.47,17.84,9.87,8.53,11.20,57.54
S12000013,Na h-Eileanan Siar,Female,75 to 79,13.27,12.63,13.90,7.11,5.80,8.42,53.57
S12000013,Na h-Eileanan Siar,Female,80 to 84,9.66,9.06,10.25,4.78,3.59,5.98,49.54
S12000013,Na h-Eileanan Siar,Female,85 to 89,6.60,6.02,7.18,2.98,2.00,3.95,45.11
S12000013,Na h-Eileanan Siar,Female,90+,4.48,3.78,5.18,1.78,0.88,2.69,39.80
S12000013,Na h-Eileanan Siar,Male,less than 1,77.44,76.08,78.81,66.07,63.67,68.46,85.31
S12000013,Na h-Eileanan Siar,Male,1 to 4,76.44,75.08,77.81,65.07,62.67,67.47,85.12
S12000013,Na h-Eileanan Siar,Male,5 to 9,72.64,71.32,73.95,61.23,58.82,63.64,84.30
S12000013,Na h-Eileanan Siar,Male,10 to 14,67.64,66.32,68.95,56.24,53.84,58.65,83.16
S12000013,Na h-Eileanan Siar,Male,15 to 19,62.64,61.32,63.95,51.27,48.87,53.67,81.85
S12000013,Na h-Eileanan Siar,Male,20 to 24,57.95,56.70,59.20,46.64,44.26,49.02,80.49
S12000013,Na h-Eileanan Siar,Male,25 to 29,53.24,52.05,54.43,42.04,39.82,44.26,78.96
S12000013,Na h-Eileanan Siar,Male,30 to 34,48.52,47.40,49.65,37.51,35.43,39.59,77.30
S12000013,Na h-Eileanan Siar,Male,35 to 39,43.89,42.83,44.95,33.15,31.22,35.08,75.54
S12000013,Na h-Eileanan Siar,Male,40 to 44,39.40,38.43,40.37,29.05,27.32,30.78,73.73
S12000013,Na h-Eileanan Siar,Male,45 to 49,34.79,33.88,35.71,24.98,23.35,26.60,71.78
S12000013,Na h-Eileanan Siar,Male,50 to 54,30.16,29.28,31.05,21.03,19.52,22.55,69.73
S12000013,Na h-Eileanan Siar,Male,55 to 59,25.88,25.04,26.72,17.43,16.00,18.86,67.36
S12000013,Na h-Eileanan Siar,Male,60 to 64,21.59,20.79,22.39,14.04,12.76,15.31,65.01
S12000013,Na h-Eileanan Siar,Male,65 to 69,17.48,16.72,18.24,10.87,9.68,12.07,62.19
S12000013,Na h-Eileanan Siar,Male,70 to 74,14.04,13.31,14.77,8.33,7.15,9.51,59.33
S12000013,Na h-Eileanan Siar,Male,75 to 79,11.10,10.39,11.81,6.31,5.15,7.47,56.83
S12000013,Na h-Eileanan Siar,Male,80 to 84,8.16,7.45,8.87,4.28,3.22,5.35,52.49
S12000013,Na h-Eileanan Siar,Male,85 to 89,5.76,4.97,6.55,2.73,1.85,3.61,47.35
S12000013,Na h-Eileanan Siar,Male,90+,4.72,3.46,5.98,1.91,0.93,2.89,40.42
S12000014,Falkirk,Female,less than 1,80.30,79.79,80.82,60.20,58.24,62.16,74.97
S12000014,Falkirk,Female,1 to 4,79.66,79.20,80.13,59.53,57.56,61.50,74.73
S12000014,Falkirk,Female,5 to 9,75.66,75.20,76.13,55.79,53.84,57.73,73.73
S12000014,Falkirk,Female,10 to 14,70.72,70.25,71.18,51.18,49.27,53.09,72.37
S12000014,Falkirk,Female,15 to 19,65.77,65.31,66.22,46.63,44.76,48.49,70.90
S12000014,Falkirk,Female,20 to 24,60.77,60.31,61.22,42.12,40.31,43.93,69.31
S12000014,Falkirk,Female,25 to 29,55.88,55.43,56.32,37.82,36.06,39.57,67.68
S12000014,Falkirk,Female,30 to 34,51.05,50.62,51.48,33.65,31.94,35.36,65.92
S12000014,Falkirk,Female,35 to 39,46.22,45.80,46.64,29.56,27.90,31.21,63.95
S12000014,Falkirk,Female,40 to 44,41.46,41.05,41.87,25.64,24.03,27.24,61.84
S12000014,Falkirk,Female,45 to 49,36.86,36.47,37.25,21.94,20.38,23.50,59.54
S12000014,Falkirk,Female,50 to 54,32.15,31.77,32.53,18.37,16.87,19.86,57.13
S12000014,Falkirk,Female,55 to 59,27.65,27.29,28.02,15.09,13.65,16.53,54.57
S12000014,Falkirk,Female,60 to 64,23.32,22.97,23.67,12.11,10.72,13.51,51.94
S12000014,Falkirk,Female,65 to 69,19.16,18.83,19.49,9.37,8.01,10.73,48.90
S12000014,Falkirk,Female,70 to 74,15.21,14.90,15.52,6.90,5.56,8.24,45.38
S12000014,Falkirk,Female,75 to 79,11.75,11.47,12.04,4.90,3.53,6.27,41.65
S12000014,Falkirk,Female,80 to 84,8.60,8.32,8.87,3.27,2.02,4.52,38.04
S12000014,Falkirk,Female,85 to 89,6.04,5.77,6.31,2.07,1.05,3.08,34.23
S12000014,Falkirk,Female,90+,4.12,3.77,4.46,1.32,0.40,2.25,32.15
S12000014,Falkirk,Male,less than 1,77.10,76.54,77.66,62.10,60.31,63.90,80.55
S12000014,Falkirk,Male,1 to 4,76.38,75.85,76.91,61.33,59.53,63.13,80.29
S12000014,Falkirk,Male,5 to 9,72.47,71.94,72.99,57.40,55.59,59.20,79.20
S12000014,Falkirk,Male,10 to 14,67.49,66.97,68.01,52.43,50.63,54.23,77.69
S12000014,Falkirk,Male,15 to 19,62.51,62.00,63.03,47.57,45.78,49.36,76.10
S12000014,Falkirk,Male,20 to 24,57.71,57.21,58.22,42.97,41.20,44.74,74.45
S12000014,Falkirk,Male,25 to 29,52.85,52.36,53.34,38.46,36.74,40.17,72.77
S12000014,Falkirk,Male,30 to 34,48.13,47.65,48.60,34.14,32.48,35.81,70.94
S12000014,Falkirk,Male,35 to 39,43.40,42.94,43.87,29.96,28.34,31.58,69.02
S12000014,Falkirk,Male,40 to 44,38.69,38.24,39.14,25.89,24.34,27.45,66.92
S12000014,Falkirk,Male,45 to 49,34.27,33.85,34.70,22.15,20.64,23.65,64.62
S12000014,Falkirk,Male,50 to 54,29.89,29.48,30.29,18.58,17.11,20.04,62.16
S12000014,Falkirk,Male,55 to 59,25.42,25.02,25.82,15.16,13.73,16.59,59.64
S12000014,Falkirk,Male,60 to 64,21.28,20.90,21.66,12.16,10.79,13.54,57.17
S12000014,Falkirk,Male,65 to 69,17.46,17.10,17.82,9.60,8.24,10.95,54.97
S12000014,Falkirk,Male,70 to 74,13.87,13.52,14.21,7.27,5.92,8.62,52.46
S12000014,Falkirk,Male,75 to 79,10.68,10.33,11.02,5.34,3.91,6.77,50.05
S12000014,Falkirk,Male,80 to 84,8.02,7.68,8.37,3.82,2.37,5.27,47.66
S12000014,Falkirk,Male,85 to 89,6.06,5.65,6.47,2.77,1.50,4.05,45.74
S12000014,Falkirk,Male,90+,4.55,3.95,5.14,2.05,0.74,3.37,45.18
S12000017,Highland,Female,less than 1,82.35,81.93,82.78,65.77,63.37,68.17,79.87
S12000017,Highland,Female,1 to 4,81.54,81.13,81.94,64.98,62.58,67.39,79.70
S12000017,Highland,Female,5 to 9,77.58,77.19,77.98,61.32,58.95,63.68,79.03
S12000017,Highland,Female,10 to 14,72.60,72.21,73.00,56.74,54.43,59.04,78.14
S12000017,Highland,Female,15 to 19,67.70,67.31,68.08,52.22,49.99,54.45,77.14
S12000017,Highland,Female,20 to 24,62.86,62.49,63.23,47.85,45.70,50.00,76.12
S12000017,Highland,Female,25 to 29,58.06,57.70,58.42,43.59,41.54,45.64,75.07
S12000017,Highland,Female,30 to 34,53.11,52.75,53.46,39.24,37.29,41.18,73.89
S12000017,Highland,Female,35 to 39,48.23,47.88,48.58,35.01,33.22,36.79,72.59
S12000017,Highland,Female,40 to 44,43.44,43.11,43.77,30.93,29.24,32.62,71.20
S12000017,Highland,Female,45 to 49,38.73,38.41,39.05,26.97,25.40,28.54,69.63
S12000017,Highland,Female,50 to 54,34.02,33.71,34.33,23.11,21.61,24.62,67.95
S12000017,Highland,Female,55 to 59,29.48,29.18,29.78,19.48,18.05,20.90,66.08
S12000017,Highland,Female,60 to 64,25.08,24.80,25.37,16.09,14.70,17.48,64.15
S12000017,Highland,Female,65 to 69,20.88,20.61,21.15,12.85,11.48,14.22,61.56
S12000017,Highland,Female,70 to 74,16.76,16.51,17.02,9.81,8.42,11.20,58.50
S12000017,Highland,Female,75 to 79,12.89,12.65,13.13,7.09,5.66,8.51,54.97
S12000017,Highland,Female,80 to 84,9.53,9.30,9.76,4.88,3.45,6.32,51.25
S12000017,Highland,Female,85 to 89,6.67,6.44,6.90,3.20,1.99,4.40,47.91
S12000017,Highland,Female,90+,4.43,4.15,4.71,2.02,0.92,3.13,45.67
S12000017,Highland,Male,less than 1,77.75,77.28,78.23,64.21,62.16,66.27,82.59
S12000017,Highland,Male,1 to 4,76.87,76.41,77.34,63.34,61.28,65.39,82.39
