"Table 7. Life expectancy in Scottish Parliamentary constituencies, 2016-2018",,,,,,,,
,,,,,,,,
Scottish Parliamentary Constituency,Sex,Age band,"Life Expectancy (LE, years)",LE lower confidence interval,LE upper confidence interval,,,
Aberdeen South and North Kincardine,female,55 to 59,29.29,28.75,29.84,,,
Aberdeen South and North Kincardine,female,60 to 64,24.83,24.30,25.36,,,
Aberdeen South and North Kincardine,female,65 to 69,20.45,19.95,20.95,,,
Aberdeen South and North Kincardine,female,70 to 74,16.36,15.89,16.84,,,
Aberdeen South and North Kincardine,female,75 to 79,12.72,12.28,13.15,,,
Aberdeen South and North Kincardine,female,80 to 84,9.38,8.98,9.79,,,
Aberdeen South and North Kincardine,female,85 to 89,6.61,6.20,7.01,,,
Aberdeen South and North Kincardine,female,90+,4.55,4.03,5.06,,,
Aberdeen South and North Kincardine,male,less than 1,78.41,77.65,79.17,,,
Aberdeen South and North Kincardine,male,1 to 4,77.70,76.98,78.42,,,
Aberdeen South and North Kincardine,male,5 to 9,73.81,73.10,74.51,,,
Aberdeen South and North Kincardine,male,10 to 14,68.81,68.10,69.51,,,
Aberdeen South and North Kincardine,male,15 to 19,63.86,63.16,64.56,,,
Aberdeen South and North Kincardine,male,20 to 24,59.02,58.35,59.70,,,
Aberdeen South and North Kincardine,male,25 to 29,54.12,53.45,54.78,,,
Aberdeen South and North Kincardine,male,30 to 34,49.28,48.63,49.94,,,
Aberdeen South and North Kincardine,male,35 to 39,44.50,43.86,45.14,,,
Aberdeen South and North Kincardine,male,40 to 44,39.74,39.12,40.37,,,
Aberdeen South and North Kincardine,male,45 to 49,35.04,34.44,35.65,,,
Aberdeen South and North Kincardine,male,50 to 54,30.86,30.29,31.43,,,
Aberdeen South and North Kincardine,male,55 to 59,26.42,25.87,26.97,,,
Aberdeen South and North Kincardine,male,60 to 64,22.07,21.54,22.60,,,
Aberdeen South and North Kincardine,male,65 to 69,18.02,17.52,18.53,,,
Aberdeen South and North Kincardine,male,70 to 74,14.07,13.58,14.55,,,
Aberdeen South and North Kincardine,male,75 to 79,10.87,10.42,11.32,,,
Aberdeen South and North Kincardine,male,80 to 84,7.88,7.46,8.30,,,
Aberdeen South and North Kincardine,male,85 to 89,5.50,5.07,5.93,,,
Aberdeen South and North Kincardine,male,90+,3.83,3.21,4.46,,,
Aberdeenshire East,female,less than 1,83.16,82.49,83.83,,,
Aberdeenshire East,female,1 to 4,82.23,81.57,82.88,,,
Aberdeenshire East,female,5 to 9,78.23,77.57,78.88,,,
Aberdeenshire East,female,10 to 14,73.23,72.57,73.88,,,
Aberdeenshire East,female,15 to 19,68.28,67.63,68.93,,,
Aberdeenshire East,female,20 to 24,63.34,62.69,63.98,,,
Aberdeenshire East,female,25 to 29,58.50,57.88,59.11,,,
Aberdeenshire East,female,30 to 34,53.50,52.88,54.11,,,
Aberdeenshire East,female,35 to 39,48.53,47.92,49.14,,,
Aberdeenshire East,female,40 to 44,43.72,43.12,44.32,,,
Aberdeenshire East,female,45 to 49,38.95,38.36,39.53,,,
Aberdeenshire East,female,50 to 54,34.32,33.75,34.88,,,
Aberdeenshire East,female,55 to 59,29.74,29.19,30.29,,,
Aberdeenshire East,female,60 to 64,25.24,24.70,25.77,,,
Aberdeenshire East,female,65 to 69,20.85,20.34,21.37,,,
Aberdeenshire East,female,70 to 74,16.59,16.09,17.08,,,
Aberdeenshire East,female,75 to 79,12.78,12.30,13.25,,,
Aberdeenshire East,female,80 to 84,9.49,9.04,9.95,,,
Aberdeenshire East,female,85 to 89,6.56,6.10,7.03,,,
Aberdeenshire East,female,90+,4.58,3.98,5.18,,,
Aberdeenshire East,male,less than 1,80.00,79.31,80.68,,,
Aberdeenshire East,male,1 to 4,79.06,78.38,79.73,,,
Aberdeenshire East,male,5 to 9,75.11,74.44,75.78,,,
Aberdeenshire East,male,10 to 14,70.11,69.44,70.78,,,
Aberdeenshire East,male,15 to 19,65.16,64.49,65.82,,,
Aberdeenshire East,male,20 to 24,60.25,59.60,60.90,,,
Aberdeenshire East,male,25 to 29,55.39,54.76,56.02,,,
Aberdeenshire East,male,30 to 34,50.43,49.80,51.06,,,
Aberdeenshire East,male,35 to 39,45.67,45.07,46.28,,,
Aberdeenshire East,male,40 to 44,40.94,40.35,41.53,,,
Aberdeenshire East,male,45 to 49,36.10,35.52,36.68,,,
Aberdeenshire East,male,50 to 54,31.49,30.93,32.05,,,
Aberdeenshire East,male,55 to 59,27.01,26.47,27.56,,,
Aberdeenshire East,male,60 to 64,22.78,22.27,23.30,,,
Aberdeenshire East,male,65 to 69,18.63,18.13,19.12,,,
Aberdeenshire East,male,70 to 74,14.77,14.29,15.25,,,
Aberdeenshire East,male,75 to 79,11.33,10.87,11.79,,,
Aberdeenshire East,male,80 to 84,8.21,7.77,8.66,,,
Aberdeenshire East,male,85 to 89,5.63,5.17,6.10,,,
Aberdeenshire East,male,90+,3.73,3.10,4.36,,,
Aberdeenshire West,female,less than 1,83.95,83.30,84.60,,,
Aberdeenshire West,female,1 to 4,82.95,82.30,83.60,,,
Aberdeenshire West,female,5 to 9,79.02,78.38,79.66,,,
Aberdeenshire West,female,10 to 14,74.12,73.50,74.75,,,
Aberdeenshire West,female,15 to 19,69.12,68.50,69.75,,,
Aberdeenshire West,female,20 to 24,64.18,63.57,64.79,,,
Aberdeenshire West,female,25 to 29,59.18,58.57,59.79,,,
Aberdeenshire West,female,30 to 34,54.18,53.57,54.79,,,
Aberdeenshire West,female,35 to 39,49.38,48.79,49.97,,,
Aberdeenshire West,female,40 to 44,44.50,43.92,45.08,,,
Aberdeenshire West,female,45 to 49,39.76,39.20,40.32,,,
Aberdeenshire West,female,50 to 54,35.02,34.47,35.56,,,
Aberdeenshire West,female,55 to 59,30.43,29.90,30.96,,,
Aberdeenshire West,female,60 to 64,25.81,25.30,26.32,,,
Aberdeenshire West,female,65 to 69,21.32,20.83,21.81,,,
Aberdeenshire West,female,70 to 74,17.05,16.59,17.52,,,
Aberdeenshire West,female,75 to 79,13.01,12.57,13.45,,,
Aberdeenshire West,female,80 to 84,9.39,8.99,9.80,,,
Aberdeenshire West,female,85 to 89,6.24,5.84,6.63,,,
Aberdeenshire West,female,90+,4.39,3.90,4.88,,,
Aberdeenshire West,male,less than 1,80.75,80.05,81.45,,,
Aberdeenshire West,male,1 to 4,79.75,79.05,80.45,,,
Aberdeenshire West,male,5 to 9,75.75,75.05,76.45,,,
Aberdeenshire West,male,10 to 14,70.79,70.10,71.49,,,
Aberdeenshire West,male,15 to 19,65.84,65.16,66.53,,,
Aberdeenshire West,male,20 to 24,60.99,60.32,61.66,,,
Aberdeenshire West,male,25 to 29,56.09,55.43,56.74,,,
Aberdeenshire West,male,30 to 34,51.40,50.79,52.01,,,
Aberdeenshire West,male,35 to 39,46.80,46.24,47.36,,,
Aberdeenshire West,male,40 to 44,41.86,41.31,42.42,,,
Aberdeenshire West,male,45 to 49,36.97,36.42,37.51,,,
Aberdeenshire West,male,50 to 54,32.14,31.60,32.68,,,
Aberdeenshire West,male,55 to 59,27.56,27.04,28.09,,,
Aberdeenshire West,male,60 to 64,23.00,22.49,23.50,,,
Aberdeenshire West,male,65 to 69,18.74,18.25,19.22,,,
Aberdeenshire West,male,70 to 74,14.92,14.46,15.38,,,
Aberdeenshire West,male,75 to 79,11.33,10.89,11.77,,,
Aberdeenshire West,male,80 to 84,7.92,7.51,8.33,,,
Aberdeenshire West,male,85 to 89,5.45,5.04,5.86,,,
Aberdeenshire West,male,90+,3.66,3.12,4.21,,,
