"Table 7. Life expectancy in Scottish Parliamentary constituencies, 2016-2018",,,,,,,,
,,,,,,,,
Scottish Parliamentary Constituency,Sex,Age band,"Life Expectancy (LE, years)",LE lower confidence interval,LE upper confidence interval,,,
Ayr,male,less than 1,77.77,76.95,78.58,,,
Ayr,male,1 to 4,76.93,76.15,77.71,,,
Ayr,male,5 to 9,72.93,72.15,73.71,,,
Ayr,male,10 to 14,67.93,67.15,68.71,,,
Ayr,male,15 to 19,62.93,62.15,63.71,,,
Ayr,male,20 to 24,57.93,57.15,58.71,,,
Ayr,male,25 to 29,53.20,52.44,53.96,,,
Ayr,male,30 to 34,48.51,47.78,49.23,,,
Ayr,male,35 to 39,43.95,43.26,44.63,,,
Ayr,male,40 to 44,39.40,38.77,40.04,,,
Ayr,male,45 to 49,35.06,34.48,35.64,,,
Ayr,male,50 to 54,30.68,30.14,31.23,,,
Ayr,male,55 to 59,26.43,25.92,26.94,,,
Ayr,male,60 to 64,22.20,21.72,22.68,,,
Ayr,male,65 to 69,18.15,17.70,18.61,,,
Ayr,male,70 to 74,14.57,14.14,15.00,,,
Ayr,male,75 to 79,11.18,10.77,11.60,,,
Ayr,male,80 to 84,8.32,7.92,8.73,,,
Ayr,male,85 to 89,6.13,5.70,6.57,,,
Ayr,male,90+,4.29,3.70,4.88,,,
Banffshire and Buchan Coast,female,less than 1,81.03,80.27,81.79,,,
Banffshire and Buchan Coast,female,1 to 4,80.38,79.68,81.08,,,
Banffshire and Buchan Coast,female,5 to 9,76.38,75.68,77.08,,,
Banffshire and Buchan Coast,female,10 to 14,71.38,70.68,72.08,,,
Banffshire and Buchan Coast,female,15 to 19,66.50,65.82,67.18,,,
Banffshire and Buchan Coast,female,20 to 24,61.56,60.88,62.23,,,
Banffshire and Buchan Coast,female,25 to 29,56.65,56.00,57.31,,,
Banffshire and Buchan Coast,female,30 to 34,51.82,51.17,52.46,,,
Banffshire and Buchan Coast,female,35 to 39,46.96,46.33,47.59,,,
Banffshire and Buchan Coast,female,40 to 44,42.34,41.75,42.93,,,
Banffshire and Buchan Coast,female,45 to 49,37.66,37.09,38.22,,,
Banffshire and Buchan Coast,female,50 to 54,33.02,32.47,33.56,,,
Banffshire and Buchan Coast,female,55 to 59,28.48,27.96,29.00,,,
Banffshire and Buchan Coast,female,60 to 64,24.08,23.58,24.58,,,
Banffshire and Buchan Coast,female,65 to 69,20.01,19.55,20.47,,,
Banffshire and Buchan Coast,female,70 to 74,16.05,15.62,16.48,,,
Banffshire and Buchan Coast,female,75 to 79,12.29,11.89,12.69,,,
Banffshire and Buchan Coast,female,80 to 84,8.88,8.50,9.26,,,
Banffshire and Buchan Coast,female,85 to 89,6.04,5.67,6.42,,,
Banffshire and Buchan Coast,female,90+,4.23,3.76,4.70,,,
Banffshire and Buchan Coast,male,less than 1,76.96,76.19,77.74,,,
Banffshire and Buchan Coast,male,1 to 4,76.15,75.41,76.90,,,
Banffshire and Buchan Coast,male,5 to 9,72.15,71.41,72.90,,,
Banffshire and Buchan Coast,male,10 to 14,67.15,66.41,67.90,,,
Banffshire and Buchan Coast,male,15 to 19,62.15,61.41,62.90,,,
Banffshire and Buchan Coast,male,20 to 24,57.34,56.61,58.06,,,
Banffshire and Buchan Coast,male,25 to 29,52.61,51.91,53.31,,,
Banffshire and Buchan Coast,male,30 to 34,47.89,47.21,48.56,,,
Banffshire and Buchan Coast,male,35 to 39,43.22,42.57,43.87,,,
Banffshire and Buchan Coast,male,40 to 44,38.55,37.92,39.17,,,
Banffshire and Buchan Coast,male,45 to 49,34.13,33.55,34.72,,,
Banffshire and Buchan Coast,male,50 to 54,29.68,29.12,30.24,,,
Banffshire and Buchan Coast,male,55 to 59,25.50,24.98,26.03,,,
Banffshire and Buchan Coast,male,60 to 64,21.38,20.89,21.88,,,
Banffshire and Buchan Coast,male,65 to 69,17.61,17.15,18.07,,,
Banffshire and Buchan Coast,male,70 to 74,13.90,13.47,14.33,,,
Banffshire and Buchan Coast,male,75 to 79,10.63,10.22,11.04,,,
Banffshire and Buchan Coast,male,80 to 84,7.69,7.30,8.08,,,
Banffshire and Buchan Coast,male,85 to 89,5.41,5.00,5.81,,,
Banffshire and Buchan Coast,male,90+,3.49,2.96,4.03,,,
"Caithness, Sutherland and Ross",female,less than 1,82.29,81.53,83.05,,,
"Caithness, Sutherland and Ross",female,1 to 4,81.39,80.65,82.13,,,
"Caithness, Sutherland and Ross",female,5 to 9,77.47,76.75,78.19,,,
"Caithness, Sutherland and Ross",female,10 to 14,72.54,71.84,73.25,,,
"Caithness, Sutherland and Ross",female,15 to 19,67.61,66.91,68.30,,,
"Caithness, Sutherland and Ross",female,20 to 24,62.79,62.12,63.46,,,
"Caithness, Sutherland and Ross",female,25 to 29,57.99,57.36,58.62,,,
"Caithness, Sutherland and Ross",female,30 to 34,52.99,52.36,53.62,,,
"Caithness, Sutherland and Ross",female,35 to 39,48.17,47.56,48.78,,,
"Caithness, Sutherland and Ross",female,40 to 44,43.34,42.75,43.92,,,
"Caithness, Sutherland and Ross",female,45 to 49,38.55,37.98,39.11,,,
"Caithness, Sutherland and Ross",female,50 to 54,33.86,33.31,34.40,,,
"Caithness, Sutherland and Ross",female,55 to 59,29.32,28.80,29.84,,,
"Caithness, Sutherland and Ross",female,60 to 64,24.96,24.46,25.45,,,
"Caithness, Sutherland and Ross",female,65 to 69,20.77,20.31,21.24,,,
"Caithness, Sutherland and Ross",female,70 to 74,16.80,16.37,17.23,,,
"Caithness, Sutherland and Ross",female,75 to 79,12.85,12.43,13.26,,,
"Caithness, Sutherland and Ross",female,80 to 84,9.48,9.09,9.86,,,
"Caithness, Sutherland and Ross",female,85 to 89,6.44,6.06,6.82,,,
"Caithness, Sutherland and Ross",female,90+,4.23,3.77,4.69,,,
"Caithness, Sutherland and Ross",male,less than 1,77.94,77.13,78.74,,,
"Caithness, Sutherland and Ross",male,1 to 4,76.94,76.13,77.74,,,
"Caithness, Sutherland and Ross",male,5 to 9,72.94,72.13,73.74,,,
"Caithness, Sutherland and Ross",male,10 to 14,67.94,67.13,68.74,,,
"Caithness, Sutherland and Ross",male,15 to 19,62.94,62.13,63.74,,,
"Caithness, Sutherland and Ross",male,20 to 24,58.24,57.46,59.02,,,
"Caithness, Sutherland and Ross",male,25 to 29,53.34,52.57,54.10,,,
"Caithness, Sutherland and Ross",male,30 to 34,48.85,48.15,49.55,,,
"Caithness, Sutherland and Ross",male,35 to 39,44.16,43.49,44.83,,,
"Caithness, Sutherland and Ross",male,40 to 44,39.57,38.94,40.19,,,
"Caithness, Sutherland and Ross",male,45 to 49,34.99,34.41,35.58,,,
"Caithness, Sutherland and Ross",male,50 to 54,30.47,29.92,31.03,,,
"Caithness, Sutherland and Ross",male,55 to 59,26.18,25.65,26.70,,,
"Caithness, Sutherland and Ross",male,60 to 64,22.24,21.76,22.73,,,
"Caithness, Sutherland and Ross",male,65 to 69,18.25,17.79,18.71,,,
"Caithness, Sutherland and Ross",male,70 to 74,14.48,14.04,14.92,,,
"Caithness, Sutherland and Ross",male,75 to 79,11.07,10.65,11.49,,,
"Caithness, Sutherland and Ross",male,80 to 84,8.24,7.83,8.65,,,
"Caithness, Sutherland and Ross",male,85 to 89,5.65,5.22,6.08,,,
"Caithness, Sutherland and Ross",male,90+,3.84,3.25,4.44,,,
"Carrick, Cumnock and Doon Valley",female,less than 1,80.30,79.57,81.04,,,
"Carrick, Cumnock and Doon Valley",female,1 to 4,79.37,78.65,80.09,,,
"Carrick, Cumnock and Doon Valley",female,5 to 9,75.37,74.65,76.09,,,
"Carrick, Cumnock and Doon Valley",female,10 to 14,70.37,69.65,71.09,,,
"Carrick, Cumnock and Doon Valley",female,15 to 19,65.37,64.65,66.09,,,
"Carrick, Cumnock and Doon Valley",female,20 to 24,60.48,59.78,61.19,,,
"Carrick, Cumnock and Doon Valley",female,25 to 29,55.87,55.21,56.52,,,
"Carrick, Cumnock and Doon Valley",female,30 to 34,51.04,50.40,51.68,,,
"Carrick, Cumnock and Doon Valley",female,35 to 39,46.23,45.62,46.85,,,
"Carrick, Cumnock and Doon Valley",female,40 to 44,41.44,40.84,42.04,,,
"Carrick, Cumnock and Doon Valley",female,45 to 49,36.86,36.30,37.43,,,
"Carrick, Cumnock and Doon Valley",female,50 to 54,32.12,31.57,32.67,,,
"Carrick, Cumnock and Doon Valley",female,55 to 59,27.80,27.27,28.32,,,
"Carrick, Cumnock and Doon Valley",female,60 to 64,23.37,22.86,23.88,,,
"Carrick, Cumnock and Doon Valley",female,65 to 69,19.30,18.82,19.78,,,
"Carrick, Cumnock and Doon Valley",female,70 to 74,15.42,14.96,15.88,,,
"Carrick, Cumnock and Doon Valley",female,75 to 79,11.98,11.54,12.42,,,
"Carrick, Cumnock and Doon Valley",female,80 to 84,9.04,8.60,9.48,,,
"Carrick, Cumnock and Doon Valley",female,85 to 89,6.76,6.29,7.24,,,
"Carrick, Cumnock and Doon Valley",female,90+,4.97,4.34,5.60,,,
"Carrick, Cumnock and Doon Valley",male,less than 1,75.98,75.14,76.82,,,
"Carrick, Cumnock and Doon Valley",male,1 to 4,75.18,74.37,75.99,,,
"Carrick, Cumnock and Doon Valley",male,5 to 9,71.24,70.43,72.05,,,
"Carrick, Cumnock and Doon Valley",male,10 to 14,66.24,65.43,67.05,,,
"Carrick, Cumnock and Doon Valley",male,15 to 19,61.29,60.49,62.09,,,
"Carrick, Cumnock and Doon Valley",male,20 to 24,56.43,55.64,57.22,,,
"Carrick, Cumnock and Doon Valley",male,25 to 29,51.76,51.01,52.52,,,
"Carrick, Cumnock and Doon Valley",male,30 to 34,47.31,46.60,48.01,,,
"Carrick, Cumnock and Doon Valley",male,35 to 39,42.64,41.97,43.31,,,
"Carrick, Cumnock and Doon Valley",male,40 to 44,38.23,37.61,38.84,,,
"Carrick, Cumnock and Doon Valley",male,45 to 49,33.84,33.28,34.41,,,
"Carrick, Cumnock and Doon Valley",male,50 to 54,29.77,29.25,30.28,,,
"Carrick, Cumnock and Doon Valley",male,55 to 59,25.34,24.85,25.83,,,
"Carrick, Cumnock and Doon Valley",male,60 to 64,21.12,20.65,21.59,,,
"Carrick, Cumnock and Doon Valley",male,65 to 69,16.97,16.52,17.41,,,
"Carrick, Cumnock and Doon Valley",male,70 to 74,13.37,12.95,13.79,,,
"Carrick, Cumnock and Doon Valley",male,75 to 79,10.32,9.91,10.73,,,
"Carrick, Cumnock and Doon Valley",male,80 to 84,7.56,7.15,7.97,,,
"Carrick, Cumnock and Doon Valley",male,85 to 89,5.33,4.86,5.79,,,
"Carrick, Cumnock and Doon Valley",male,90+,4.17,3.42,4.91,,,
Clackmannanshire and Dunblane,female,less than 1,81.44,80.72,82.15,,,
Clackmannanshire and Dunblane,female,1 to 4,80.44,79.72,81.15,,,
Clackmannanshire and Dunblane,female,5 to 9,76.52,75.81,77.22,,,
Clackmannanshire and Dunblane,female,10 to 14,71.52,70.81,72.22,,,
Clackmannanshire and Dunblane,female,15 to 19,66.52,65.81,67.22,,,
Clackmannanshire and Dunblane,female,20 to 24,61.56,60.87,62.26,,,
Clackmannanshire and Dunblane,female,25 to 29,56.61,55.92,57.30,,,
Clackmannanshire and Dunblane,female,30 to 34,51.79,51.12,52.46,,,
Clackmannanshire and Dunblane,female,35 to 39,46.88,46.22,47.54,,,
Clackmannanshire and Dunblane,female,40 to 44,42.19,41.56,42.82,,,
Clackmannanshire and Dunblane,female,45 to 49,37.53,36.93,38.13,,,
Clackmannanshire and Dunblane,female,50 to 54,32.84,32.25,33.42,,,
Clackmannanshire and Dunblane,female,55 to 59,28.41,27.85,28.97,,,
Clackmannanshire and Dunblane,female,60 to 64,23.96,23.42,24.49,,,
Clackmannanshire and Dunblane,female,65 to 69,19.75,19.24,20.26,,,
Clackmannanshire and Dunblane,female,70 to 74,15.87,15.39,16.35,,,
Clackmannanshire and Dunblane,female,75 to 79,12.08,11.62,12.54,,,
Clackmannanshire and Dunblane,female,80 to 84,8.78,8.34,9.23,,,
Clackmannanshire and Dunblane,female,85 to 89,6.43,5.97,6.88,,,
Clackmannanshire and Dunblane,female,90+,4.33,3.75,4.91,,,
Clackmannanshire and Dunblane,male,less than 1,77.96,77.04,78.89,,,
Clackmannanshire and Dunblane,male,1 to 4,77.45,76.60,78.29,,,
Clackmannanshire and Dunblane,male,5 to 9,73.45,72.60,74.29,,,
Clackmannanshire and Dunblane,male,10 to 14,68.45,67.60,69.29,,,
Clackmannanshire and Dunblane,male,15 to 19,63.45,62.60,64.29,,,
Clackmannanshire and Dunblane,male,20 to 24,58.54,57.70,59.37,,,
Clackmannanshire and Dunblane,male,25 to 29,53.80,52.99,54.62,,,
Clackmannanshire and Dunblane,male,30 to 34,49.27,48.50,50.04,,,
Clackmannanshire and Dunblane,male,35 to 39,44.77,44.05,45.49,,,
Clackmannanshire and Dunblane,male,40 to 44,40.16,39.47,40.84,,,
Clackmannanshire and Dunblane,male,45 to 49,35.56,34.91,36.22,,,
Clackmannanshire and Dunblane,male,50 to 54,31.13,30.50,31.76,,,
Clackmannanshire and Dunblane,male,55 to 59,26.63,26.02,27.24,,,
Clackmannanshire and Dunblane,male,60 to 64,22.21,21.61,22.81,,,
Clackmannanshire and Dunblane,male,65 to 69,18.38,17.82,18.95,,,
Clackmannanshire and Dunblane,male,70 to 74,14.46,13.90,15.01,,,
Clackmannanshire and Dunblane,male,75 to 79,11.26,10.70,11.81,,,
Clackmannanshire and Dunblane,male,80 to 84,8.47,7.91,9.04,,,
Clackmannanshire and Dunblane,male,85 to 89,6.22,5.56,6.89,,,
Clackmannanshire and Dunblane,male,90+,4.85,3.85,5.84,,,
Clydebank and Milngavie,female,less than 1,81.25,80.53,81.97,,,
Clydebank and Milngavie,female,1 to 4,80.41,79.73,81.10,,,
Clydebank and Milngavie,female,5 to 9,76.49,75.82,77.16,,,
Clydebank and Milngavie,female,10 to 14,71.55,70.89,72.21,,,
Clydebank and Milngavie,female,15 to 19,66.61,65.96,67.26,,,
Clydebank and Milngavie,female,20 to 24,61.72,61.09,62.35,,,
Clydebank and Milngavie,female,25 to 29,56.72,56.09,57.35,,,
Clydebank and Milngavie,female,30 to 34,51.72,51.09,52.35,,,
Clydebank and Milngavie,female,35 to 39,46.85,46.23,47.47,,,
Clydebank and Milngavie,female,40 to 44,42.06,41.47,42.66,,,
Clydebank and Milngavie,female,45 to 49,37.46,36.90,38.02,,,
Clydebank and Milngavie,female,50 to 54,32.81,32.27,33.35,,,
Clydebank and Milngavie,female,55 to 59,28.37,27.86,28.89,,,
Clydebank and Milngavie,female,60 to 64,23.96,23.47,24.46,,,
Clydebank and Milngavie,female,65 to 69,19.73,19.27,20.19,,,
Clydebank and Milngavie,female,70 to 74,15.68,15.25,16.12,,,
Clydebank and Milngavie,female,75 to 79,12.06,11.67,12.46,,,
Clydebank and Milngavie,female,80 to 84,8.88,8.52,9.24,,,
Clydebank and Milngavie,female,85 to 89,6.06,5.72,6.41,,,
Clydebank and Milngavie,female,90+,4.09,3.67,4.52,,,
Clydebank and Milngavie,male,less than 1,77.00,76.17,77.83,,,
Clydebank and Milngavie,male,1 to 4,76.00,75.17,76.83,,,
Clydebank and Milngavie,male,5 to 9,72.07,71.25,72.89,,,
Clydebank and Milngavie,male,10 to 14,67.07,66.25,67.89,,,
Clydebank and Milngavie,male,15 to 19,62.07,61.25,62.89,,,
Clydebank and Milngavie,male,20 to 24,57.26,56.45,58.06,,,
Clydebank and Milngavie,male,25 to 29,52.55,51.77,53.32,,,
Clydebank and Milngavie,male,30 to 34,47.98,47.24,48.71,,,
Clydebank and Milngavie,male,35 to 39,43.41,42.72,44.10,,,
Clydebank and Milngavie,male,40 to 44,38.84,38.19,39.49,,,
Clydebank and Milngavie,male,45 to 49,34.35,33.74,34.96,,,
Clydebank and Milngavie,male,50 to 54,29.93,29.36,30.51,,,
Clydebank and Milngavie,male,55 to 59,25.59,25.04,26.15,,,
Clydebank and Milngavie,male,60 to 64,21.44,20.91,21.96,,,
Clydebank and Milngavie,male,65 to 69,17.72,17.23,18.20,,,
Clydebank and Milngavie,male,70 to 74,13.84,13.39,14.30,,,
Clydebank and Milngavie,male,75 to 79,10.39,9.96,10.82,,,
Clydebank and Milngavie,male,80 to 84,7.72,7.32,8.12,,,
Clydebank and Milngavie,male,85 to 89,5.37,4.96,5.77,,,
Clydebank and Milngavie,male,90+,3.49,2.96,4.03,,,
Clydesdale,female,less than 1,81.24,80.51,81.97,,,
Clydesdale,female,1 to 4,80.42,79.73,81.11,,,
Clydesdale,female,5 to 9,76.42,75.73,77.11,,,
Clydesdale,female,10 to 14,71.42,70.73,72.11,,,
Clydesdale,female,15 to 19,66.54,65.87,67.21,,,
Clydesdale,female,20 to 24,61.54,60.87,62.21,,,
Clydesdale,female,25 to 29,56.54,55.87,57.21,,,
Clydesdale,female,30 to 34,51.65,50.99,52.30,,,
Clydesdale,female,35 to 39,46.83,46.19,47.46,,,
Clydesdale,female,40 to 44,42.25,41.65,42.84,,,
Clydesdale,female,45 to 49,37.42,36.84,38.00,,,
Clydesdale,female,50 to 54,32.92,32.36,33.48,,,
Clydesdale,female,55 to 59,28.18,27.64,28.73,,,
Clydesdale,female,60 to 64,23.86,23.34,24.39,,,
Clydesdale,female,65 to 69,19.68,19.18,20.18,,,
Clydesdale,female,70 to 74,15.71,15.23,16.19,,,
Clydesdale,female,75 to 79,12.28,11.82,12.74,,,
Clydesdale,female,80 to 84,9.27,8.83,9.72,,,
Clydesdale,female,85 to 89,6.57,6.10,7.03,,,
Clydesdale,female,90+,5.02,4.39,5.66,,,
Clydesdale,male,less than 1,78.60,77.77,79.43,,,
Clydesdale,male,1 to 4,77.83,77.04,78.62,,,
Clydesdale,male,5 to 9,73.83,73.04,74.62,,,
Clydesdale,male,10 to 14,68.83,68.04,69.62,,,
Clydesdale,male,15 to 19,63.83,63.04,64.62,,,
Clydesdale,male,20 to 24,59.02,58.25,59.79,,,
Clydesdale,male,25 to 29,54.26,53.52,55.00,,,
Clydesdale,male,30 to 34,49.66,48.97,50.36,,,
Clydesdale,male,35 to 39,44.99,44.33,45.64,,,
Clydesdale,male,40 to 44,40.17,39.53,40.81,,,
Clydesdale,male,45 to 49,35.58,34.97,36.19,,,
Clydesdale,male,50 to 54,31.04,30.45,31.63,,,
Clydesdale,male,55 to 59,26.71,26.15,27.28,,,
Clydesdale,male,60 to 64,22.37,21.82,22.91,,,
Clydesdale,male,65 to 69,18.34,17.82,18.87,,,
Clydesdale,male,70 to 74,14.67,14.16,15.18,,,
Clydesdale,male,75 to 79,11.15,10.65,11.65,,,
Clydesdale,male,80 to 84,8.43,7.92,8.94,,,
Clydesdale,male,85 to 89,6.08,5.51,6.65,,,
Clydesdale,male,90+,4.62,3.78,5.46,,,
Coatbridge and Chryston,female,less than 1,79.45,78.72,80.18,,,
Coatbridge and Chryston,female,1 to 4,78.52,77.81,79.24,,,
Coatbridge and Chryston,female,5 to 9,74.52,73.81,75.24,,,
Coatbridge and Chryston,female,10 to 14,69.63,68.93,70.33,,,
Coatbridge and Chryston,female,15 to 19,64.63,63.93,65.33,,,
Coatbridge and Chryston,female,20 to 24,59.68,58.99,60.38,,,
Coatbridge and Chryston,female,25 to 29,54.82,54.14,55.50,,,
Coatbridge and Chryston,female,30 to 34,49.90,49.22,50.57,,,
Coatbridge and Chryston,female,35 to 39,45.10,44.44,45.75,,,
Coatbridge and Chryston,female,40 to 44,40.38,39.74,41.02,,,
Coatbridge and Chryston,female,45 to 49,35.75,35.14,36.37,,,
Coatbridge and Chryston,female,50 to 54,31.28,30.69,31.87,,,
Coatbridge and Chryston,female,55 to 59,26.78,26.20,27.35,,,
Coatbridge and Chryston,female,60 to 64,22.54,21.99,23.09,,,
Coatbridge and Chryston,female,65 to 69,18.46,17.94,18.99,,,
Coatbridge and Chryston,female,70 to 74,14.52,14.02,15.02,,,
Coatbridge and Chryston,female,75 to 79,11.22,10.74,11.69,,,
Coatbridge and Chryston,female,80 to 84,8.39,7.93,8.85,,,
Coatbridge and Chryston,female,85 to 89,6.38,5.88,6.88,,,
Coatbridge and Chryston,female,90+,4.81,4.13,5.50,,,
Coatbridge and Chryston,male,less than 1,75.52,74.72,76.33,,,
Coatbridge and Chryston,male,1 to 4,74.71,73.93,75.49,,,
Coatbridge and Chryston,male,5 to 9,70.77,70.00,71.54,,,
Coatbridge and Chryston,male,10 to 14,65.82,65.05,66.59,,,
Coatbridge and Chryston,male,15 to 19,60.82,60.05,61.59,,,
Coatbridge and Chryston,male,20 to 24,55.91,55.16,56.67,,,
Coatbridge and Chryston,male,25 to 29,51.20,50.47,51.93,,,
Coatbridge and Chryston,male,30 to 34,46.47,45.76,47.17,,,
Coatbridge and Chryston,male,35 to 39,41.68,40.99,42.37,,,
Coatbridge and Chryston,male,40 to 44,37.08,36.42,37.74,,,
Coatbridge and Chryston,male,45 to 49,32.43,31.78,33.07,,,
Coatbridge and Chryston,male,50 to 54,28.24,27.62,28.85,,,
Coatbridge and Chryston,male,55 to 59,24.12,23.53,24.71,,,
Coatbridge and Chryston,male,60 to 64,20.15,19.59,20.72,,,
Coatbridge and Chryston,male,65 to 69,16.46,15.93,17.00,,,
Coatbridge and Chryston,male,70 to 74,13.06,12.55,13.57,,,
Coatbridge and Chryston,male,75 to 79,9.94,9.45,10.42,,,
Coatbridge and Chryston,male,80 to 84,7.40,6.92,7.88,,,
Coatbridge and Chryston,male,85 to 89,5.27,4.74,5.79,,,
Coatbridge and Chryston,male,90+,3.73,2.98,4.48,,,
Cowdenbeath,female,less than 1,79.75,78.97,80.53,,,
Cowdenbeath,female,1 to 4,79.19,78.48,79.89,,,
Cowdenbeath,female,5 to 9,75.25,74.56,75.95,,,
Cowdenbeath,female,10 to 14,70.25,69.56,70.95,,,
Cowdenbeath,female,15 to 19,65.25,64.56,65.95,,,
Cowdenbeath,female,20 to 24,60.31,59.62,60.99,,,
Cowdenbeath,female,25 to 29,55.52,54.86,56.17,,,
Cowdenbeath,female,30 to 34,50.60,49.95,51.24,,,
Cowdenbeath,female,35 to 39,45.70,45.07,46.34,,,
Cowdenbeath,female,40 to 44,40.99,40.38,41.60,,,
Cowdenbeath,female,45 to 49,36.33,35.74,36.92,,,
Cowdenbeath,female,50 to 54,31.86,31.30,32.42,,,
Cowdenbeath,female,55 to 59,27.40,26.86,27.93,,,
Cowdenbeath,female,60 to 64,23.17,22.66,23.67,,,
Cowdenbeath,female,65 to 69,19.12,18.65,19.59,,,
Cowdenbeath,female,70 to 74,15.15,14.70,15.59,,,
Cowdenbeath,female,75 to 79,11.51,11.08,11.93,,,
Cowdenbeath,female,80 to 84,8.47,8.08,8.86,,,
Cowdenbeath,female,85 to 89,5.94,5.56,6.32,,,
Cowdenbeath,female,90+,3.87,3.41,4.32,,,
Cowdenbeath,male,less than 1,77.36,76.53,78.19,,,
Cowdenbeath,male,1 to 4,76.64,75.85,77.42,,,
Cowdenbeath,male,5 to 9,72.82,72.05,73.58,,,
Cowdenbeath,male,10 to 14,67.87,67.11,68.62,,,
Cowdenbeath,male,15 to 19,62.92,62.17,63.67,,,
Cowdenbeath,male,20 to 24,58.07,57.34,58.80,,,
Cowdenbeath,male,25 to 29,53.21,52.49,53.92,,,
Cowdenbeath,male,30 to 34,48.45,47.75,49.14,,,
Cowdenbeath,male,35 to 39,43.76,43.09,44.42,,,
Cowdenbeath,male,40 to 44,38.98,38.33,39.63,,,
Cowdenbeath,male,45 to 49,34.31,33.68,34.94,,,
Cowdenbeath,male,50 to 54,29.93,29.33,30.52,,,
Cowdenbeath,male,55 to 59,25.46,24.88,26.05,,,
Cowdenbeath,male,60 to 64,21.32,20.77,21.88,,,
Cowdenbeath,male,65 to 69,17.56,17.03,18.09,,,
Cowdenbeath,male,70 to 74,14.08,13.57,14.59,,,
Cowdenbeath,male,75 to 79,10.64,10.14,11.15,,,
Cowdenbeath,male,80 to 84,8.12,7.60,8.64,,,
Cowdenbeath,male,85 to 89,6.17,5.58,6.75,,,
Cowdenbeath,male,90+,4.57,3.74,5.39,,,
Cumbernauld and Kilsyth,female,less than 1,81.09,80.35,81.83,,,
Cumbernauld and Kilsyth,female,1 to 4,80.17,79.45,80.89,,,
Cumbernauld and Kilsyth,female,5 to 9,76.17,75.45,76.89,,,
Cumbernauld and Kilsyth,female,10 to 14,71.17,70.45,71.89,,,
Cumbernauld and Kilsyth,female,15 to 19,66.23,65.52,66.94,,,
Cumbernauld and Kilsyth,female,20 to 24,61.29,60.59,61.99,,,
Cumbernauld and Kilsyth,female,25 to 29,56.44,55.76,57.12,,,
Cumbernauld and Kilsyth,female,30 to 34,51.49,50.81,52.16,,,
Cumbernauld and Kilsyth,female,35 to 39,46.53,45.86,47.20,,,
Cumbernauld and Kilsyth,female,40 to 44,41.85,41.21,42.50,,,
Cumbernauld and Kilsyth,female,45 to 49,37.27,36.66,37.88,,,
Cumbernauld and Kilsyth,female,50 to 54,32.67,32.08,33.26,,,
Cumbernauld and Kilsyth,female,55 to 59,28.07,27.50,28.64,,,
Cumbernauld and Kilsyth,female,60 to 64,23.59,23.04,24.13,,,
Cumbernauld and Kilsyth,female,65 to 69,19.43,18.91,19.95,,,
Cumbernauld and Kilsyth,female,70 to 74,15.46,14.97,15.95,,,
Cumbernauld and Kilsyth,female,75 to 79,11.80,11.33,12.27,,,
Cumbernauld and Kilsyth,female,80 to 84,8.56,8.11,9.02,,,
Cumbernauld and Kilsyth,female,85 to 89,5.92,5.45,6.39,,,
Cumbernauld and Kilsyth,female,90+,3.81,3.21,4.41,,,
Cumbernauld and Kilsyth,male,less than 1,76.99,76.15,77.84,,,
Cumbernauld and Kilsyth,male,1 to 4,76.23,75.42,77.04,,,
Cumbernauld and Kilsyth,male,5 to 9,72.30,71.50,73.10,,,
Cumbernauld and Kilsyth,male,10 to 14,67.30,66.50,68.10,,,
Cumbernauld and Kilsyth,male,15 to 19,62.30,61.50,63.10,,,
Cumbernauld and Kilsyth,male,20 to 24,57.49,56.72,58.27,,,
Cumbernauld and Kilsyth,male,25 to 29,52.63,51.86,53.39,,,
Cumbernauld and Kilsyth,male,30 to 34,47.76,47.00,48.51,,,
Cumbernauld and Kilsyth,male,35 to 39,43.05,42.32,43.77,,,
Cumbernauld and Kilsyth,male,40 to 44,38.39,37.69,39.08,,,
Cumbernauld and Kilsyth,male,45 to 49,34.03,33.37,34.68,,,
Cumbernauld and Kilsyth,male,50 to 54,29.61,28.99,30.24,,,
Cumbernauld and Kilsyth,male,55 to 59,25.18,24.58,25.79,,,
Cumbernauld and Kilsyth,male,60 to 64,21.02,20.44,21.59,,,
Cumbernauld and Kilsyth,male,65 to 69,17.12,16.57,17.66,,,
Cumbernauld and Kilsyth,male,70 to 74,13.58,13.06,14.09,,,
Cumbernauld and Kilsyth,male,75 to 79,10.25,9.76,10.75,,,
Cumbernauld and Kilsyth,male,80 to 84,7.39,6.91,7.87,,,
Cumbernauld and Kilsyth,male,85 to 89,5.23,4.72,5.75,,,
Cumbernauld and Kilsyth,male,90+,3.29,2.55,4.04,,,
Cunninghame North,female,less than 1,80.77,79.90,81.64,,,
Cunninghame North,female,1 to 4,80.40,79.68,81.11,,,
Cunninghame North,female,5 to 9,76.40,75.68,77.11,,,
Cunninghame North,female,10 to 14,71.40,70.68,72.11,,,
Cunninghame North,female,15 to 19,66.46,65.75,67.17,,,
Cunninghame North,female,20 to 24,61.46,60.75,62.17,,,
Cunninghame North,female,25 to 29,56.67,56.00,57.35,,,
Cunninghame North,female,30 to 34,51.83,51.18,52.49,,,
Cunninghame North,female,35 to 39,46.93,46.28,47.57,,,
Cunninghame North,female,40 to 44,42.34,41.74,42.94,,,
Cunninghame North,female,45 to 49,37.73,37.18,38.29,,,
