"Table 2: Healthy Life Expectancy (HLE1) estimates by council area in Scotland, 2017-2019",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Council Area,Area Code,Sex,Age group,"Life Expectancy (LE, years)",LE Lower CI (years),LE Upper CI (years),Healthy Life Expectancy (HLE) (years),HLE Lower CI (years),HLE Upper CI (years),Proportion of Life Spent in Good Health (%),,,,,,,,,,,,,,,,
Aberdeen City,S12000033,Male,<1,77.07,76.62,77.52,60.59,58.46,62.71,78.61,,,,,,,,,,,,,,,,
Aberdeen City,S12000033,Male,1 to 4,76.24,75.80,76.67,59.73,57.61,61.86,78.35,,,,,,,,,,,,,,,,
Aberdeen City,S12000033,Male,10 to 14,67.34,66.91,67.77,51.02,48.92,53.12,75.76,,,,,,,,,,,,,,,,
Aberdeen City,S12000033,Male,15 to 19,62.36,61.94,62.79,46.24,44.17,48.31,74.15,,,,,,,,,,,,,,,,
Aberdeen City,S12000033,Male,20 to 24,57.48,57.06,57.89,41.62,39.60,43.65,72.42,,,,,,,,,,,,,,,,
Aberdeen City,S12000033,Male,25 to 29,52.53,52.12,52.94,37.05,35.14,38.97,70.54,,,,,,,,,,,,,,,,
Aberdeen City,S12000033,Male,30 to 34,47.67,47.27,48.08,32.65,30.79,34.51,68.48,,,,,,,,,,,,,,,,
Aberdeen City,S12000033,Male,35 to 39,42.85,42.44,43.25,28.40,26.57,30.22,66.28,,,,,,,,,,,,,,,,
Aberdeen City,S12000033,Male,40 to 44,38.17,37.78,38.57,24.42,22.67,26.17,63.96,,,,,,,,,,,,,,,,
Aberdeen City,S12000033,Male,45 to 49,33.77,33.39,34.15,20.75,19.07,22.43,61.44,,,,,,,,,,,,,,,,
Aberdeen City,S12000033,Male,5 to 9,72.32,71.89,72.75,55.87,53.75,57.99,77.25,,,,,,,,,,,,,,,,
Aberdeen City,S12000033,Male,50 to 54,29.47,29.11,29.83,17.27,15.64,18.90,58.62,,,,,,,,,,,,,,,,
Aberdeen City,S12000033,Male,55 to 59,25.15,24.81,25.50,13.98,12.43,15.53,55.58,,,,,,,,,,,,,,,,
Aberdeen City,S12000033,Male,60 to 64,21.08,20.75,21.40,11.03,9.52,12.54,52.35,,,,,,,,,,,,,,,,
Aberdeen City,S12000033,Male,65 to 69,17.38,17.07,17.69,8.52,7.03,10.01,49.02,,,,,,,,,,,,,,,,
Aberdeen City,S12000033,Male,70 to 74,13.80,13.50,14.09,6.25,4.80,7.70,45.27,,,,,,,,,,,,,,,,
Aberdeen City,S12000033,Male,75 to 79,10.48,10.20,10.76,4.25,2.83,5.67,40.55,,,,,,,,,,,,,,,,
Aberdeen City,S12000033,Male,80 to 84,7.68,7.42,7.94,2.75,1.38,4.12,35.84,,,,,,,,,,,,,,,,
Aberdeen City,S12000033,Male,85 to 89,5.36,5.09,5.63,1.63,0.56,2.71,30.47,,,,,,,,,,,,,,,,
Aberdeen City,S12000033,Male,90+,3.87,3.48,4.27,1.07,0.07,2.07,27.59,,,,,,,,,,,,,,,,
Aberdeenshire,S12000034,Female,<1,82.52,82.13,82.91,65.96,63.73,68.18,79.93,,,,,,,,,,,,,,,,
Aberdeenshire,S12000034,Female,1 to 4,81.69,81.32,82.06,65.18,62.95,67.40,79.79,,,,,,,,,,,,,,,,
Aberdeenshire,S12000034,Female,10 to 14,72.74,72.37,73.11,56.93,54.84,59.02,78.27,,,,,,,,,,,,,,,,
Aberdeenshire,S12000034,Female,15 to 19,67.74,67.37,68.11,52.37,50.37,54.37,77.31,,,,,,,,,,,,,,,,
Aberdeenshire,S12000034,Female,20 to 24,62.77,62.41,63.14,47.91,46.02,49.80,76.32,,,,,,,,,,,,,,,,
Aberdeenshire,S12000034,Female,25 to 29,57.93,57.58,58.28,43.61,41.81,45.42,75.29,,,,,,,,,,,,,,,,
Aberdeenshire,S12000034,Female,30 to 34,53.06,52.72,53.40,39.29,37.54,41.03,74.04,,,,,,,,,,,,,,,,
Aberdeenshire,S12000034,Female,35 to 39,48.20,47.87,48.53,34.99,33.32,36.67,72.60,,,,,,,,,,,,,,,,
Aberdeenshire,S12000034,Female,40 to 44,43.41,43.09,43.73,30.80,29.17,32.44,70.96,,,,,,,,,,,,,,,,
Aberdeenshire,S12000034,Female,45 to 49,38.66,38.34,38.97,26.71,25.13,28.29,69.09,,,,,,,,,,,,,,,,
Aberdeenshire,S12000034,Female,5 to 9,77.72,77.36,78.09,61.53,59.36,63.70,79.16,,,,,,,,,,,,,,,,
Aberdeenshire,S12000034,Female,50 to 54,33.99,33.69,34.29,22.70,21.17,24.24,66.80,,,,,,,,,,,,,,,,
Aberdeenshire,S12000034,Female,55 to 59,29.42,29.13,29.72,18.88,17.37,20.38,64.16,,,,,,,,,,,,,,,,
Aberdeenshire,S12000034,Female,60 to 64,24.93,24.65,25.21,15.22,13.75,16.68,61.04,,,,,,,,,,,,,,,,
Aberdeenshire,S12000034,Female,65 to 69,20.67,20.40,20.94,11.85,10.42,13.28,57.33,,,,,,,,,,,,,,,,
Aberdeenshire,S12000034,Female,70 to 74,16.55,16.29,16.81,8.77,7.36,10.18,52.98,,,,,,,,,,,,,,,,
Aberdeenshire,S12000034,Female,75 to 79,12.66,12.41,12.90,6.05,4.64,7.45,47.79,,,,,,,,,,,,,,,,
Aberdeenshire,S12000034,Female,80 to 84,9.30,9.07,9.53,3.96,2.62,5.30,42.56,,,,,,,,,,,,,,,,
Aberdeenshire,S12000034,Female,85 to 89,6.33,6.10,6.56,2.38,1.32,3.45,37.66,,,,,,,,,,,,,,,,
Aberdeenshire,S12000034,Female,90+,4.38,4.09,4.66,1.70,0.68,2.72,38.82,,,,,,,,,,,,,,,,
Aberdeenshire,S12000034,Male,<1,79.29,78.90,79.68,67.91,66.21,69.61,85.65,,,,,,,,,,,,,,,,
Aberdeenshire,S12000034,Male,1 to 4,78.36,77.98,78.75,66.97,65.27,68.68,85.47,,,,,,,,,,,,,,,,
Aberdeenshire,S12000034,Male,10 to 14,69.42,69.04,69.81,58.08,56.39,59.77,83.66,,,,,,,,,,,,,,,,
Aberdeenshire,S12000034,Male,15 to 19,64.44,64.06,64.82,53.17,51.49,54.85,82.51,,,,,,,,,,,,,,,,
Aberdeenshire,S12000034,Male,20 to 24,59.52,59.15,59.90,48.37,46.70,50.03,81.25,,,,,,,,,,,,,,,,
Aberdeenshire,S12000034,Male,25 to 29,54.65,54.28,55.01,43.66,42.03,45.29,79.89,,,,,,,,,,,,,,,,
Aberdeenshire,S12000034,Male,30 to 34,49.90,49.55,50.25,39.13,37.54,40.72,78.41,,,,,,,,,,,,,,,,
Aberdeenshire,S12000034,Male,35 to 39,45.30,44.97,45.63,34.79,33.25,36.34,76.81,,,,,,,,,,,,,,,,
Aberdeenshire,S12000034,Male,40 to 44,40.54,40.22,40.86,30.44,28.95,31.92,75.08,,,,,,,,,,,,,,,,
Aberdeenshire,S12000034,Male,45 to 49,35.81,35.50,36.12,26.22,24.78,27.66,73.22,,,,,,,,,,,,,,,,
Aberdeenshire,S12000034,Male,5 to 9,74.38,74.00,74.77,63.00,61.31,64.70,84.70,,,,,,,,,,,,,,,,
Aberdeenshire,S12000034,Male,50 to 54,31.24,30.94,31.54,22.24,20.85,23.64,71.20,,,,,,,,,,,,,,,,
Aberdeenshire,S12000034,Male,55 to 59,26.73,26.44,27.01,18.44,17.11,19.77,69.01,,,,,,,,,,,,,,,,
Aberdeenshire,S12000034,Male,60 to 64,22.38,22.10,22.66,14.92,13.64,16.19,66.65,,,,,,,,,,,,,,,,
Aberdeenshire,S12000034,Male,65 to 69,18.28,18.02,18.55,11.72,10.49,12.96,64.11,,,,,,,,,,,,,,,,
Aberdeenshire,S12000034,Male,70 to 74,14.46,14.21,14.71,8.86,7.64,10.09,61.30,,,,,,,,,,,,,,,,
Aberdeenshire,S12000034,Male,75 to 79,10.95,10.71,11.19,6.37,5.12,7.62,58.19,,,,,,,,,,,,,,,,
Aberdeenshire,S12000034,Male,80 to 84,7.94,7.71,8.17,4.35,3.18,5.52,54.81,,,,,,,,,,,,,,,,
Aberdeenshire,S12000034,Male,85 to 89,5.49,5.25,5.73,2.79,1.83,3.75,50.91,,,,,,,,,,,,,,,,
Aberdeenshire,S12000034,Male,90+,3.74,3.41,4.06,1.72,0.85,2.60,46.17,,,,,,,,,,,,,,,,
Angus,S12000041,Female,<1,82.26,81.66,82.86,63.09,60.98,65.19,76.69,,,,,,,,,,,,,,,,
Angus,S12000041,Female,1 to 4,81.49,80.94,82.05,62.29,60.18,64.40,76.44,,,,,,,,,,,,,,,,
Angus,S12000041,Female,10 to 14,72.58,72.04,73.12,53.80,51.73,55.87,74.13,,,,,,,,,,,,,,,,
Angus,S12000041,Female,15 to 19,67.62,67.08,68.16,49.24,47.21,51.28,72.83,,,,,,,,,,,,,,,,
Angus,S12000041,Female,20 to 24,62.66,62.12,63.19,44.78,42.80,46.77,71.48,,,,,,,,,,,,,,,,
Angus,S12000041,Female,25 to 29,57.73,57.20,58.25,40.44,38.52,42.36,70.06,,,,,,,,,,,,,,,,
Angus,S12000041,Female,30 to 34,52.95,52.45,53.45,36.35,34.49,38.21,68.65,,,,,,,,,,,,,,,,
Angus,S12000041,Female,35 to 39,48.13,47.65,48.61,32.34,30.53,34.15,67.20,,,,,,,,,,,,,,,,
Angus,S12000041,Female,40 to 44,43.33,42.87,43.80,28.48,26.72,30.24,65.72,,,,,,,,,,,,,,,,
Angus,S12000041,Female,45 to 49,38.64,38.19,39.08,24.82,23.18,26.46,64.24,,,,,,,,,,,,,,,,
Angus,S12000041,Female,5 to 9,77.54,76.99,78.09,58.48,56.38,60.57,75.41,,,,,,,,,,,,,,,,
Angus,S12000041,Female,50 to 54,33.99,33.57,34.42,21.33,19.74,22.92,62.74,,,,,,,,,,,,,,,,
Angus,S12000041,Female,55 to 59,29.43,29.02,29.84,18.03,16.48,19.57,61.26,,,,,,,,,,,,,,,,
Angus,S12000041,Female,60 to 64,25.05,24.66,25.43,14.99,13.48,16.49,59.82,,,,,,,,,,,,,,,,
Angus,S12000041,Female,65 to 69,20.83,20.47,21.20,12.20,10.73,13.67,58.55,,,,,,,,,,,,,,,,
Angus,S12000041,Female,70 to 74,16.67,16.33,17.01,9.56,8.12,11.01,57.35,,,,,,,,,,,,,,,,
Angus,S12000041,Female,75 to 79,12.75,12.42,13.07,7.18,5.73,8.63,56.32,,,,,,,,,,,,,,,,
Angus,S12000041,Female,80 to 84,9.32,9.01,9.62,5.12,3.71,6.53,55.00,,,,,,,,,,,,,,,,
Angus,S12000041,Female,85 to 89,6.52,6.22,6.83,3.47,2.30,4.65,53.27,,,,,,,,,,,,,,,,
Angus,S12000041,Female,90+,4.72,4.34,5.11,2.40,1.21,3.59,50.81,,,,,,,,,,,,,,,,
Angus,S12000041,Male,<1,78.33,77.69,78.98,60.98,58.85,63.11,77.84,,,,,,,,,,,,,,,,
Angus,S12000041,Male,1 to 4,77.63,77.02,78.23,60.38,58.24,62.51,77.78,,,,,,,,,,,,,,,,
Angus,S12000041,Male,10 to 14,68.67,68.07,69.27,52.90,50.92,54.88,77.03,,,,,,,,,,,,,,,,
Angus,S12000041,Male,15 to 19,63.67,63.07,64.27,48.70,46.82,50.58,76.49,,,,,,,,,,,,,,,,
Angus,S12000041,Male,20 to 24,58.79,58.20,59.38,44.59,42.81,46.37,75.84,,,,,,,,,,,,,,,,
Angus,S12000041,Male,25 to 29,53.94,53.36,54.52,40.51,38.82,42.20,75.10,,,,,,,,,,,,,,,,
Angus,S12000041,Male,30 to 34,49.17,48.61,49.72,36.51,34.89,38.14,74.26,,,,,,,,,,,,,,,,
Angus,S12000041,Male,35 to 39,44.59,44.07,45.11,32.70,31.15,34.25,73.34,,,,,,,,,,,,,,,,
Angus,S12000041,Male,40 to 44,39.92,39.42,40.42,28.82,27.33,30.31,72.19,,,,,,,,,,,,,,,,
Angus,S12000041,Male,45 to 49,35.45,34.99,35.92,25.15,23.74,26.55,70.93,,,,,,,,,,,,,,,,
Angus,S12000041,Male,5 to 9,73.67,73.07,74.27,57.08,55.00,59.15,77.47,,,,,,,,,,,,,,,,
Angus,S12000041,Male,50 to 54,31.01,30.57,31.45,21.53,20.17,22.89,69.44,,,,,,,,,,,,,,,,
Angus,S12000041,Male,55 to 59,26.62,26.20,27.03,18.04,16.72,19.35,67.76,,,,,,,,,,,,,,,,
Angus,S12000041,Male,60 to 64,22.25,21.85,22.65,14.72,13.49,15.95,66.16,,,,,,,,,,,,,,,,
Angus,S12000041,Male,65 to 69,18.37,18.00,18.74,11.80,10.59,13.00,64.21,,,,,,,,,,,,,,,,
Angus,S12000041,Male,70 to 74,14.70,14.35,15.04,9.03,7.84,10.23,61.46,,,,,,,,,,,,,,,,
Angus,S12000041,Male,75 to 79,11.26,10.92,11.59,6.57,5.38,7.75,58.33,,,,,,,,,,,,,,,,
Angus,S12000041,Male,80 to 84,8.15,7.83,8.47,4.51,3.41,5.60,55.27,,,,,,,,,,,,,,,,
Angus,S12000041,Male,85 to 89,5.79,5.45,6.12,3.06,2.14,3.98,52.94,,,,,,,,,,,,,,,,
Angus,S12000041,Male,90+,3.83,3.37,4.30,2.05,1.23,2.88,53.52,,,,,,,,,,,,,,,,
Argyll and Bute,S12000035,Female,<1,81.69,80.98,82.39,63.43,61.42,65.45,77.65,,,,,,,,,,,,,,,,
Argyll and Bute,S12000035,Female,1 to 4,80.86,80.21,81.52,62.63,60.61,64.64,77.45,,,,,,,,,,,,,,,,
Argyll and Bute,S12000035,Female,10 to 14,72.00,71.36,72.63,54.33,52.38,56.29,75.47,,,,,,,,,,,,,,,,
Argyll and Bute,S12000035,Female,15 to 19,67.11,66.49,67.72,49.86,47.96,51.76,74.30,,,,,,,,,,,,,,,,
Argyll and Bute,S12000035,Female,20 to 24,62.32,61.73,62.90,45.58,43.74,47.42,73.14,,,,,,,,,,,,,,,,
Argyll and Bute,S12000035,Female,25 to 29,57.32,56.73,57.90,41.25,39.54,42.97,71.97,,,,,,,,,,,,,,,,
Argyll and Bute,S12000035,Female,30 to 34,52.32,51.73,52.90,37.02,35.42,38.61,70.76,,,,,,,,,,,,,,,,
Argyll and Bute,S12000035,Female,35 to 39,47.36,46.78,47.93,32.93,31.44,34.42,69.53,,,,,,,,,,,,,,,,
Argyll and Bute,S12000035,Female,40 to 44,42.68,42.14,43.22,29.10,27.69,30.50,68.17,,,,,,,,,,,,,,,,
Argyll and Bute,S12000035,Female,45 to 49,38.09,37.59,38.59,25.39,24.12,26.66,66.65,,,,,,,,,,,,,,,,
Argyll and Bute,S12000035,Female,5 to 9,76.94,76.29,77.58,58.93,56.93,60.92,76.59,,,,,,,,,,,,,,,,
Argyll and Bute,S12000035,Female,50 to 54,33.49,33.01,33.96,21.80,20.59,23.01,65.11,,,,,,,,,,,,,,,,
Argyll and Bute,S12000035,Female,55 to 59,29.06,28.61,29.51,18.44,17.29,19.58,63.44,,,,,,,,,,,,,,,,
Argyll and Bute,S12000035,Female,60 to 64,24.73,24.31,25.15,15.23,14.13,16.32,61.58,,,,,,,,,,,,,,,,
Argyll and Bute,S12000035,Female,65 to 69,20.49,20.09,20.88,12.09,11.04,13.15,59.03,,,,,,,,,,,,,,,,
Argyll and Bute,S12000035,Female,70 to 74,16.39,16.02,16.76,9.21,8.19,10.24,56.19,,,,,,,,,,,,,,,,
Argyll and Bute,S12000035,Female,75 to 79,12.52,12.17,12.88,6.62,5.60,7.64,52.86,,,,,,,,,,,,,,,,
Argyll and Bute,S12000035,Female,80 to 84,9.23,8.90,9.56,4.58,3.64,5.52,49.62,,,,,,,,,,,,,,,,
Argyll and Bute,S12000035,Female,85 to 89,6.40,6.07,6.73,3.04,2.26,3.81,47.43,,,,,,,,,,,,,,,,
Argyll and Bute,S12000035,Female,90+,4.22,3.82,4.62,1.95,1.25,2.66,46.32,,,,,,,,,,,,,,,,
Argyll and Bute,S12000035,Male,<1,78.34,77.61,79.06,64.70,63.02,66.37,82.59,,,,,,,,,,,,,,,,
Argyll and Bute,S12000035,Male,1 to 4,77.41,76.70,78.12,63.79,62.11,65.46,82.40,,,,,,,,,,,,,,,,
Argyll and Bute,S12000035,Male,10 to 14,68.41,67.70,69.12,55.05,53.42,56.68,80.47,,,,,,,,,,,,,,,,
Argyll and Bute,S12000035,Male,15 to 19,63.46,62.76,64.16,50.27,48.68,51.86,79.21,,,,,,,,,,,,,,,,
Argyll and Bute,S12000035,Male,20 to 24,58.50,57.80,59.20,45.54,43.99,47.09,77.84,,,,,,,,,,,,,,,,
Argyll and Bute,S12000035,Male,25 to 29,53.66,52.98,54.35,40.96,39.46,42.46,76.33,,,,,,,,,,,,,,,,
Argyll and Bute,S12000035,Male,30 to 34,49.17,48.53,49.81,36.72,35.29,38.14,74.67,,,,,,,,,,,,,,,,
Argyll and Bute,S12000035,Male,35 to 39,44.41,43.79,45.02,32.37,31.01,33.72,72.89,,,,,,,,,,,,,,,,
Argyll and Bute,S12000035,Male,40 to 44,39.83,39.26,40.41,28.27,27.00,29.54,70.98,,,,,,,,,,,,,,,,
Argyll and Bute,S12000035,Male,45 to 49,35.30,34.76,35.84,24.34,23.15,25.53,68.94,,,,,,,,,,,,,,,,
Argyll and Bute,S12000035,Male,5 to 9,73.41,72.70,74.12,59.90,58.24,61.55,81.59,,,,,,,,,,,,,,,,
Argyll and Bute,S12000035,Male,50 to 54,30.91,30.41,31.41,20.64,19.53,21.75,66.78,,,,,,,,,,,,,,,,
Argyll and Bute,S12000035,Male,55 to 59,26.51,26.04,26.99,17.07,16.03,18.11,64.40,,,,,,,,,,,,,,,,
Argyll and Bute,S12000035,Male,60 to 64,22.26,21.81,22.72,13.76,12.77,14.74,61.78,,,,,,,,,,,,,,,,
Argyll and Bute,S12000035,Male,65 to 69,18.38,17.95,18.81,10.82,9.89,11.75,58.87,,,,,,,,,,,,,,,,
Argyll and Bute,S12000035,Male,70 to 74,14.74,14.33,15.15,8.23,7.32,9.13,55.82,,,,,,,,,,,,,,,,
Argyll and Bute,S12000035,Male,75 to 79,11.41,11.01,11.80,5.99,5.06,6.91,52.49,,,,,,,,,,,,,,,,
Argyll and Bute,S12000035,Male,80 to 84,8.45,8.06,8.85,4.14,3.27,5.00,48.93,,,,,,,,,,,,,,,,
Argyll and Bute,S12000035,Male,85 to 89,5.93,5.50,6.36,2.64,1.92,3.35,44.48,,,,,,,,,,,,,,,,
Argyll and Bute,S12000035,Male,90+,4.15,3.53,4.78,1.62,0.95,2.29,39.08,,,,,,,,,,,,,,,,
City of Edinburgh,S12000036,Female,<1,82.50,82.21,82.80,64.99,62.94,67.05,78.78,,,,,,,,,,,,,,,,
City of Edinburgh,S12000036,Female,1 to 4,81.74,81.47,82.02,64.23,62.17,66.30,78.58,,,,,,,,,,,,,,,,
City of Edinburgh,S12000036,Female,10 to 14,72.79,72.51,73.06,55.77,53.74,57.79,76.62,,,,,,,,,,,,,,,,
City of Edinburgh,S12000036,Female,15 to 19,67.83,67.56,68.10,51.14,49.14,53.14,75.39,,,,,,,,,,,,,,,,
City of Edinburgh,S12000036,Female,20 to 24,62.88,62.61,63.15,46.72,44.76,48.68,74.30,,,,,,,,,,,,,,,,
City of Edinburgh,S12000036,Female,25 to 29,57.94,57.67,58.21,42.33,40.41,44.25,73.06,,,,,,,,,,,,,,,,
City of Edinburgh,S12000036,Female,30 to 34,52.99,52.72,53.25,37.99,36.11,39.88,71.71,,,,,,,,,,,,,,,,
City of Edinburgh,S12000036,Female,35 to 39,48.10,47.83,48.36,33.73,31.88,35.58,70.12,,,,,,,,,,,,,,,,
City of Edinburgh,S12000036,Female,40 to 44,43.28,43.02,43.54,29.69,27.87,31.50,68.60,,,,,,,,,,,,,,,,
City of Edinburgh,S12000036,Female,45 to 49,38.51,38.25,38.76,25.88,24.13,27.63,67.20,,,,,,,,,,,,,,,,
City of Edinburgh,S12000036,Female,5 to 9,77.78,77.50,78.05,60.48,58.43,62.53,77.76,,,,,,,,,,,,,,,,
City of Edinburgh,S12000036,Female,50 to 54,33.87,33.63,34.12,22.18,20.49,23.86,65.47,,,,,,,,,,,,,,,,
City of Edinburgh,S12000036,Female,55 to 59,29.38,29.14,29.62,18.67,17.04,20.31,63.56,,,,,,,,,,,,,,,,
City of Edinburgh,S12000036,Female,60 to 64,24.95,24.72,25.18,15.31,13.72,16.90,61.36,,,,,,,,,,,,,,,,
City of Edinburgh,S12000036,Female,65 to 69,20.76,20.55,20.98,11.95,10.40,13.49,57.54,,,,,,,,,,,,,,,,
City of Edinburgh,S12000036,Female,70 to 74,16.68,16.48,16.89,8.66,7.17,10.14,51.90,,,,,,,,,,,,,,,,
City of Edinburgh,S12000036,Female,75 to 79,12.95,12.76,13.14,5.77,4.27,7.26,44.52,,,,,,,,,,,,,,,,
City of Edinburgh,S12000036,Female,80 to 84,9.74,9.57,9.92,3.51,2.05,4.97,36.05,,,,,,,,,,,,,,,,
City of Edinburgh,S12000036,Female,85 to 89,6.83,6.66,7.01,2.04,0.87,3.21,29.85,,,,,,,,,,,,,,,,
City of Edinburgh,S12000036,Female,90+,4.62,4.41,4.83,1.25,0.18,2.32,27.03,,,,,,,,,,,,,,,,
City of Edinburgh,S12000036,Male,<1,78.38,78.06,78.71,66.29,64.42,68.16,84.58,,,,,,,,,,,,,,,,
City of Edinburgh,S12000036,Male,1 to 4,77.74,77.44,78.05,65.65,63.78,67.53,84.45,,,,,,,,,,,,,,,,
City of Edinburgh,S12000036,Male,10 to 14,68.84,68.54,69.13,57.21,55.40,59.02,83.11,,,,,,,,,,,,,,,,
City of Edinburgh,S12000036,Male,15 to 19,63.89,63.60,64.19,52.53,50.76,54.30,82.22,,,,,,,,,,,,,,,,
City of Edinburgh,S12000036,Male,20 to 24,59.02,58.73,59.31,47.95,46.23,49.67,81.25,,,,,,,,,,,,,,,,
City of Edinburgh,S12000036,Male,25 to 29,54.15,53.86,54.43,43.37,41.67,45.07,80.10,,,,,,,,,,,,,,,,
City of Edinburgh,S12000036,Male,30 to 34,49.28,49.00,49.56,38.82,37.14,40.49,78.76,,,,,,,,,,,,,,,,
City of Edinburgh,S12000036,Male,35 to 39,44.49,44.21,44.77,34.41,32.76,36.07,77.35,,,,,,,,,,,,,,,,
City of Edinburgh,S12000036,Male,40 to 44,39.78,39.51,40.06,30.25,28.62,31.87,76.03,,,,,,,,,,,,,,,,
City of Edinburgh,S12000036,Male,45 to 49,35.18,34.92,35.45,26.34,24.75,27.94,74.88,,,,,,,,,,,,,,,,
City of Edinburgh,S12000036,Male,5 to 9,73.79,73.49,74.09,61.91,60.06,63.76,83.90,,,,,,,,,,,,,,,,
City of Edinburgh,S12000036,Male,50 to 54,30.74,30.49,31.00,22.63,21.08,24.18,73.61,,,,,,,,,,,,,,,,
City of Edinburgh,S12000036,Male,55 to 59,26.47,26.22,26.72,18.99,17.47,20.50,71.72,,,,,,,,,,,,,,,,
City of Edinburgh,S12000036,Male,60 to 64,22.30,22.06,22.54,15.63,14.13,17.13,70.10,,,,,,,,,,,,,,,,
City of Edinburgh,S12000036,Male,65 to 69,18.28,18.06,18.51,12.48,11.05,13.91,68.25,,,,,,,,,,,,,,,,
City of Edinburgh,S12000036,Male,70 to 74,14.53,14.31,14.74,9.56,8.15,10.97,65.83,,,,,,,,,,,,,,,,
City of Edinburgh,S12000036,Male,75 to 79,11.17,10.96,11.38,6.93,5.44,8.42,62.04,,,,,,,,,,,,,,,,
City of Edinburgh,S12000036,Male,80 to 84,8.39,8.19,8.59,4.80,3.48,6.13,57.25,,,,,,,,,,,,,,,,
City of Edinburgh,S12000036,Male,85 to 89,6.12,5.91,6.33,3.31,2.16,4.47,54.19,,,,,,,,,,,,,,,,
City of Edinburgh,S12000036,Male,90+,4.23,3.95,4.52,2.42,1.34,3.51,57.27,,,,,,,,,,,,,,,,
Clackmannanshire,S12000005,Female,<1,80.70,79.85,81.54,62.41,59.35,65.47,77.34,,,,,,,,,,,,,,,,
Clackmannanshire,S12000005,Female,1 to 4,79.81,78.99,80.63,61.58,58.52,64.64,77.16,,,,,,,,,,,,,,,,
Clackmannanshire,S12000005,Female,10 to 14,70.91,70.11,71.70,53.59,50.62,56.56,75.58,,,,,,,,,,,,,,,,
Clackmannanshire,S12000005,Female,15 to 19,65.91,65.11,66.70,49.31,46.42,52.20,74.82,,,,,,,,,,,,,,,,
Clackmannanshire,S12000005,Female,20 to 24,60.91,60.11,61.70,45.08,42.28,47.88,74.01,,,,,,,,,,,,,,,,
Clackmannanshire,S12000005,Female,25 to 29,55.91,55.11,56.70,40.81,38.12,43.51,73.00,,,,,,,,,,,,,,,,
