"Table 2: Healthy Life Expectancy (HLE1) estimates by council area in Scotland, 2017-2019",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Council Area,Area Code,Sex,Age group,"Life Expectancy (LE, years)",LE Lower CI (years),LE Upper CI (years),Healthy Life Expectancy (HLE) (years),HLE Lower CI (years),HLE Upper CI (years),Proportion of Life Spent in Good Health (%),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Aberdeen City,S12000033,Female,<1,81.40,80.97,81.84,62.52,60.05,64.98,76.80,,,,,,,,,,,,,,,,
Aberdeen City,S12000033,Female,1 to 4,80.57,80.15,80.99,61.71,59.24,64.18,76.59,,,,,,,,,,,,,,,,
Aberdeen City,S12000033,Female,10 to 14,71.66,71.25,72.07,53.48,51.13,55.82,74.63,,,,,,,,,,,,,,,,
Aberdeen City,S12000033,Female,15 to 19,66.66,66.25,67.07,48.95,46.70,51.20,73.43,,,,,,,,,,,,,,,,
Aberdeen City,S12000033,Female,20 to 24,61.72,61.31,62.12,44.58,42.45,46.71,72.23,,,,,,,,,,,,,,,,
Aberdeen City,S12000033,Female,25 to 29,56.78,56.38,57.18,40.28,38.22,42.33,70.94,,,,,,,,,,,,,,,,
Aberdeen City,S12000033,Female,30 to 34,51.84,51.44,52.24,36.03,33.99,38.06,69.49,,,,,,,,,,,,,,,,
Aberdeen City,S12000033,Female,35 to 39,47.06,46.67,47.46,32.00,29.99,34.00,67.98,,,,,,,,,,,,,,,,
Aberdeen City,S12000033,Female,40 to 44,42.27,41.89,42.66,28.04,26.11,29.97,66.34,,,,,,,,,,,,,,,,
Aberdeen City,S12000033,Female,45 to 49,37.58,37.21,37.95,24.29,22.45,26.14,64.65,,,,,,,,,,,,,,,,
Aberdeen City,S12000033,Female,5 to 9,76.64,76.23,77.05,58.04,55.62,60.47,75.74,,,,,,,,,,,,,,,,
Aberdeen City,S12000033,Female,50 to 54,32.95,32.59,33.31,20.68,18.91,22.46,62.77,,,,,,,,,,,,,,,,
Aberdeen City,S12000033,Female,55 to 59,28.48,28.14,28.83,17.31,15.62,19.00,60.77,,,,,,,,,,,,,,,,
Aberdeen City,S12000033,Female,60 to 64,24.10,23.77,24.43,14.10,12.52,15.69,58.53,,,,,,,,,,,,,,,,
Aberdeen City,S12000033,Female,65 to 69,19.95,19.64,20.26,11.13,9.59,12.67,55.78,,,,,,,,,,,,,,,,
Aberdeen City,S12000033,Female,70 to 74,16.15,15.86,16.44,8.42,6.93,9.91,52.11,,,,,,,,,,,,,,,,
Aberdeen City,S12000033,Female,75 to 79,12.54,12.27,12.81,5.97,4.53,7.40,47.56,,,,,,,,,,,,,,,,
Aberdeen City,S12000033,Female,80 to 84,9.18,8.93,9.43,4.03,2.97,5.08,43.84,,,,,,,,,,,,,,,,
Aberdeen City,S12000033,Female,85 to 89,6.46,6.22,6.71,2.65,1.77,3.53,40.98,,,,,,,,,,,,,,,,
Aberdeen City,S12000033,Female,90+,4.35,4.04,4.66,1.86,1.03,2.68,42.64,,,,,,,,,,,,,,,,
