"Table 2: Healthy Life Expectancy (HLE1) estimates by council area in Scotland, 2019-2021",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Council Area,Area Code,Sex,Age group,"Life Expectancy (LE, years)",LE Lower CI (years),LE Upper CI (years),Healthy Life Expectancy (HLE) (years),HLE Lower CI (years),HLE Upper CI (years),Proportion of Life Spent in Good Health (%),,,,,,,,,,,,,,,,
South Lanarkshire,S12000029,Female,<1,80.44,80.10,80.78,62.69,60.27,65.11,77.93,,,,,,,,,,,,,,,,
South Lanarkshire,S12000029,Female,1 to 4,79.55,79.22,79.87,61.82,59.40,64.24,77.71,,,,,,,,,,,,,,,,
South Lanarkshire,S12000029,Female,5 to 9,75.55,75.22,75.87,58.02,55.63,60.42,76.81,,,,,,,,,,,,,,,,
South Lanarkshire,S12000029,Female,10 to 14,70.55,70.22,70.87,53.36,51.02,55.70,75.64,,,,,,,,,,,,,,,,
South Lanarkshire,S12000029,Female,15 to 19,65.57,65.25,65.90,48.81,46.54,51.08,74.44,,,,,,,,,,,,,,,,
South Lanarkshire,S12000029,Female,20 to 24,60.62,60.31,60.94,44.38,42.20,46.56,73.20,,,,,,,,,,,,,,,,
South Lanarkshire,S12000029,Female,25 to 29,55.72,55.40,56.03,40.08,38.01,42.16,71.94,,,,,,,,,,,,,,,,
South Lanarkshire,S12000029,Female,30 to 34,50.88,50.57,51.18,35.93,33.94,37.93,70.63,,,,,,,,,,,,,,,,
South Lanarkshire,S12000029,Female,35 to 39,46.13,45.83,46.42,31.95,30.02,33.88,69.28,,,,,,,,,,,,,,,,
South Lanarkshire,S12000029,Female,40 to 44,41.40,41.12,41.68,28.09,26.26,29.93,67.86,,,,,,,,,,,,,,,,
South Lanarkshire,S12000029,Female,45 to 49,36.79,36.53,37.06,24.43,22.66,26.20,66.40,,,,,,,,,,,,,,,,
South Lanarkshire,S12000029,Female,50 to 54,32.11,31.86,32.37,20.83,19.16,22.51,64.87,,,,,,,,,,,,,,,,
South Lanarkshire,S12000029,Female,55 to 59,27.62,27.37,27.86,17.47,15.86,19.09,63.27,,,,,,,,,,,,,,,,
South Lanarkshire,S12000029,Female,60 to 64,23.24,23.00,23.47,14.32,12.78,15.86,61.64,,,,,,,,,,,,,,,,
South Lanarkshire,S12000029,Female,65 to 69,19.05,18.82,19.27,11.40,9.94,12.86,59.86,,,,,,,,,,,,,,,,
South Lanarkshire,S12000029,Female,70 to 74,15.23,15.02,15.44,8.83,7.41,10.26,57.99,,,,,,,,,,,,,,,,
South Lanarkshire,S12000029,Female,75 to 79,11.67,11.47,11.87,6.54,5.12,7.95,56.00,,,,,,,,,,,,,,,,
South Lanarkshire,S12000029,Female,80 to 84,8.60,8.41,8.78,4.64,3.35,5.93,53.97,,,,,,,,,,,,,,,,
South Lanarkshire,S12000029,Female,85 to 89,6.08,5.90,6.27,3.15,2.07,4.23,51.79,,,,,,,,,,,,,,,,
South Lanarkshire,S12000029,Female,90+,4.32,4.08,4.57,2.14,1.09,3.20,49.54,,,,,,,,,,,,,,,,
South Lanarkshire,S12000029,Male,<1,75.91,75.52,76.31,60.16,58.06,62.26,79.24,,,,,,,,,,,,,,,,
South Lanarkshire,S12000029,Male,1 to 4,75.12,74.75,75.50,59.32,57.22,61.43,78.97,,,,,,,,,,,,,,,,
South Lanarkshire,S12000029,Male,5 to 9,71.14,70.76,71.51,55.36,53.25,57.46,77.82,,,,,,,,,,,,,,,,
South Lanarkshire,S12000029,Male,10 to 14,66.14,65.76,66.51,50.46,48.37,52.55,76.30,,,,,,,,,,,,,,,,
South Lanarkshire,S12000029,Male,15 to 19,61.22,60.85,61.59,45.72,43.65,47.79,74.68,,,,,,,,,,,,,,,,
South Lanarkshire,S12000029,Male,20 to 24,56.39,56.03,56.75,41.15,39.11,43.20,72.97,,,,,,,,,,,,,,,,
South Lanarkshire,S12000029,Male,25 to 29,51.64,51.30,51.99,36.75,34.80,38.70,71.16,,,,,,,,,,,,,,,,
